orderID,orderTime,userID,couponsReceived,couponID1,price1,basePrice1,reward1,premiumProduct1,brand1,productGroup1,categoryIDs1,couponID2,price2,basePrice2,reward2,premiumProduct2,brand2,productGroup2,categoryIDs2,couponID3,price3,basePrice3,reward3,premiumProduct3,brand3,productGroup3,categoryIDs3,coupon1Used,coupon2Used,coupon3Used,basketValue,couponsReceivedDate,couponsReceivedTime,couponsReceivedDoW,couponsReceivedWeekend,couponsReceivedFriSat,orderTimeDate,orderTimeTime,orderTimeDoW,orderTimeWeekend,orderTimeFriSat,batchID,couponsExpire,couponsSent,TimeBtwnSentRec,TimeBtwnRecExpire,TimeBtwnRecOrder,TimeBtwnOrderExpire
11,2015-01-06 15:38:50,user11,2015-01-06 15:16:20,cpn31,6.95,6.95,1.57,0,brand5,prod12,cat5:cat2,cpn32,7.36,1.47,1.57,0,brand3,prod24,cat5,cpn33,5.09,0.73,2.2,0,brand3,prod25,cat13,0,0,0,332,2015-01-06,20,Tuesday,0,0,2015-01-06,50,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.2719444444444,152.728055555556,0.375,152.353055555556
12,2015-01-06 15:39:08,user12,2015-01-06 15:11:08,cpn22,9.17,2.04,0.94,1,brand4,prod7,cat1:cat7,cpn34,3.15,0.9,1.26,0,brand2,prod26,cat3,cpn35,5.74,0,1.88,0,brand2,prod27,cat5,1,0,0,338.43,2015-01-06,8,Tuesday,0,0,2015-01-06,8,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.1852777777778,152.814722222222,0.466666666666667,152.348055555556
13,2015-01-06 15:48:19,user13,2015-01-06 15:15:12,cpn36,5.33,4.44,0.94,0,brand7,prod1,cat1,cpn37,7.59,0.84,1.88,0,brand8,prod28,cat3:cat14,cpn38,2.69,1.41,1.57,0,brand5,prod29,cat5:cat15:cat2,0,0,0,263.46,2015-01-06,12,Tuesday,0,0,2015-01-06,19,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.2530555555556,152.746944444444,0.551944444444444,152.195
14,2015-01-06 16:03:25,user14,2015-01-06 15:55:49,cpn39,5.56,4.27,1.57,0,brand3,prod30,cat1,cpn40,11.44,1.31,1.88,0,brand2,prod26,cat3,cpn41,14.36,2.87,0.94,0,brand3,prod19,cat5,0,0,0,185.66,2015-01-06,49,Tuesday,0,0,2015-01-06,25,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.93,152.07,0.126666666666667,151.943333333333
15,2015-01-06 16:14:09,user15,2015-01-06 15:36:12,cpn42,8.43,3.51,1.88,0,brand2,prod31,cat1,cpn43,3.75,1.07,0.94,0,brand2,prod8,cat3,cpn44,3.43,3.43,1.26,0,brand3,prod32,cat11,0,0,0,212.7,2015-01-06,12,Tuesday,0,0,2015-01-06,9,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.6030555555556,152.396944444444,0.6325,151.764444444444
16,2015-01-06 16:22:46,user16,2015-01-06 15:26:41,cpn45,10.56,3.52,0.94,0,brand6,prod33,cat1:cat4,cpn46,4.58,0.92,1.26,1,brand4,prod11,cat3:cat7,cpn47,6.3,1.26,1.57,0,brand3,prod34,cat5,0,0,0,243.41,2015-01-06,41,Tuesday,0,0,2015-01-06,46,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.4444444444444,152.555555555556,0.934722222222222,151.620833333333
17,2015-01-06 16:22:55,user17,2015-01-06 15:10:35,cpn48,3.66,0,1.57,0,brand6,prod35,cat8:cat4:cat2,cpn49,36.58,4.57,1.57,0,brand2,prod36,cat3:cat4:cat2,cpn50,17.55,2.19,0.94,0,brand3,prod37,cat5,0,0,0,185.84,2015-01-06,35,Tuesday,0,0,2015-01-06,55,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.1761111111111,152.823888888889,1.20555555555556,151.618333333333
18,2015-01-06 16:23:19,user18,2015-01-06 15:57:56,cpn51,2.96,1.56,1.57,0,brand2,prod38,cat1,cpn52,9.59,1.18,0.94,0,brand3,prod2,cat16:cat3:cat2:cat17,cpn53,4.58,3.06,1.57,0,brand5,prod39,cat5:cat18:cat2,0,1,0,202.61,2015-01-06,56,Tuesday,0,0,2015-01-06,19,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.9652777777778,152.034722222222,0.423055555555556,151.611666666667
19,2015-01-06 16:25:43,user19,2015-01-06 15:19:29,cpn54,9.22,9.22,1.57,0,brand3,prod40,cat1,cpn55,4.08,2.04,1.57,0,brand3,prod37,cat5:cat2,cpn56,3.66,1.82,1.26,0,brand3,prod37,cat5:cat2,0,1,1,204.23,2015-01-06,29,Tuesday,0,0,2015-01-06,43,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.3244444444444,152.675555555556,1.10388888888889,151.571666666667
20,2015-01-06 16:36:00,user20,2015-01-06 16:01:33,cpn57,6.67,9.52,1.57,0,brand7,prod40,cat1:cat15,cpn58,4.82,1.05,1.57,1,brand4,prod28,cat3:cat7,cpn59,7.36,2.95,1.26,0,brand5,prod41,cat5:cat4:cat2,0,0,0,106.42,2015-01-06,33,Tuesday,0,0,2015-01-06,0,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.0255555555556,151.974444444444,0.574166666666667,151.400277777778
21,2015-01-06 16:39:03,user21,2015-01-06 15:16:45,cpn60,7.22,2.19,1.57,0,brand9,prod42,cat1:cat2,cpn61,4.35,1.44,1.26,0,brand8,prod43,cat3:cat14,cpn62,4.45,1.48,0.94,0,brand3,prod44,cat16:cat5:cat17,0,0,0,188.11,2015-01-06,45,Tuesday,0,0,2015-01-06,3,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.2788888888889,152.721111111111,1.37166666666667,151.349444444444
22,2015-01-06 16:51:16,user22,2015-01-06 16:09:33,cpn63,12.18,4.87,1.57,0,brand2,prod45,cat1:cat4,cpn64,3.89,1.39,0.94,1,brand4,prod46,cat3:cat7,cpn65,5.51,2.75,2.51,1,brand4,prod14,cat5:cat7,0,0,0,397.71,2015-01-06,33,Tuesday,0,0,2015-01-06,16,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.1588888888889,151.841111111111,0.695277777777778,151.145833333333
23,2015-01-06 16:55:25,user23,2015-01-06 15:53:05,cpn66,17.32,7.87,0.94,1,brand4,prod45,cat1:cat7,cpn67,2.73,2.73,1.57,1,brand4,prod47,cat11:cat7:cat19,cpn68,3.47,1.16,1.57,0,brand3,prod48,cat13,0,0,0,188.99,2015-01-06,5,Tuesday,0,0,2015-01-06,25,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.8844444444444,152.115555555556,1.03888888888889,151.076666666667
24,2015-01-06 16:57:07,user24,2015-01-06 16:22:30,cpn10,2.5,2.08,1.57,0,brand6,prod10,cat1,cpn69,7.32,1.35,1.26,0,brand3,prod46,cat3,cpn70,2.32,5.79,1.57,1,brand4,prod4,cat5:cat7:cat4,0,0,0,243.59,2015-01-06,30,Tuesday,0,0,2015-01-06,7,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.3747222222222,151.625277777778,0.576944444444444,151.048333333333
25,2015-01-06 17:05:07,user25,2015-01-06 15:13:38,cpn71,5.51,1.1,1.88,1,brand4,prod24,cat5:cat7,cpn72,6.81,0.97,0.94,0,brand3,prod49,cat5,cpn73,4.03,1.07,0.94,0,brand3,prod27,cat5:cat2,0,0,0,710.4,2015-01-06,38,Tuesday,0,0,2015-01-06,7,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.2269444444444,152.773055555556,1.85805555555556,150.915
26,2015-01-06 17:09:59,user26,2015-01-06 16:17:59,cpn74,9.86,3.29,1.26,0,brand2,prod31,cat1:cat9,cpn75,3.98,2.74,1.26,1,brand4,prod50,cat5:cat7,cpn76,3.66,11.43,0.94,0,brand3,prod37,cat5,0,0,0,187.42,2015-01-06,59,Tuesday,0,0,2015-01-06,59,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.2994444444444,151.700555555556,0.866666666666667,150.833888888889
27,2015-01-06 17:17:31,user27,2015-01-06 16:37:30,cpn77,4.4,1.99,0.94,1,brand4,prod51,cat8:cat7,cpn78,8.1,0.9,1.26,0,brand3,prod2,cat16:cat3:cat2,cpn79,6.67,3.33,0.94,0,brand3,prod52,cat5,0,0,1,186.21,2015-01-06,30,Tuesday,0,0,2015-01-06,31,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.6247222222222,151.375277777778,0.666944444444444,150.708333333333
28,2015-01-06 17:22:59,user28,2015-01-06 17:10:16,cpn80,3.33,3.33,1.26,0,brand3,prod32,cat11,cpn81,2.96,2.96,1.26,0,brand3,prod53,cat6,cpn82,3.98,2.65,1.57,0,brand10,prod30,cat1,0,0,0,228.31,2015-01-06,16,Tuesday,0,0,2015-01-06,59,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.1708333333333,150.829166666667,0.211944444444444,150.617222222222
29,2015-01-06 17:26:46,user29,2015-01-06 16:25:21,cpn51,2.96,1.56,1.57,0,brand2,prod38,cat1,cpn83,3.15,0.44,0.94,0,brand3,prod37,cat5:cat2,cpn84,6.85,0.69,1.26,0,brand3,prod54,cat13,0,0,0,369.65,2015-01-06,21,Tuesday,0,0,2015-01-06,46,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.4222222222222,151.577777777778,1.02361111111111,150.554166666667
30,2015-01-06 17:28:17,user30,2015-01-06 16:46:52,cpn85,3.89,1.21,1.26,0,brand11,prod55,cat8,cpn86,3.15,1.96,1.57,0,brand3,prod56,cat5,cpn87,3.06,1.98,6.28,0,brand3,prod39,cat5,0,0,0,94.89,2015-01-06,52,Tuesday,0,0,2015-01-06,17,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.7808333333333,151.219166666667,0.690277777777778,150.528888888889
31,2015-01-06 17:32:09,user31,2015-01-06 16:55:42,cpn88,9.63,9.63,1.26,1,brand4,prod40,cat1:cat7,cpn89,4.45,1.27,1.26,0,brand3,prod46,cat3,cpn90,3.43,0.48,2.2,1,brand4,prod37,cat5:cat7,0,0,1,232.94,2015-01-06,42,Tuesday,0,0,2015-01-06,9,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.9280555555556,151.071944444444,0.6075,150.464444444444
32,2015-01-06 17:42:37,user32,2015-01-06 16:35:54,cpn91,7.18,1.7,0.94,0,brand6,prod33,cat1:cat4,cpn92,5.09,1.45,1.88,0,brand3,prod19,cat5,cpn93,4.08,2.81,1.57,0,brand3,prod18,cat5,0,0,0,225.39,2015-01-06,54,Tuesday,0,0,2015-01-06,37,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.5980555555556,151.401944444444,1.11194444444444,150.29
33,2015-01-06 17:46:45,user33,2015-01-06 17:05:00,cpn94,8.89,3.7,1.26,0,brand6,prod33,cat1,cpn95,3.47,0.69,0.94,1,brand4,prod11,cat3:cat7,cpn96,3.61,1.9,1.88,0,brand5,prod29,cat5:cat15:cat2,0,0,0,232.89,2015-01-06,0,Tuesday,0,0,2015-01-06,45,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.0830555555556,150.916944444444,0.695833333333333,150.221111111111
34,2015-01-06 17:50:39,user34,2015-01-06 16:59:51,cpn97,5.84,5.84,1.26,1,brand4,prod40,cat1,cpn98,8.52,0,1.26,0,brand3,prod43,cat3,cpn99,15.7,3.14,1.26,0,brand3,prod57,cat5,0,0,0,186.91,2015-01-06,51,Tuesday,0,0,2015-01-06,39,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.9972222222222,151.002777777778,0.846666666666667,150.156111111111
35,2015-01-06 17:55:03,user35,2015-01-06 15:42:06,cpn100,7.87,1.57,1.57,0,brand3,prod3,cat5:cat15,cpn101,2.96,0,1.57,0,brand2,prod52,cat5,cpn102,2.32,0.46,1.57,0,brand3,prod58,cat5,0,0,0,535.81,2015-01-06,6,Tuesday,0,0,2015-01-06,3,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.7013888888889,152.298611111111,2.21583333333333,150.082777777778
36,2015-01-06 17:59:40,user36,2015-01-06 17:39:12,cpn103,2.73,0.55,1.57,1,brand4,prod59,cat5,cpn104,2.5,2.5,1.88,1,brand4,prod60,cat5:cat7,cpn105,3.06,3.06,1.88,1,brand4,prod61,cat11:cat7,0,0,1,200.61,2015-01-06,12,Tuesday,0,0,2015-01-06,40,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.6530555555556,150.346944444444,0.341111111111111,150.005833333333
37,2015-01-06 18:04:10,user37,2015-01-06 16:13:39,cpn106,22.92,4.58,1.88,0,brand3,prod1,cat1:cat15,cpn89,4.45,1.27,1.26,0,brand3,prod46,cat3,cpn107,8.8,1.76,1.88,0,brand3,prod14,cat5,0,0,0,270.27,2015-01-06,39,Tuesday,0,0,2015-01-06,10,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.2272222222222,151.772777777778,1.84194444444444,149.930833333333
38,2015-01-06 18:11:00,user38,2015-01-06 17:19:19,cpn108,13.06,1.44,1.26,0,brand2,prod15,cat8:cat9,cpn109,3.66,1.82,3.14,0,brand3,prod60,cat5:cat2,cpn110,3.57,0,1.57,0,brand3,prod60,cat5:cat2,1,0,0,209.88,2015-01-06,19,Tuesday,0,0,2015-01-06,0,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.3216666666667,150.678333333333,0.861388888888889,149.816944444444
39,2015-01-06 18:20:37,user39,2015-01-06 18:00:37,cpn111,2.69,1.07,1.57,1,brand4,prod62,cat5:cat7,cpn112,2.69,1.07,1.57,1,brand4,prod62,cat5:cat7,cpn113,3.15,1.96,1.26,0,brand3,prod56,cat5,0,0,0,187,2015-01-06,37,Tuesday,0,0,2015-01-06,37,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.01,149.99,0.333333333333333,149.656666666667
40,2015-01-06 18:24:45,user40,2015-01-06 18:08:42,cpn114,10,166.72,0.94,1,brand4,prod15,cat8:cat7,cpn115,4.58,0,3.14,1,brand3,prod63,cat5:cat7,cpn116,2.08,0.42,0,0,brand3,prod37,cat5:cat4:cat2,0,0,0,226.18,2015-01-06,42,Tuesday,0,0,2015-01-06,45,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.1447222222222,149.855277777778,0.2675,149.587777777778
41,2015-01-06 18:33:01,user41,2015-01-06 16:55:08,cpn1,3.24,5.4,1.57,0,brand1,prod1,cat1:cat2,cpn117,4.58,1.69,1.26,0,brand3,prod46,cat3,cpn118,11.07,2.01,0.63,0,brand3,prod17,cat5:cat2,1,1,1,232.94,2015-01-06,8,Tuesday,0,0,2015-01-06,1,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.9186111111111,151.081388888889,1.63138888888889,149.45
42,2015-01-06 18:33:30,user42,2015-01-06 17:07:01,cpn119,4.58,0,1.26,1,brand4,prod35,cat8:cat7,cpn120,7.13,1.78,1.26,1,brand4,prod11,cat3:cat7:cat4,cpn121,4.58,1.14,0.94,0,brand5,prod58,cat5:cat15:cat2,0,0,0,206.13,2015-01-06,1,Tuesday,0,0,2015-01-06,30,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.1166666666667,150.883333333333,1.44138888888889,149.441944444444
43,2015-01-06 18:36:20,user43,2015-01-06 18:20:55,cpn122,3.06,3.39,1.26,0,brand3,prod1,cat1,cpn123,4.26,1.42,1.57,0,brand3,prod64,cat5,cpn124,11.07,7.37,1.57,0,brand3,prod65,cat13,0,0,0,188.9,2015-01-06,55,Tuesday,0,0,2015-01-06,20,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.3483333333333,149.651666666667,0.256944444444444,149.394722222222
44,2015-01-06 18:41:54,user44,2015-01-06 17:43:08,cpn125,5.97,1.99,1.57,0,brand6,prod33,cat1,cpn126,5.93,0.79,1.57,0,brand3,prod13,cat3,cpn127,4.58,3.82,1.88,0,brand3,prod57,cat5,1,0,0,189.69,2015-01-06,8,Tuesday,0,0,2015-01-06,54,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.7186111111111,150.281388888889,0.979444444444444,149.301944444444
45,2015-01-06 18:43:02,user45,2015-01-06 16:13:58,cpn128,6.44,0,0.94,1,brand4,prod35,cat8:cat7,cpn3,12.92,12.92,2.2,0,brand3,prod3,cat5:cat4:cat2,cpn129,4.21,0.69,3.14,0,brand3,prod27,cat5:cat4,0,0,0,341.35,2015-01-06,58,Tuesday,0,0,2015-01-06,2,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.2325,151.7675,2.48444444444444,149.283055555556
46,2015-01-06 18:45:55,user46,2015-01-06 17:49:04,cpn130,3.52,1.46,1.57,0,brand11,prod66,cat11,cpn131,7.36,0,1.57,0,brand3,prod67,cat13:cat9,cpn132,3.43,1.37,0.94,0,brand3,prod68,cat8,1,0,0,196.68,2015-01-06,4,Tuesday,0,0,2015-01-06,55,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.8175,150.1825,0.9475,149.235
47,2015-01-06 18:50:24,user47,2015-01-06 17:36:58,cpn133,3.2,1.59,0.63,0,brand3,prod51,cat8,cpn134,6.58,0.66,0.63,0,brand2,prod26,cat3,cpn135,3.15,0.44,0.94,0,brand3,prod37,cat5:cat2,1,1,0,203.49,2015-01-06,58,Tuesday,0,0,2015-01-06,24,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.6158333333333,150.384166666667,1.22388888888889,149.160277777778
48,2015-01-06 18:51:38,user48,2015-01-06 18:24:05,cpn136,2.96,3.29,1.26,0,brand3,prod1,cat1,cpn137,4.31,3.58,1.26,0,brand3,prod69,cat5,cpn138,3.98,3.98,0.94,0,brand2,prod3,cat5:cat4:cat2,0,0,0,190.94,2015-01-06,5,Tuesday,0,0,2015-01-06,38,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.4011111111111,149.598888888889,0.459166666666667,149.139722222222
49,2015-01-06 18:55:48,user49,2015-01-06 17:16:55,cpn139,3.98,3.98,1.57,0,brand1,prod40,cat1:cat2,cpn78,8.1,0.9,1.26,0,brand3,prod2,cat16:cat3:cat2,cpn140,5.46,2.19,2.2,0,brand5,prod24,cat5:cat2,0,0,0,450.64,2015-01-06,55,Tuesday,0,0,2015-01-06,48,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.2816666666667,150.718333333333,1.64805555555556,149.070277777778
50,2015-01-06 18:57:54,user50,2015-01-06 17:40:38,cpn141,3.57,1.78,1.26,1,brand4,prod70,cat8:cat7,cpn142,9.59,1.07,0.94,0,brand3,prod2,cat16:cat3:cat2,cpn143,2.73,0.55,0.94,0,brand4,prod58,cat5,0,0,0,211.5,2015-01-06,38,Tuesday,0,0,2015-01-06,54,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.6769444444444,150.323055555556,1.28777777777778,149.035277777778
51,2015-01-06 19:06:27,user51,2015-01-06 18:38:25,cpn144,4.49,0.49,0,0,brand3,prod71,cat16:cat12,cpn28,7.5,1.25,0.94,0,brand2,prod15,cat8:cat9,cpn145,2.32,0.46,1.57,0,brand3,prod58,cat5,0,1,0,249.15,2015-01-06,25,Tuesday,0,0,2015-01-06,27,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.64,149.36,0.467222222222222,148.892777777778
52,2015-01-06 19:10:24,user52,2015-01-06 18:29:05,cpn146,3.57,0,1.57,0,brand3,prod35,cat8,cpn147,2.69,0.44,1.26,0,brand2,prod11,cat3,cpn3,12.92,12.92,2.2,0,brand3,prod3,cat5:cat4:cat2,0,1,0,192.14,2015-01-06,5,Tuesday,0,0,2015-01-06,24,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.4844444444444,149.515555555556,0.688611111111111,148.826944444444
53,2015-01-06 19:20:03,user53,2015-01-06 19:01:14,cpn94,8.89,3.7,1.26,0,brand6,prod33,cat1,cpn148,5.09,5.09,2.51,0,brand2,prod72,cat5,cpn149,5.09,1.02,1.57,0,brand3,prod55,cat5,0,0,0,187.46,2015-01-06,14,Tuesday,0,0,2015-01-06,3,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,19.0202777777778,148.979722222222,0.313611111111111,148.666111111111
54,2015-01-06 19:26:19,user54,2015-01-06 18:49:24,cpn150,12.5,7.35,0.63,1,brand4,prod7,cat1:cat7,cpn151,5.09,1.69,1.26,0,brand5,prod59,cat5:cat15:cat4:cat2,cpn152,3.15,1.26,6.28,1,brand4,prod73,cat5:cat7,0,1,1,186.95,2015-01-06,24,Tuesday,0,0,2015-01-06,19,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.8230555555556,149.176944444444,0.615277777777778,148.561666666667
55,2015-01-06 19:36:50,user55,2015-01-06 15:22:25,cpn153,9.22,11.51,1.26,0,brand5,prod40,cat1:cat2,cpn154,12.92,4.46,1.57,0,brand3,prod36,cat3,cpn155,3.15,0,1.26,0,brand5,prod64,cat5:cat2,0,0,0,225.21,2015-01-06,25,Tuesday,0,0,2015-01-06,50,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.3733333333333,152.626666666667,4.24027777777778,148.386388888889
56,2015-01-06 19:37:38,user56,2015-01-06 19:10:25,cpn156,7.32,2.08,1.57,0,brand6,prod74,cat1,cpn157,2.73,0.45,0.63,0,brand2,prod11,cat3:cat4,cpn158,2.69,2.69,1.57,1,brand4,prod75,cat5:cat7:cat4,0,0,0,189.92,2015-01-06,25,Tuesday,0,0,2015-01-06,38,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,19.1733333333333,148.826666666667,0.453611111111111,148.373055555556
