orderID,nCoupon1Used,nCoupon2Used,nCoupon3Used,pCoupon1Used,pCoupon2Used,pCoupon3Used,nCoup1Col1Used,nCoup1Col2Used,nCoup1Col3Used,nCoup2Col1Used,nCoup2Col2Used,nCoup2Col3Used,nCoup3Col1Used,nCoup3Col2Used,nCoup3Col3Used,pCoup1Col1Used,pCoup1Col2Used,pCoup1Col3Used,pCoup2Col1Used,pCoup2Col2Used,pCoup2Col3Used,pCoup3Col1Used,pCoup3Col2Used,pCoup3Col3Used
6106,8,1,2,0.181818181818182,0.0357142857142857,0.153846153846154,8,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0
6107,0,10,1,0,0.161290322580645,0.125,0,0,0,0,10,0,0,1,0,,,,0,1,0,0,1,0
6108,2,2,9,0.166666666666667,0.0952380952380952,0.105882352941176,2,0,0,0,2,0,1,1,7,1,0,0,0,1,0,0.111111111111111,0.111111111111111,0.777777777777778
6109,0,3,6,0,0.75,0.146341463414634,0,0,0,0,3,0,0,2,4,,,,0,1,0,0,0.333333333333333,0.666666666666667
6110,,2,3,,0.133333333333333,0.176470588235294,,,,0,2,0,0,1,2,,,,0,1,0,0,0.333333333333333,0.666666666666667
6111,4,,0,0.2,,0,4,0,0,,,,0,0,0,1,0,0,,,,,,
6112,1,6,,1,0.75,,1,0,0,1,5,0,,,,1,0,0,0.166666666666667,0.833333333333333,0,,,
6113,,,0,,,0,,,,,,,0,0,0,,,,,,,,,
6114,4,3,24,0.0930232558139535,0.115384615384615,0.263736263736264,4,0,0,0,3,0,2,5,17,1,0,0,0,1,0,0.0833333333333333,0.208333333333333,0.708333333333333
6115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
6116,1,2,2,0.0303030303030303,0.111111111111111,0.166666666666667,1,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,1,0
6117,24,11,2,0.19672131147541,0.150684931506849,0.153846153846154,24,0,0,0,11,0,0,0,2,1,0,0,0,1,0,0,0,1
6118,4,2,3,0.111111111111111,0.181818181818182,0.5,0,4,0,0,2,0,1,1,1,0,1,0,0,1,0,0.333333333333333,0.333333333333333,0.333333333333333
6119,0,0,3,0,0,0.230769230769231,0,0,0,0,0,0,0,2,1,,,,,,,0,0.666666666666667,0.333333333333333
6120,0,1,,0,0.333333333333333,,0,0,0,0,1,0,,,,,,,0,1,0,,,
6121,20,4,4,0.210526315789474,0.133333333333333,0.333333333333333,20,0,0,0,4,0,0,0,4,1,0,0,0,1,0,0,0,1
6122,4,6,1,0.125,0.260869565217391,0.0454545454545455,4,0,0,0,6,0,0,0,1,1,0,0,0,1,0,0,0,1
6123,9,3,1,0.257142857142857,0.0789473684210526,0.0769230769230769,9,0,0,0,2,1,0,0,1,1,0,0,0,0.666666666666667,0.333333333333333,0,0,1
6124,4,3,24,0.0930232558139535,0.115384615384615,0.263736263736264,4,0,0,0,3,0,2,5,17,1,0,0,0,1,0,0.0833333333333333,0.208333333333333,0.708333333333333
6125,10,5,4,0.344827586206897,0.131578947368421,0.235294117647059,7,0,3,0,5,0,0,0,4,0.7,0,0.3,0,1,0,0,0,1
6126,6,0,5,0.206896551724138,0,0.135135135135135,6,0,0,0,0,0,0,2,3,1,0,0,,,,0,0.4,0.6
6127,6,4,24,0.25,0.148148148148148,0.263736263736264,6,0,0,0,4,0,2,5,17,1,0,0,0,1,0,0.0833333333333333,0.208333333333333,0.708333333333333
6128,0,1,6,0,0.0434782608695652,0.2,0,0,0,0,1,0,0,1,5,,,,0,1,0,0,0.166666666666667,0.833333333333333
6129,1,0,1,0.142857142857143,0,0.0833333333333333,1,0,0,0,0,0,0,1,0,1,0,0,,,,0,1,0
6130,1,,0,0.166666666666667,,0,1,0,0,,,,0,0,0,1,0,0,,,,,,
6131,0,2,0,0,0.25,0,0,0,0,0,1,1,0,0,0,,,,0,0.5,0.5,,,
6132,9,4,0,0.257142857142857,0.181818181818182,0,9,0,0,1,1,2,0,0,0,1,0,0,0.25,0.25,0.5,,,
6133,9,4,0,0.257142857142857,0.181818181818182,0,9,0,0,1,1,2,0,0,0,1,0,0,0.25,0.25,0.5,,,
6134,9,4,0,0.257142857142857,0.181818181818182,0,9,0,0,1,1,2,0,0,0,1,0,0,0.25,0.25,0.5,,,
6135,9,4,0,0.257142857142857,0.181818181818182,0,9,0,0,1,1,2,0,0,0,1,0,0,0.25,0.25,0.5,,,
6136,,,,,,,,,,,,,,,,,,,,,,,,
6137,8,1,1,0.2,0.0526315789473684,0.125,8,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
6138,3,6,1,0.3,0.142857142857143,0.25,3,0,0,0,6,0,0,0,1,1,0,0,0,1,0,0,0,1
6139,3,0,,0.375,0,,2,1,0,0,0,0,,,,0.666666666666667,0.333333333333333,0,,,,,,
6140,5,4,0,0.217391304347826,0.125,0,5,0,0,0,1,3,0,0,0,1,0,0,0,0.25,0.75,,,
6141,44,0,2,0.321167883211679,0,0.2,43,0,1,0,0,0,0,0,2,0.977272727272727,0,0.0227272727272727,,,,0,0,1
6142,2,,,0.333333333333333,,,0,0,2,,,,,,,0,0,1,,,,,,
6143,0,,,0,,,0,0,0,,,,,,,,,,,,,,,
6144,1,0,,0.333333333333333,0,,1,0,0,0,0,0,,,,1,0,0,,,,,,
6145,3,8,0,0.375,0.242424242424242,0,3,0,0,0,7,1,0,0,0,1,0,0,0,0.875,0.125,,,
6146,28,2,9,0.345679012345679,0.4,0.18,26,1,1,0,1,1,0,3,6,0.928571428571429,0.0357142857142857,0.0357142857142857,0,0.5,0.5,0,0.333333333333333,0.666666666666667
6147,4,9,1,0.166666666666667,0.321428571428571,0.0454545454545455,4,0,0,0,8,1,0,0,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0,1
6148,0,3,0,0,0.1875,0,0,0,0,2,0,1,0,0,0,,,,0.666666666666667,0,0.333333333333333,,,
6149,5,0,1,0.25,0,0.0625,5,0,0,0,0,0,0,0,1,1,0,0,,,,0,0,1
6150,4,9,1,0.166666666666667,0.321428571428571,0.0454545454545455,4,0,0,0,8,1,0,0,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0,1
6151,5,0,3,0.142857142857143,0,0.15,5,0,0,0,0,0,0,0,3,1,0,0,,,,0,0,1
6152,4,3,24,0.0930232558139535,0.115384615384615,0.263736263736264,4,0,0,0,3,0,2,5,17,1,0,0,0,1,0,0.0833333333333333,0.208333333333333,0.708333333333333
6153,4,0,0,0.2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,,,,,,
6154,,1,2,,0.166666666666667,0.1,,,,0,1,0,0,1,1,,,,0,1,0,0,0.5,0.5
6155,7,4,1,0.142857142857143,0.363636363636364,0.125,6,0,1,0,4,0,1,0,0,0.857142857142857,0,0.142857142857143,0,1,0,1,0,0
6156,14,,3,0.285714285714286,,0.0833333333333333,14,0,0,,,,0,0,3,1,0,0,,,,0,0,1
6157,1,2,6,0.2,0.181818181818182,0.272727272727273,1,0,0,0,2,0,0,3,3,1,0,0,0,1,0,0,0.5,0.5
6158,1,0,,0.25,0,,1,0,0,0,0,0,,,,1,0,0,,,,,,
6159,1,1,6,0.0769230769230769,0.0833333333333333,0.146341463414634,1,0,0,0,1,0,0,2,4,1,0,0,0,1,0,0,0.333333333333333,0.666666666666667
6160,3,0,0,0.214285714285714,0,0,3,0,0,0,0,0,0,0,0,1,0,0,,,,,,
6161,1,3,,0.333333333333333,0.6,,1,0,0,0,2,1,,,,1,0,0,0,0.666666666666667,0.333333333333333,,,
6162,0,1,1,0,0.166666666666667,0.1,0,0,0,0,1,0,0,0,1,,,,0,1,0,0,0,1
6163,5,4,9,0.454545454545455,0.2,0.105882352941176,5,0,0,0,4,0,1,1,7,1,0,0,0,1,0,0.111111111111111,0.111111111111111,0.777777777777778
6164,5,5,5,0.25,0.454545454545455,0.277777777777778,5,0,0,0,5,0,0,3,2,1,0,0,0,1,0,0,0.6,0.4
6165,5,6,1,0.227272727272727,0.230769230769231,0.0909090909090909,5,0,0,0,1,5,1,0,0,1,0,0,0,0.166666666666667,0.833333333333333,1,0,0
6166,4,3,24,0.0930232558139535,0.115384615384615,0.263736263736264,4,0,0,0,3,0,2,5,17,1,0,0,0,1,0,0.0833333333333333,0.208333333333333,0.708333333333333
6167,1,5,0,0.0625,0.147058823529412,0,1,0,0,0,5,0,0,0,0,1,0,0,0,1,0,,,
6168,7,1,2,0.142857142857143,0.0833333333333333,0.0909090909090909,6,0,1,0,1,0,0,1,1,0.857142857142857,0,0.142857142857143,0,1,0,0,0.5,0.5
6169,20,3,0,0.210526315789474,0.428571428571429,0,20,0,0,0,3,0,0,0,0,1,0,0,0,1,0,,,
6170,0,3,3,0,0.0882352941176471,0.130434782608696,0,0,0,0,3,0,0,1,2,,,,0,1,0,0,0.333333333333333,0.666666666666667
6171,3,2,2,0.111111111111111,0.166666666666667,0.117647058823529,3,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,1
6172,7,0,0,0.318181818181818,0,0,7,0,0,0,0,0,0,0,0,1,0,0,,,,,,
6173,0,,3,0,,0.333333333333333,0,0,0,,,,3,0,0,,,,,,,1,0,0
6174,4,1,1,0.0930232558139535,0.0588235294117647,0.0714285714285714,4,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
6175,4,9,1,0.166666666666667,0.321428571428571,0.0454545454545455,4,0,0,0,8,1,0,0,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0,1
6176,0,2,1,0,0.5,0.333333333333333,0,0,0,0,2,0,0,0,1,,,,0,1,0,0,0,1
6177,1,2,1,0.25,0.4,0.0454545454545455,1,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1
6178,4,9,1,0.166666666666667,0.321428571428571,0.0454545454545455,4,0,0,0,8,1,0,0,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0,1
6179,6,1,,0.4,0.166666666666667,,6,0,0,1,0,0,,,,1,0,0,1,0,0,,,
6180,4,9,1,0.166666666666667,0.321428571428571,0.0454545454545455,4,0,0,0,8,1,0,0,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0,1
6181,13,,,0.333333333333333,,,1,3,9,,,,,,,0.0769230769230769,0.230769230769231,0.692307692307692,,,,,,
6182,2,3,0,0.222222222222222,0.333333333333333,0,2,0,0,0,3,0,0,0,0,1,0,0,0,1,0,,,
6183,0,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,,,
6184,6,0,1,0.25,0,0.0833333333333333,6,0,0,0,0,0,0,0,1,1,0,0,,,,0,0,1
6185,4,9,1,0.166666666666667,0.321428571428571,0.0454545454545455,4,0,0,0,8,1,0,0,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0,1
6186,3,3,3,0.214285714285714,0.214285714285714,0.428571428571429,3,0,0,2,1,0,0,1,2,1,0,0,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0.666666666666667
6187,4,9,1,0.166666666666667,0.321428571428571,0.0454545454545455,4,0,0,0,8,1,0,0,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0,1
6188,3,,0,0.428571428571429,,0,3,0,0,,,,0,0,0,1,0,0,,,,,,
6189,0,1,4,0,0.5,0.571428571428571,0,0,0,0,1,0,1,0,3,,,,0,1,0,0.25,0,0.75
6190,5,0,2,0.119047619047619,0,0.5,5,0,0,0,0,0,1,0,1,1,0,0,,,,0.5,0,0.5
6191,0,2,1,0,0.666666666666667,0.5,0,0,0,0,1,1,1,0,0,,,,0,0.5,0.5,1,0,0
6192,4,6,4,0.0930232558139535,0.13953488372093,0.173913043478261,4,0,0,0,6,0,0,0,4,1,0,0,0,1,0,0,0,1
6193,4,9,1,0.166666666666667,0.321428571428571,0.0454545454545455,4,0,0,0,8,1,0,0,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0,1
6194,5,0,2,0.119047619047619,0,0.5,5,0,0,0,0,0,1,0,1,1,0,0,,,,0.5,0,0.5
6195,10,1,14,0.263157894736842,0.0588235294117647,0.175,10,0,0,0,1,0,14,0,0,1,0,0,0,1,0,1,0,0
6196,4,9,1,0.166666666666667,0.321428571428571,0.0454545454545455,4,0,0,0,8,1,0,0,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0,1
6197,5,3,3,0.333333333333333,0.130434782608696,0.136363636363636,5,0,0,0,1,2,0,0,3,1,0,0,0,0.333333333333333,0.666666666666667,0,0,1
6198,7,3,3,0.142857142857143,0.333333333333333,0.176470588235294,6,0,1,0,3,0,0,1,2,0.857142857142857,0,0.142857142857143,0,1,0,0,0.333333333333333,0.666666666666667
6199,7,0,1,0.142857142857143,0,0.2,6,0,1,0,0,0,0,0,1,0.857142857142857,0,0.142857142857143,,,,0,0,1
6200,7,,1,0.142857142857143,,0.2,6,0,1,,,,0,1,0,0.857142857142857,0,0.142857142857143,,,,0,1,0
6201,7,1,,0.636363636363636,0.25,,4,2,1,1,0,0,,,,0.571428571428571,0.285714285714286,0.142857142857143,1,0,0,,,
6202,,,,,,,,,,,,,,,,,,,,,,,,
6203,0,8,3,0,0.5,0.5,0,0,0,4,1,3,1,1,1,,,,0.5,0.125,0.375,0.333333333333333,0.333333333333333,0.333333333333333
6204,8,4,2,0.2,0.173913043478261,0.25,8,0,0,0,4,0,0,2,0,1,0,0,0,1,0,0,1,0
6205,1,2,,0.2,0.4,,0,0,1,1,1,0,,,,0,0,1,0.5,0.5,0,,,
6206,7,1,0,0.148936170212766,0.166666666666667,0,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,,
6207,0,2,0,0,0.25,0,0,0,0,0,2,0,0,0,0,,,,0,1,0,,,
6208,0,1,6,0,0.0434782608695652,0.2,0,0,0,0,1,0,0,1,5,,,,0,1,0,0,0.166666666666667,0.833333333333333
6209,2,13,,0.222222222222222,0.333333333333333,,2,0,0,1,3,9,,,,1,0,0,0.0769230769230769,0.230769230769231,0.692307692307692,,,
6210,0,1,6,0,0.0434782608695652,0.2,0,0,0,0,1,0,0,1,5,,,,0,1,0,0,0.166666666666667,0.833333333333333
6211,5,0,0,0.333333333333333,0,0,5,0,0,0,0,0,0,0,0,1,0,0,,,,,,
6212,1,2,,0.333333333333333,0.666666666666667,,1,0,0,0,1,1,,,,1,0,0,0,0.5,0.5,,,
6213,3,1,9,0.107142857142857,0.0625,0.105882352941176,3,0,0,0,1,0,1,1,7,1,0,0,0,1,0,0.111111111111111,0.111111111111111,0.777777777777778
6214,1,3,,0.166666666666667,0.0833333333333333,,1,0,0,0,0,3,,,,1,0,0,0,0,1,,,
6215,0,4,0,0,0.133333333333333,0,0,0,0,0,4,0,0,0,0,,,,0,1,0,,,
6216,8,2,0,0.181818181818182,0.181818181818182,0,8,0,0,0,2,0,0,0,0,1,0,0,0,1,0,,,
6217,3,11,1,0.272727272727273,0.150684931506849,0.0666666666666667,3,0,0,0,11,0,0,1,0,1,0,0,0,1,0,0,1,0
6218,4,3,24,0.0930232558139535,0.115384615384615,0.263736263736264,4,0,0,0,3,0,2,5,17,1,0,0,0,1,0,0.0833333333333333,0.208333333333333,0.708333333333333
6219,0,2,2,0,0.166666666666667,0.333333333333333,0,0,0,1,0,1,0,0,2,,,,0.5,0,0.5,0,0,1
6220,8,1,0,0.333333333333333,0.0526315789473684,0,8,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,,
6221,1,,0,0.2,,0,1,0,0,,,,0,0,0,1,0,0,,,,,,
6222,11,2,,0.366666666666667,0.133333333333333,,11,0,0,1,1,0,,,,1,0,0,0.5,0.5,0,,,
6223,,,,,,,,,,,,,,,,,,,,,,,,
6224,20,1,2,0.210526315789474,0.0625,0.25,20,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
6225,0,6,,0,0.272727272727273,,0,0,0,0,3,3,,,,,,,0,0.5,0.5,,,
6226,1,3,2,0.2,0.230769230769231,0.333333333333333,1,0,0,0,3,0,1,1,0,1,0,0,0,1,0,0.5,0.5,0
6227,0,1,24,0,0.0526315789473684,0.263736263736264,0,0,0,0,1,0,2,5,17,,,,0,1,0,0.0833333333333333,0.208333333333333,0.708333333333333
6228,8,3,2,0.2,0.214285714285714,0.333333333333333,8,0,0,0,3,0,0,2,0,1,0,0,0,1,0,0,1,0
6229,5,0,0,0.217391304347826,0,0,5,0,0,0,0,0,0,0,0,1,0,0,,,,,,
6230,,1,2,,0.0625,0.666666666666667,,,,0,0,1,0,2,0,,,,0,0,1,0,1,0
6231,5,,,0.217391304347826,,,5,0,0,,,,,,,1,0,0,,,,,,
6232,,,1,,,0.166666666666667,,,,,,,0,0,1,,,,,,,0,0,1
6233,20,3,1,0.555555555555556,0.272727272727273,1,17,1,2,0,3,0,0,0,1,0.85,0.05,0.1,0,1,0,0,0,1
6234,0,3,,0,0.176470588235294,,0,0,0,0,3,0,,,,,,,0,1,0,,,
6235,9,2,0,0.5,0.2,0,9,0,0,0,0,2,0,0,0,1,0,0,0,0,1,,,
6236,7,0,2,0.148936170212766,0,0.1,7,0,0,0,0,0,0,1,1,1,0,0,,,,0,0.5,0.5
6237,0,1,,0,0.5,,0,0,0,0,1,0,,,,,,,0,1,0,,,
6238,3,6,6,0.1875,0.333333333333333,0.272727272727273,3,0,0,0,6,0,0,3,3,1,0,0,0,1,0,0,0.5,0.5
6239,0,2,0,0,0.285714285714286,0,0,0,0,0,2,0,0,0,0,,,,0,1,0,,,
6240,0,3,6,0,0.136363636363636,0.230769230769231,0,0,0,0,0,3,0,1,5,,,,0,0,1,0,0.166666666666667,0.833333333333333
6241,,1,0,,0.125,0,,,,1,0,0,0,0,0,,,,1,0,0,,,
6242,2,2,0,0.166666666666667,0.111111111111111,0,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,,,
6243,14,8,2,0.175,0.242424242424242,0.125,14,0,0,0,7,1,0,0,2,1,0,0,0,0.875,0.125,0,0,1
6244,4,,,0.19047619047619,,,4,0,0,,,,,,,1,0,0,,,,,,
6245,7,10,9,0.1,0.161290322580645,0.128571428571429,7,0,0,0,10,0,0,1,8,1,0,0,0,1,0,0,0.111111111111111,0.888888888888889
6246,5,10,1,0.142857142857143,0.161290322580645,0.2,5,0,0,0,10,0,0,0,1,1,0,0,0,1,0,0,0,1
6247,44,6,4,0.321167883211679,0.333333333333333,0.8,43,0,1,0,6,0,0,0,4,0.977272727272727,0,0.0227272727272727,0,1,0,0,0,1
6248,5,5,6,0.5,0.384615384615385,0.375,5,0,0,1,2,2,1,1,4,1,0,0,0.2,0.4,0.4,0.166666666666667,0.166666666666667,0.666666666666667
6249,6,1,3,0.206896551724138,0.25,0.230769230769231,6,0,0,0,0,1,0,1,2,1,0,0,0,0,1,0,0.333333333333333,0.666666666666667
6250,4,1,1,0.0930232558139535,0.0714285714285714,0.2,4,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
6251,2,0,1,0.5,0,0.2,2,0,0,0,0,0,0,0,1,1,0,0,,,,0,0,1
6252,8,0,0,0.2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,,,,,,
6253,2,1,2,1,0.333333333333333,0.666666666666667,2,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1
6254,2,2,,0.222222222222222,0.153846153846154,,2,0,0,0,2,0,,,,1,0,0,0,1,0,,,
6255,0,7,,0,0.291666666666667,,0,0,0,5,2,0,,,,,,,0.714285714285714,0.285714285714286,0,,,
6256,12,2,0,0.324324324324324,0.111111111111111,0,12,0,0,0,2,0,0,0,0,1,0,0,0,1,0,,,
6257,7,4,0,0.1,0.2,0,7,0,0,0,4,0,0,0,0,1,0,0,0,1,0,,,
6258,7,1,1,0.333333333333333,0.25,0.0555555555555556,7,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
6259,,1,,,0.142857142857143,,,,,0,0,1,,,,,,,0,0,1,,,
6260,1,6,4,0.111111111111111,0.666666666666667,0.222222222222222,0,1,0,3,0,3,0,1,3,0,1,0,0.5,0,0.5,0,0.25,0.75
6261,,0,,,0,,,,,0,0,0,,,,,,,,,,,,
6262,7,1,3,0.1,0.2,0.176470588235294,7,0,0,0,1,0,2,0,1,1,0,0,0,1,0,0.666666666666667,0,0.333333333333333
6263,2,1,3,0.333333333333333,0.0833333333333333,0.272727272727273,0,0,2,0,1,0,0,0,3,0,0,1,0,1,0,0,0,1
6264,5,6,2,0.15625,0.142857142857143,0.222222222222222,5,0,0,0,6,0,0,2,0,1,0,0,0,1,0,0,1,0
6265,7,0,0,0.148936170212766,0,0,7,0,0,0,0,0,0,0,0,1,0,0,,,,,,
6266,14,4,0,0.175,0.16,0,14,0,0,0,4,0,0,0,0,1,0,0,0,1,0,,,
6267,24,3,,0.19672131147541,0.375,,24,0,0,0,3,0,,,,1,0,0,0,1,0,,,
6268,1,9,1,0.25,0.692307692307692,1,1,0,0,0,7,2,0,0,1,1,0,0,0,0.777777777777778,0.222222222222222,0,0,1
6269,1,,,0.5,,,1,0,0,,,,,,,1,0,0,,,,,,
