orderID,orderTime,userID,couponsReceived,couponID1,price1,basePrice1,reward1,premiumProduct1,brand1,productGroup1,categoryIDs1,couponID2,price2,basePrice2,reward2,premiumProduct2,brand2,productGroup2,categoryIDs2,couponID3,price3,basePrice3,reward3,premiumProduct3,brand3,productGroup3,categoryIDs3,coupon1Used,coupon2Used,coupon3Used,basketValue
64,2015-01-06 20:14:09,64,2015-01-06 15:33:04,59,6.11,2.04,1.26,0,5,26,1,1312,7.5,1.56,1.57,0,5,111,16,815,5.93,3.95,2.51,0,6,90,2:3:9:10,0,0,0,239.61
65,2015-01-06 20:15:36,65,2015-01-06 20:05:29,60,3.66,6.09,1.57,0,5,30,3,1313,18.34,2.29,0.63,0,5,134,6:17,51,7.32,2.08,1.57,0,4,26,1,0,0,1,208.53
66,2015-01-06 20:20:45,66,2015-01-06 20:15:35,61,2.96,0,1.26,1,3,11,4:5,752,7.36,2.04,1.88,1,3,131,4:16,2477,3.52,0,1.57,0,5,63,3:20,0,0,0,189.87
67,2015-01-06 20:22:56,67,2015-01-06 16:15:00,21,12.18,4.87,1.57,0,2,15,1:9,1314,6.44,0.85,1.88,0,2,127,16,1601,18.48,6.16,1.26,0,5,20,3,0,0,0,196.08
68,2015-01-06 20:40:16,68,2015-01-06 17:07:20,8,9.17,2.04,0.94,1,3,3,1:4,1269,4.17,1.39,1.26,1,3,175,4:16,2478,2.5,2.17,1.26,1,3,101,3:4,0,0,0,274.94
69,2015-01-06 20:41:43,69,2015-01-06 20:16:22,62,5.05,1.73,0.94,0,2,17,5:9,1039,3.47,0.99,1.57,0,5,149,2:3:9:20,949,3.47,0.99,1.57,0,5,149,3:20,1,1,1,208.21
70,2015-01-06 20:41:51,70,2015-01-06 20:02:19,63,9.17,3.67,1.26,1,3,3,1:4:9,1238,5.93,0.79,1.57,0,5,127,16,2479,2.69,0.54,1.26,1,3,88,3:4,0,0,0,223.08
71,2015-01-06 20:50:30,71,2015-01-06 20:17:05,64,6.76,2.41,1.57,0,4,31,1,373,4.21,0.69,3.14,0,5,88,3:9,712,3.66,1.92,1.26,0,5,90,2:3:9,0,0,0,188.02
72,2015-01-06 20:51:54,72,2015-01-06 20:16:14,35,13.06,1.44,1.26,0,2,5,5:6,1315,6.02,3.01,0.94,0,5,103,3,2275,4.08,0.82,1.57,0,5,90,3,1,0,0,241.09
73,2015-01-06 20:59:02,73,2015-01-06 20:23:31,65,4.03,2.69,1.57,0,2,1,1,1316,3.61,1.9,1.88,0,6,104,2:3:10,130,12.92,12.92,2.2,0,5,20,2:3:9,0,0,0,188.76
74,2015-01-06 20:59:59,74,2015-01-06 20:18:48,66,2.59,0.52,1.57,1,3,32,4:5:9,1317,3.57,0,1.57,0,5,76,2:3,2480,15.7,0.35,1.57,0,21,89,18,0,0,1,284.25
75,2015-01-06 21:11:21,75,2015-01-06 20:28:09,67,10.88,3.2,1.57,0,2,9,1:2:9,1269,4.17,1.39,1.26,1,3,175,4:16,1701,6.11,2.45,1.57,1,3,116,3:4:9:20,0,0,0,185.98
76,2015-01-06 21:13:50,76,2015-01-06 15:06:17,68,6.25,2.5,0.63,0,2,17,5:6:9,1318,5,1.34,1.57,0,7,98,16,2078,2.27,0.45,0,1,3,80,3:4,0,0,0,209.83
77,2015-01-06 21:16:05,77,2015-01-06 21:11:45,69,65.44,7.27,0.94,0,4,3,1,870,9.08,2.27,1.57,1,3,109,4:16,1934,6.02,1.2,2.2,1,3,16,3:4,1,1,1,331.35
78,2015-01-06 21:19:06,78,2015-01-06 15:55:03,70,2.73,2.09,1.26,0,2,12,1,1319,9.22,1.44,1.57,0,5,111,16,953,3.43,0.48,2.2,1,3,90,3:4,1,0,0,538.4
79,2015-01-06 21:28:26,79,2015-01-06 20:24:09,71,12.32,2.73,0.94,0,2,27,1,373,4.21,0.69,3.14,0,5,88,3:9,2481,12.78,1.42,1.57,0,5,47,8,0,0,0,192.28
80,2015-01-06 21:31:48,80,2015-01-06 20:53:11,8,9.17,2.04,0.94,1,3,3,1:4,870,9.08,2.27,1.57,1,3,109,4:16,2358,5.37,2.98,1.57,0,6,104,2:3:10,0,1,0,194.59
81,2015-01-06 21:36:55,81,2015-01-06 16:09:20,72,3.89,1.95,0.94,0,2,8,1:9,1320,6.67,0.94,1.57,1,3,88,3:4,2472,2.73,0.55,0.94,0,3,42,3,0,0,0,209.83
82,2015-01-06 21:37:00,82,2015-01-06 15:13:31,73,3.43,4.57,0.94,0,7,1,1,1321,5.88,1.95,1.57,0,5,98,16,2482,3.33,0.67,1.57,0,5,80,3,1,0,0,170.7
83,2015-01-06 21:43:44,83,2015-01-06 21:14:21,74,3.61,0.6,1.57,1,10,18,4:7,1162,4.58,4.58,1.88,0,17,78,7,2483,6.44,2.57,2.2,0,5,203,15,0,0,0,204.64
84,2015-01-06 21:45:24,84,2015-01-06 21:16:06,9,4.54,4.54,1.26,0,5,6,7:8,1005,4.45,0.89,1.57,0,5,68,3,2484,3.66,1.97,1.26,0,5,90,3,0,0,0,197.84
85,2015-01-06 21:49:04,85,2015-01-06 15:39:41,37,10,166.72,0.94,1,3,5,4:5,1322,3.47,1.16,1.88,0,2,109,16,1443,2.73,0,1.88,1,3,123,3:4,0,0,0,201.03
86,2015-01-06 21:51:39,86,2015-01-06 20:22:32,7,4.68,2.59,1.26,1,3,3,1:4,1174,9.59,1.07,0.94,0,5,66,2:11:16,2485,4.49,2.77,1.57,0,5,116,3,0,0,0,421.19
87,2015-01-06 21:54:25,87,2015-01-06 21:49:47,37,10,166.72,0.94,1,3,5,4:5,1323,3.98,3.98,1.88,0,6,114,2:3,1986,6.44,3.21,0.94,1,3,86,3:4,1,0,0,259.94
88,2015-01-06 21:55:13,88,2015-01-06 21:52:46,75,13.85,5.54,1.57,0,6,20,2:3:9,1324,12.87,0,1.88,0,6,152,2:3:15,2486,3.61,1.2,1.57,0,5,204,3,0,0,0,114.62
89,2015-01-06 22:23:54,89,2015-01-06 15:16:43,54,4.17,2.6,1.57,0,4,27,1:9,1325,4.4,1.17,0.94,0,5,88,3,2286,4.08,2.04,1.57,0,5,90,2:3,0,0,0,206.22
90,2015-01-06 22:24:33,90,2015-01-06 20:54:12,76,3.66,2.81,6.28,0,5,17,5,1326,2.32,0.09,1.88,0,5,177,17,540,13.34,1.48,1.26,0,5,47,8,0,1,1,199.04
91,2015-01-06 22:25:07,91,2015-01-06 21:41:55,77,7.5,1.67,1.26,0,2,8,1:9,1327,6.67,2.67,1.57,0,5,92,19,1630,5.09,5.2,1.57,0,5,184,3,1,0,1,402.16
92,2015-01-06 22:25:51,92,2015-01-06 21:56:56,78,6.67,3.33,1.26,1,3,17,4:5,1328,4.08,3.7,1.57,0,5,117,3,1780,3.66,1.82,1.26,0,5,90,2:3,0,0,1,211.45
93,2015-01-06 22:42:16,93,2015-01-06 22:24:52,79,4.26,1.7,0.94,0,2,33,5:6,1329,2.32,0.68,2.2,0,2,126,3:12,2487,3.24,0,1.57,0,5,205,18,1,1,1,341.3
94,2015-01-06 22:46:28,94,2015-01-06 22:44:09,80,4.91,0,1.57,0,4,24,5,492,7.36,1.47,1.26,1,19,83,4:19,1296,2.69,1.07,1.57,1,3,22,3:4,1,0,0,389
95,2015-01-06 22:48:47,95,2015-01-06 22:28:38,81,12.04,12.04,1.26,0,5,9,1,1330,5.74,1.59,1.57,0,5,98,16,23,5.51,1.1,1.88,1,3,16,3:4,0,1,0,213.91
96,2015-01-06 22:49:29,96,2015-01-06 15:30:40,82,4.49,2.08,0.94,1,3,17,4:5,1331,3.98,2.74,1.57,1,3,115,3:4:20,2488,2.96,2.82,3.14,1,3,99,3:4,0,0,0,590.27
97,2015-01-06 22:51:15,97,2015-01-06 21:45:59,83,5.56,4.27,1.57,0,5,8,1,124,3.47,0.69,0.94,1,3,50,4:16,1423,2.32,5.79,1.57,1,3,2,3:4:9,0,0,0,395.63
98,2015-01-06 23:01:51,98,2015-01-06 22:28:40,84,4.12,3.43,1.26,0,5,7,3:6,447,2.73,1.09,1.26,0,5,30,2:3,1860,2.5,2.5,0.94,0,5,152,3:9,1,0,0,185.24
99,2015-01-06 23:02:48,99,2015-01-06 15:31:50,85,6.21,8.86,1.57,0,7,13,1:9:10,1312,7.5,1.56,1.57,0,5,111,16,1254,5.93,4.56,1.26,0,6,160,2,0,0,0,214.23
100,2015-01-06 23:18:33,100,2015-01-06 16:06:47,30,8.89,3.7,1.26,0,4,10,1,1332,11.99,1.26,1.26,0,2,131,16,840,2.73,4.55,1.88,0,10,114,3,0,1,0,423.46
101,2015-01-06 23:20:46,101,2015-01-06 23:09:25,26,3.33,3.33,1.26,0,5,18,7,1333,6.67,1.11,1.57,0,5,111,6:16,271,3.66,3.66,0.63,0,2,20,3:6,1,0,0,295.23
102,2015-01-06 23:51:01,102,2015-01-06 18:15:18,86,3.15,0.63,1.26,0,5,34,5,765,4.45,1.48,0.94,0,5,114,3:11:21,2331,2.73,0.27,1.57,0,21,51,15,0,0,0,245.4
103,2015-01-07 00:05:41,103,2015-01-06 23:33:57,51,7.32,2.08,1.57,0,4,26,1,1334,4.45,1.64,1.26,0,5,98,16,1567,2.73,3.03,1.57,0,6,86,2:3,0,0,0,449.81
104,2015-01-07 00:28:56,104,2015-01-06 20:33:10,87,13.52,7.51,0.63,1,3,3,1:4,1335,4.91,2.45,1.57,1,3,97,3,2056,3.33,16.67,1.57,1,3,100,3:4,0,0,0,187.42
105,2015-01-07 06:11:32,105,2015-01-06 15:23:15,88,4.35,2.18,1.26,0,5,35,8,52,4.26,2.13,1.26,0,4,26,1,1601,18.48,6.16,1.26,0,5,20,3,0,0,1,203.07
106,2015-01-07 06:52:26,106,2015-01-06 16:31:49,89,15.7,15.7,1.26,0,5,28,3:6,667,3.66,0,0.63,0,5,11,5,1506,2.59,0.48,1.57,0,2,75,3,0,0,1,216.92
107,2015-01-07 07:41:05,107,2015-01-07 07:34:56,35,13.06,1.44,1.26,0,2,5,5:6,1312,7.5,1.56,1.57,0,5,111,16,1722,4.45,1.58,0.94,0,5,114,3:11:21,1,0,0,204.23
108,2015-01-07 07:56:12,108,2015-01-06 18:59:52,61,2.96,0,1.26,1,3,11,4:5,23,5.51,1.1,1.88,1,3,16,3:4,2372,4.58,2.29,0.94,1,3,97,3:4,0,0,0,284.85
109,2015-01-07 08:11:05,109,2015-01-07 07:40:30,61,2.96,0,1.26,1,3,11,4:5,1336,4.58,1.53,1.57,1,3,175,4:16,953,3.43,0.48,2.2,1,3,90,3:4,0,1,0,240.95
110,2015-01-07 08:31:10,110,2015-01-07 05:42:57,90,2.41,1.2,1.57,0,2,36,5:6:9,1262,5.28,5.28,1.26,0,5,20,3,1700,3.43,0.69,1.57,0,5,42,2:3:10,1,0,0,813.81
111,2015-01-07 08:36:20,111,2015-01-07 08:20:10,5,12.27,2.45,1.26,0,4,3,1,817,5.23,4.19,1.57,0,6,104,2:3:10,2489,2.5,2.5,1.57,1,3,76,3:4,1,0,0,203.39
112,2015-01-07 08:37:35,112,2015-01-07 07:51:19,91,10.98,3.43,1.57,0,2,9,1,1337,10.65,0,1.88,0,5,20,3,980,6.11,4.89,1.57,0,5,152,3:9,1,1,1,221.27
113,2015-01-07 08:41:25,113,2015-01-07 07:05:39,92,2.73,0.55,1.57,0,7,23,7,844,7.36,1.47,1.57,0,5,16,3,2490,7.36,1.47,0.63,0,5,28,3,1,0,0,273.97
114,2015-01-07 08:44:47,114,2015-01-06 19:26:01,93,6.67,8.34,1.26,0,2,13,1,622,4.17,0.83,0.94,1,3,88,3:4,2315,4.26,0.98,1.88,0,5,88,3:20,0,0,0,210.71
115,2015-01-07 08:57:08,115,2015-01-06 15:10:03,67,10.88,3.2,1.57,0,2,9,1:2:9,1282,4.82,1.05,1.57,1,3,111,4:16,1443,2.73,0,1.88,1,3,123,3:4,0,0,0,193.16
116,2015-01-07 09:04:03,116,2015-01-06 18:12:48,94,3.94,13.11,1.57,0,6,37,2:5,1165,3.52,2.34,2.2,0,6,75,2:3:10:12,2491,3.66,1.46,1.26,0,5,75,3:12,0,0,0,282.07
117,2015-01-07 09:05:21,117,2015-01-07 08:57:13,95,3.52,2.34,2.2,0,5,38,7:9:12,663,3.06,0.31,1.88,1,3,123,3:4,271,3.66,3.66,0.63,0,2,20,3:6,1,0,1,148.19
118,2015-01-07 09:08:18,118,2015-01-07 07:41:42,59,6.11,2.04,1.26,0,5,26,1,1338,5.74,1.59,1.57,0,5,111,16,1316,3.61,1.9,1.88,0,6,104,2:3:10,0,0,0,270.68
119,2015-01-07 09:12:36,119,2015-01-07 09:09:44,96,2.73,2.19,0.94,0,5,39,5,1339,4.49,2.24,1.57,0,5,109,16,2492,6.07,0.6,1.57,0,5,44,14,1,1,1,194.87
120,2015-01-07 09:21:40,120,2015-01-06 15:10:39,13,5.56,4.27,1.57,0,5,8,1,1340,5.65,1.13,1.57,0,2,175,16,268,20.38,13.58,0.94,0,5,73,3,0,0,0,227.57
121,2015-01-07 09:23:17,121,2015-01-06 21:54:40,97,8.29,8.29,1.26,1,3,13,1:9,1341,3.8,2.45,1.57,0,5,114,3,2006,3.52,1.85,1.26,0,5,114,3,1,0,0,190.06
122,2015-01-07 09:29:16,122,2015-01-07 09:19:41,77,7.5,1.67,1.26,0,2,8,1:9,1342,18.29,3.05,3.14,0,2,131,29,2493,4.08,7.41,2.2,0,2,75,3,0,0,0,491.3
