orderID,couponsReceivedDate,couponsReceivedTime,couponsReceivedDoW,couponsReceivedWeekend,couponsReceivedFriSat,orderTimeDate,orderTimeTime,orderTimeDoW,orderTimeWeekend,orderTimeFriSat,batchID,couponsExpire,couponsSent,TimeBtwnSentRec,TimeBtwnRecExpire,TimeBtwnRecOrder,TimeBtwnOrderExpire
13,2015-01-06,15H 15M 12S,Tuesday,0,0,2015-01-06,15H 48M 19S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.2530555555556,152.746944444444,0.551944444444444,152.195
14,2015-01-06,15H 55M 49S,Tuesday,0,0,2015-01-06,16H 3M 25S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.93,152.07,0.126666666666667,151.943333333333
15,2015-01-06,15H 36M 12S,Tuesday,0,0,2015-01-06,16H 14M 9S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.6030555555556,152.396944444444,0.6325,151.764444444444
16,2015-01-06,15H 26M 41S,Tuesday,0,0,2015-01-06,16H 22M 46S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.4444444444444,152.555555555556,0.934722222222222,151.620833333333
17,2015-01-06,15H 10M 35S,Tuesday,0,0,2015-01-06,16H 22M 55S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.1761111111111,152.823888888889,1.20555555555556,151.618333333333
18,2015-01-06,15H 57M 56S,Tuesday,0,0,2015-01-06,16H 23M 19S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.9652777777778,152.034722222222,0.423055555555556,151.611666666667
19,2015-01-06,15H 19M 29S,Tuesday,0,0,2015-01-06,16H 25M 43S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.3244444444444,152.675555555556,1.10388888888889,151.571666666667
20,2015-01-06,16H 1M 33S,Tuesday,0,0,2015-01-06,16H 36M 0S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.0255555555556,151.974444444444,0.574166666666667,151.400277777778
21,2015-01-06,15H 16M 45S,Tuesday,0,0,2015-01-06,16H 39M 3S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.2788888888889,152.721111111111,1.37166666666667,151.349444444444
22,2015-01-06,16H 9M 33S,Tuesday,0,0,2015-01-06,16H 51M 16S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.1588888888889,151.841111111111,0.695277777777778,151.145833333333
23,2015-01-06,15H 53M 5S,Tuesday,0,0,2015-01-06,16H 55M 25S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.8844444444444,152.115555555556,1.03888888888889,151.076666666667
24,2015-01-06,16H 22M 30S,Tuesday,0,0,2015-01-06,16H 57M 7S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.3747222222222,151.625277777778,0.576944444444444,151.048333333333
25,2015-01-06,15H 13M 38S,Tuesday,0,0,2015-01-06,17H 5M 7S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.2269444444444,152.773055555556,1.85805555555556,150.915
26,2015-01-06,16H 17M 59S,Tuesday,0,0,2015-01-06,17H 9M 59S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.2994444444444,151.700555555556,0.866666666666667,150.833888888889
27,2015-01-06,16H 37M 30S,Tuesday,0,0,2015-01-06,17H 17M 31S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.6247222222222,151.375277777778,0.666944444444444,150.708333333333
28,2015-01-06,17H 10M 16S,Tuesday,0,0,2015-01-06,17H 22M 59S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.1708333333333,150.829166666667,0.211944444444444,150.617222222222
29,2015-01-06,16H 25M 21S,Tuesday,0,0,2015-01-06,17H 26M 46S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.4222222222222,151.577777777778,1.02361111111111,150.554166666667
30,2015-01-06,16H 46M 52S,Tuesday,0,0,2015-01-06,17H 28M 17S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.7808333333333,151.219166666667,0.690277777777778,150.528888888889
31,2015-01-06,16H 55M 42S,Tuesday,0,0,2015-01-06,17H 32M 9S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.9280555555556,151.071944444444,0.6075,150.464444444444
32,2015-01-06,16H 35M 54S,Tuesday,0,0,2015-01-06,17H 42M 37S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.5980555555556,151.401944444444,1.11194444444444,150.29
33,2015-01-06,17H 5M 0S,Tuesday,0,0,2015-01-06,17H 46M 45S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.0830555555556,150.916944444444,0.695833333333333,150.221111111111
34,2015-01-06,16H 59M 51S,Tuesday,0,0,2015-01-06,17H 50M 39S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.9972222222222,151.002777777778,0.846666666666667,150.156111111111
35,2015-01-06,15H 42M 6S,Tuesday,0,0,2015-01-06,17H 55M 3S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.7013888888889,152.298611111111,2.21583333333333,150.082777777778
36,2015-01-06,17H 39M 12S,Tuesday,0,0,2015-01-06,17H 59M 40S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.6530555555556,150.346944444444,0.341111111111111,150.005833333333
37,2015-01-06,16H 13M 39S,Tuesday,0,0,2015-01-06,18H 4M 10S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.2272222222222,151.772777777778,1.84194444444444,149.930833333333
38,2015-01-06,17H 19M 19S,Tuesday,0,0,2015-01-06,18H 11M 0S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.3216666666667,150.678333333333,0.861388888888889,149.816944444444
39,2015-01-06,18H 0M 37S,Tuesday,0,0,2015-01-06,18H 20M 37S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.01,149.99,0.333333333333333,149.656666666667
40,2015-01-06,18H 8M 42S,Tuesday,0,0,2015-01-06,18H 24M 45S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.1447222222222,149.855277777778,0.2675,149.587777777778
41,2015-01-06,16H 55M 8S,Tuesday,0,0,2015-01-06,18H 33M 1S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.9186111111111,151.081388888889,1.63138888888889,149.45
42,2015-01-06,17H 7M 1S,Tuesday,0,0,2015-01-06,18H 33M 30S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.1166666666667,150.883333333333,1.44138888888889,149.441944444444
43,2015-01-06,18H 20M 55S,Tuesday,0,0,2015-01-06,18H 36M 20S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.3483333333333,149.651666666667,0.256944444444444,149.394722222222
44,2015-01-06,17H 43M 8S,Tuesday,0,0,2015-01-06,18H 41M 54S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.7186111111111,150.281388888889,0.979444444444444,149.301944444444
45,2015-01-06,16H 13M 58S,Tuesday,0,0,2015-01-06,18H 43M 2S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.2325,151.7675,2.48444444444444,149.283055555556
46,2015-01-06,17H 49M 4S,Tuesday,0,0,2015-01-06,18H 45M 55S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.8175,150.1825,0.9475,149.235
47,2015-01-06,17H 36M 58S,Tuesday,0,0,2015-01-06,18H 50M 24S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.6158333333333,150.384166666667,1.22388888888889,149.160277777778
48,2015-01-06,18H 24M 5S,Tuesday,0,0,2015-01-06,18H 51M 38S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.4011111111111,149.598888888889,0.459166666666667,149.139722222222
49,2015-01-06,17H 16M 55S,Tuesday,0,0,2015-01-06,18H 55M 48S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.2816666666667,150.718333333333,1.64805555555556,149.070277777778
50,2015-01-06,17H 40M 38S,Tuesday,0,0,2015-01-06,18H 57M 54S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.6769444444444,150.323055555556,1.28777777777778,149.035277777778
51,2015-01-06,18H 38M 25S,Tuesday,0,0,2015-01-06,19H 6M 27S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.64,149.36,0.467222222222222,148.892777777778
52,2015-01-06,18H 29M 5S,Tuesday,0,0,2015-01-06,19H 10M 24S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.4844444444444,149.515555555556,0.688611111111111,148.826944444444
53,2015-01-06,19H 1M 14S,Tuesday,0,0,2015-01-06,19H 20M 3S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,19.0202777777778,148.979722222222,0.313611111111111,148.666111111111
54,2015-01-06,18H 49M 24S,Tuesday,0,0,2015-01-06,19H 26M 19S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.8230555555556,149.176944444444,0.615277777777778,148.561666666667
55,2015-01-06,15H 22M 25S,Tuesday,0,0,2015-01-06,19H 36M 50S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.3733333333333,152.626666666667,4.24027777777778,148.386388888889
56,2015-01-06,19H 10M 25S,Tuesday,0,0,2015-01-06,19H 37M 38S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,19.1733333333333,148.826666666667,0.453611111111111,148.373055555556
57,2015-01-06,17H 57M 12S,Tuesday,0,0,2015-01-06,19H 49M 26S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.9530555555556,150.046944444444,1.87055555555556,148.176388888889
58,2015-01-06,19H 14M 5S,Tuesday,0,0,2015-01-06,19H 50M 12S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,19.2344444444444,148.765555555556,0.601944444444444,148.163611111111
59,2015-01-06,18H 18M 0S,Tuesday,0,0,2015-01-06,19H 57M 47S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.2997222222222,149.700277777778,1.66305555555556,148.037222222222
60,2015-01-06,19H 49M 57S,Tuesday,0,0,2015-01-06,20H 1M 47S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,19.8322222222222,148.167777777778,0.197222222222222,147.970555555556
61,2015-01-06,19H 39M 29S,Tuesday,0,0,2015-01-06,20H 2M 27S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,19.6577777777778,148.342222222222,0.382777777777778,147.959444444444
62,2015-01-06,19H 46M 23S,Tuesday,0,0,2015-01-06,20H 3M 32S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,19.7727777777778,148.227222222222,0.285833333333333,147.941388888889
63,2015-01-06,19H 39M 43S,Tuesday,0,0,2015-01-06,20H 6M 5S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,19.6616666666667,148.338333333333,0.439444444444444,147.898888888889
64,2015-01-06,15H 33M 4S,Tuesday,0,0,2015-01-06,20H 14M 9S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.5508333333333,152.449166666667,4.68472222222222,147.764444444444
65,2015-01-06,20H 5M 29S,Tuesday,0,0,2015-01-06,20H 15M 36S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.0911111111111,147.908888888889,0.168611111111111,147.740277777778
66,2015-01-06,20H 15M 35S,Tuesday,0,0,2015-01-06,20H 20M 45S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.2594444444444,147.740555555556,0.0861111111111111,147.654444444444
67,2015-01-06,16H 15M 0S,Tuesday,0,0,2015-01-06,20H 22M 56S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.2497222222222,151.750277777778,4.13222222222222,147.618055555556
68,2015-01-06,17H 7M 20S,Tuesday,0,0,2015-01-06,20H 40M 16S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,17.1219444444444,150.878055555556,3.54888888888889,147.329166666667
69,2015-01-06,20H 16M 22S,Tuesday,0,0,2015-01-06,20H 41M 43S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.2725,147.7275,0.4225,147.305
70,2015-01-06,20H 2M 19S,Tuesday,0,0,2015-01-06,20H 41M 51S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.0383333333333,147.961666666667,0.658888888888889,147.302777777778
71,2015-01-06,20H 17M 5S,Tuesday,0,0,2015-01-06,20H 50M 30S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.2844444444444,147.715555555556,0.556944444444444,147.158611111111
72,2015-01-06,20H 16M 14S,Tuesday,0,0,2015-01-06,20H 51M 54S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.2702777777778,147.729722222222,0.594444444444444,147.135277777778
73,2015-01-06,20H 23M 31S,Tuesday,0,0,2015-01-06,20H 59M 2S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.3916666666667,147.608333333333,0.591944444444444,147.016388888889
74,2015-01-06,20H 18M 48S,Tuesday,0,0,2015-01-06,20H 59M 59S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.3130555555556,147.686944444444,0.686388888888889,147.000555555556
75,2015-01-06,20H 28M 9S,Tuesday,0,0,2015-01-06,21H 11M 21S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.4688888888889,147.531111111111,0.72,146.811111111111
76,2015-01-06,15H 6M 17S,Tuesday,0,0,2015-01-06,21H 13M 50S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.1044444444444,152.895555555556,6.12583333333333,146.769722222222
77,2015-01-06,21H 11M 45S,Tuesday,0,0,2015-01-06,21H 16M 5S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,21.1955555555556,146.804444444444,0.0722222222222222,146.732222222222
78,2015-01-06,15H 55M 3S,Tuesday,0,0,2015-01-06,21H 19M 6S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.9172222222222,152.082777777778,5.40083333333333,146.681944444444
79,2015-01-06,20H 24M 9S,Tuesday,0,0,2015-01-06,21H 28M 26S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.4022222222222,147.597777777778,1.07138888888889,146.526388888889
80,2015-01-06,20H 53M 11S,Tuesday,0,0,2015-01-06,21H 31M 48S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.8861111111111,147.113888888889,0.643611111111111,146.470277777778
81,2015-01-06,16H 9M 20S,Tuesday,0,0,2015-01-06,21H 36M 55S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.1552777777778,151.844722222222,5.45972222222222,146.385
82,2015-01-06,15H 13M 31S,Tuesday,0,0,2015-01-06,21H 37M 0S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.225,152.775,6.39138888888889,146.383611111111
83,2015-01-06,21H 14M 21S,Tuesday,0,0,2015-01-06,21H 43M 44S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,21.2388888888889,146.761111111111,0.489722222222222,146.271388888889
84,2015-01-06,21H 16M 6S,Tuesday,0,0,2015-01-06,21H 45M 24S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,21.2680555555556,146.731944444444,0.488333333333333,146.243611111111
85,2015-01-06,15H 39M 41S,Tuesday,0,0,2015-01-06,21H 49M 4S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.6611111111111,152.338888888889,6.15638888888889,146.1825
86,2015-01-06,20H 22M 32S,Tuesday,0,0,2015-01-06,21H 51M 39S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.3752777777778,147.624722222222,1.48527777777778,146.139444444444
87,2015-01-06,21H 49M 47S,Tuesday,0,0,2015-01-06,21H 54M 25S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,21.8294444444444,146.170555555556,0.0772222222222222,146.093333333333
88,2015-01-06,21H 52M 46S,Tuesday,0,0,2015-01-06,21H 55M 13S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,21.8791666666667,146.120833333333,0.0408333333333333,146.08
89,2015-01-06,15H 16M 43S,Tuesday,0,0,2015-01-06,22H 23M 54S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.2783333333333,152.721666666667,7.11972222222222,145.601944444444
90,2015-01-06,20H 54M 12S,Tuesday,0,0,2015-01-06,22H 24M 33S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.9030555555556,147.096944444444,1.50583333333333,145.591111111111
91,2015-01-06,21H 41M 55S,Tuesday,0,0,2015-01-06,22H 25M 7S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,21.6983333333333,146.301666666667,0.72,145.581666666667
92,2015-01-06,21H 56M 56S,Tuesday,0,0,2015-01-06,22H 25M 51S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,21.9486111111111,146.051388888889,0.481944444444444,145.569444444444
93,2015-01-06,22H 24M 52S,Tuesday,0,0,2015-01-06,22H 42M 16S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,22.4141666666667,145.585833333333,0.29,145.295833333333
94,2015-01-06,22H 44M 9S,Tuesday,0,0,2015-01-06,22H 46M 28S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,22.7355555555556,145.264444444444,0.0386111111111111,145.225833333333
95,2015-01-06,22H 28M 38S,Tuesday,0,0,2015-01-06,22H 48M 47S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,22.4769444444444,145.523055555556,0.335833333333333,145.187222222222
96,2015-01-06,15H 30M 40S,Tuesday,0,0,2015-01-06,22H 49M 29S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.5108333333333,152.489166666667,7.31361111111111,145.175555555556
97,2015-01-06,21H 45M 59S,Tuesday,0,0,2015-01-06,22H 51M 15S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,21.7661111111111,146.233888888889,1.08777777777778,145.146111111111
98,2015-01-06,22H 28M 40S,Tuesday,0,0,2015-01-06,23H 1M 51S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,22.4775,145.5225,0.553055555555556,144.969444444444
99,2015-01-06,15H 31M 50S,Tuesday,0,0,2015-01-06,23H 2M 48S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.5302777777778,152.469722222222,7.51611111111111,144.953611111111
100,2015-01-06,16H 6M 47S,Tuesday,0,0,2015-01-06,23H 18M 33S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.1127777777778,151.887222222222,7.19611111111111,144.691111111111
101,2015-01-06,23H 9M 25S,Tuesday,0,0,2015-01-06,23H 20M 46S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,23.1566666666667,144.843333333333,0.189166666666667,144.654166666667
102,2015-01-06,18H 15M 18S,Tuesday,0,0,2015-01-06,23H 51M 1S,Tuesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.2547222222222,149.745277777778,5.59527777777778,144.15
103,2015-01-06,23H 33M 57S,Tuesday,0,0,2015-01-07,5M 41S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,23.5655555555556,144.434444444444,0.528888888888889,143.905555555556
104,2015-01-06,20H 33M 10S,Tuesday,0,0,2015-01-07,28M 56S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,20.5525,147.4475,3.92944444444444,143.518055555556
105,2015-01-06,15H 23M 15S,Tuesday,0,0,2015-01-07,6H 11M 32S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.3872222222222,152.612777777778,14.8047222222222,137.808055555556
106,2015-01-06,16H 31M 49S,Tuesday,0,0,2015-01-07,6H 52M 26S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,16.53,151.47,14.3436111111111,137.126388888889
107,2015-01-07,7H 34M 56S,Wednesday,0,0,2015-01-07,7H 41M 5S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,31.5819444444444,136.418055555556,0.1025,136.315555555556
108,2015-01-06,18H 59M 52S,Tuesday,0,0,2015-01-07,7H 56M 12S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.9975,149.0025,12.9388888888889,136.063611111111
109,2015-01-07,7H 40M 30S,Wednesday,0,0,2015-01-07,8H 11M 5S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,31.6747222222222,136.325277777778,0.509722222222222,135.815555555556
110,2015-01-07,5H 42M 57S,Wednesday,0,0,2015-01-07,8H 31M 10S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,29.7155555555556,138.284444444444,2.80361111111111,135.480833333333
111,2015-01-07,8H 20M 10S,Wednesday,0,0,2015-01-07,8H 36M 20S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,32.3358333333333,135.664166666667,0.269444444444444,135.394722222222
112,2015-01-07,7H 51M 19S,Wednesday,0,0,2015-01-07,8H 37M 35S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,31.855,136.145,0.771111111111111,135.373888888889
113,2015-01-07,7H 5M 39S,Wednesday,0,0,2015-01-07,8H 41M 25S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,31.0938888888889,136.906111111111,1.59611111111111,135.31
114,2015-01-06,19H 26M 1S,Tuesday,0,0,2015-01-07,8H 44M 47S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,19.4333333333333,148.566666666667,13.3127777777778,135.253888888889
115,2015-01-06,15H 10M 3S,Tuesday,0,0,2015-01-07,8H 57M 8S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.1672222222222,152.832777777778,17.7847222222222,135.048055555556
116,2015-01-06,18H 12M 48S,Tuesday,0,0,2015-01-07,9H 4M 3S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,18.2130555555556,149.786944444444,14.8541666666667,134.932777777778
117,2015-01-07,8H 57M 13S,Wednesday,0,0,2015-01-07,9H 5M 21S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,32.9533333333333,135.046666666667,0.135555555555556,134.911111111111
118,2015-01-07,7H 41M 42S,Wednesday,0,0,2015-01-07,9H 8M 18S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,31.6947222222222,136.305277777778,1.44333333333333,134.861944444444
119,2015-01-07,9H 9M 44S,Wednesday,0,0,2015-01-07,9H 12M 36S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,33.1619444444444,134.838055555556,0.0477777777777778,134.790277777778
120,2015-01-06,15H 10M 39S,Tuesday,0,0,2015-01-07,9H 21M 40S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,15.1772222222222,152.822777777778,18.1836111111111,134.639166666667
121,2015-01-06,21H 54M 40S,Tuesday,0,0,2015-01-07,9H 23M 17S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,21.9108333333333,146.089166666667,11.4769444444444,134.612222222222
122,2015-01-07,9H 19M 41S,Wednesday,0,0,2015-01-07,9H 29M 16S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,33.3277777777778,134.672222222222,0.159722222222222,134.5125
123,2015-01-07,9H 10M 24S,Wednesday,0,0,2015-01-07,9H 31M 9S,Wednesday,0,0,1,2015-01-13 00:00:01,2015-01-06 00:00:01,33.1730555555556,134.826944444444,0.345833333333333,134.481111111111
