orderID,orderTime,userID,couponsReceived,basketValue,couponID1,price1,basePrice1,reward1,premiumProduct1,brand1,productGroup1,categoryIDs1,coupon1Used,couponID2,price2,basePrice2,reward2,premiumProduct2,brand2,productGroup2,categoryIDs2,coupon2Used,couponID3,price3,basePrice3,reward3,premiumProduct3,brand3,productGroup3,categoryIDs3,coupon3Used
22,2015-01-06 16:51:16,user22,2015-01-06 16:09:33,397.71,cpn63,12.18,4.87,1.57,0,brand2,prod45,cat1:cat4,0,cpn64,3.89,1.39,0.94,1,brand4,prod46,cat3:cat7,0,cpn65,5.51,2.75,2.51,1,brand4,prod14,cat5:cat7,0
23,2015-01-06 16:55:25,user23,2015-01-06 15:53:05,188.99,cpn66,17.32,7.87,0.94,1,brand4,prod45,cat1:cat7,0,cpn67,2.73,2.73,1.57,1,brand4,prod47,cat11:cat7:cat19,0,cpn68,3.47,1.16,1.57,0,brand3,prod48,cat13,0
24,2015-01-06 16:57:07,user24,2015-01-06 16:22:30,243.59,cpn10,2.5,2.08,1.57,0,brand6,prod10,cat1,0,cpn69,7.32,1.35,1.26,0,brand3,prod46,cat3,0,cpn70,2.32,5.79,1.57,1,brand4,prod4,cat5:cat7:cat4,0
25,2015-01-06 17:05:07,user25,2015-01-06 15:13:38,710.4,cpn71,5.51,1.1,1.88,1,brand4,prod24,cat5:cat7,0,cpn72,6.81,0.97,0.94,0,brand3,prod49,cat5,0,cpn73,4.03,1.07,0.94,0,brand3,prod27,cat5:cat2,0
26,2015-01-06 17:09:59,user26,2015-01-06 16:17:59,187.42,cpn74,9.86,3.29,1.26,0,brand2,prod31,cat1:cat9,0,cpn75,3.98,2.74,1.26,1,brand4,prod50,cat5:cat7,0,cpn76,3.66,11.43,0.94,0,brand3,prod37,cat5,0
27,2015-01-06 17:17:31,user27,2015-01-06 16:37:30,186.21,cpn77,4.4,1.99,0.94,1,brand4,prod51,cat8:cat7,0,cpn78,8.1,0.9,1.26,0,brand3,prod2,cat16:cat3:cat2,0,cpn79,6.67,3.33,0.94,0,brand3,prod52,cat5,1
28,2015-01-06 17:22:59,user28,2015-01-06 17:10:16,228.31,cpn80,3.33,3.33,1.26,0,brand3,prod32,cat11,0,cpn81,2.96,2.96,1.26,0,brand3,prod53,cat6,0,cpn82,3.98,2.65,1.57,0,brand10,prod30,cat1,0
29,2015-01-06 17:26:46,user29,2015-01-06 16:25:21,369.65,cpn51,2.96,1.56,1.57,0,brand2,prod38,cat1,0,cpn83,3.15,0.44,0.94,0,brand3,prod37,cat5:cat2,0,cpn84,6.85,0.69,1.26,0,brand3,prod54,cat13,0
30,2015-01-06 17:28:17,user30,2015-01-06 16:46:52,94.89,cpn85,3.89,1.21,1.26,0,brand11,prod55,cat8,0,cpn86,3.15,1.96,1.57,0,brand3,prod56,cat5,0,cpn87,3.06,1.98,6.28,0,brand3,prod39,cat5,0
31,2015-01-06 17:32:09,user31,2015-01-06 16:55:42,232.94,cpn88,9.63,9.63,1.26,1,brand4,prod40,cat1:cat7,0,cpn89,4.45,1.27,1.26,0,brand3,prod46,cat3,0,cpn90,3.43,0.48,2.2,1,brand4,prod37,cat5:cat7,1
32,2015-01-06 17:42:37,user32,2015-01-06 16:35:54,225.39,cpn91,7.18,1.7,0.94,0,brand6,prod33,cat1:cat4,0,cpn92,5.09,1.45,1.88,0,brand3,prod19,cat5,0,cpn93,4.08,2.81,1.57,0,brand3,prod18,cat5,0
33,2015-01-06 17:46:45,user33,2015-01-06 17:05:00,232.89,cpn94,8.89,3.7,1.26,0,brand6,prod33,cat1,0,cpn95,3.47,0.69,0.94,1,brand4,prod11,cat3:cat7,0,cpn96,3.61,1.9,1.88,0,brand5,prod29,cat5:cat15:cat2,0
34,2015-01-06 17:50:39,user34,2015-01-06 16:59:51,186.91,cpn97,5.84,5.84,1.26,1,brand4,prod40,cat1,0,cpn98,8.52,0,1.26,0,brand3,prod43,cat3,0,cpn99,15.7,3.14,1.26,0,brand3,prod57,cat5,0
35,2015-01-06 17:55:03,user35,2015-01-06 15:42:06,535.81,cpn100,7.87,1.57,1.57,0,brand3,prod3,cat5:cat15,0,cpn101,2.96,0,1.57,0,brand2,prod52,cat5,0,cpn102,2.32,0.46,1.57,0,brand3,prod58,cat5,0
36,2015-01-06 17:59:40,user36,2015-01-06 17:39:12,200.61,cpn103,2.73,0.55,1.57,1,brand4,prod59,cat5,0,cpn104,2.5,2.5,1.88,1,brand4,prod60,cat5:cat7,0,cpn105,3.06,3.06,1.88,1,brand4,prod61,cat11:cat7,1
37,2015-01-06 18:04:10,user37,2015-01-06 16:13:39,270.27,cpn106,22.92,4.58,1.88,0,brand3,prod1,cat1:cat15,0,cpn89,4.45,1.27,1.26,0,brand3,prod46,cat3,0,cpn107,8.8,1.76,1.88,0,brand3,prod14,cat5,0
38,2015-01-06 18:11:00,user38,2015-01-06 17:19:19,209.88,cpn108,13.06,1.44,1.26,0,brand2,prod15,cat8:cat9,1,cpn109,3.66,1.82,3.14,0,brand3,prod60,cat5:cat2,0,cpn110,3.57,0,1.57,0,brand3,prod60,cat5:cat2,0
39,2015-01-06 18:20:37,user39,2015-01-06 18:00:37,187,cpn111,2.69,1.07,1.57,1,brand4,prod62,cat5:cat7,0,cpn112,2.69,1.07,1.57,1,brand4,prod62,cat5:cat7,0,cpn113,3.15,1.96,1.26,0,brand3,prod56,cat5,0
40,2015-01-06 18:24:45,user40,2015-01-06 18:08:42,226.18,cpn114,10,166.72,0.94,1,brand4,prod15,cat8:cat7,0,cpn115,4.58,0,3.14,1,brand3,prod63,cat5:cat7,0,cpn116,2.08,0.42,0,0,brand3,prod37,cat5:cat4:cat2,0
41,2015-01-06 18:33:01,user41,2015-01-06 16:55:08,232.94,cpn1,3.24,5.4,1.57,0,brand1,prod1,cat1:cat2,1,cpn117,4.58,1.69,1.26,0,brand3,prod46,cat3,1,cpn118,11.07,2.01,0.63,0,brand3,prod17,cat5:cat2,1
42,2015-01-06 18:33:30,user42,2015-01-06 17:07:01,206.13,cpn119,4.58,0,1.26,1,brand4,prod35,cat8:cat7,0,cpn120,7.13,1.78,1.26,1,brand4,prod11,cat3:cat7:cat4,0,cpn121,4.58,1.14,0.94,0,brand5,prod58,cat5:cat15:cat2,0
43,2015-01-06 18:36:20,user43,2015-01-06 18:20:55,188.9,cpn122,3.06,3.39,1.26,0,brand3,prod1,cat1,0,cpn123,4.26,1.42,1.57,0,brand3,prod64,cat5,0,cpn124,11.07,7.37,1.57,0,brand3,prod65,cat13,0
44,2015-01-06 18:41:54,user44,2015-01-06 17:43:08,189.69,cpn125,5.97,1.99,1.57,0,brand6,prod33,cat1,1,cpn126,5.93,0.79,1.57,0,brand3,prod13,cat3,0,cpn127,4.58,3.82,1.88,0,brand3,prod57,cat5,0
45,2015-01-06 18:43:02,user45,2015-01-06 16:13:58,341.35,cpn128,6.44,0,0.94,1,brand4,prod35,cat8:cat7,0,cpn3,12.92,12.92,2.2,0,brand3,prod3,cat5:cat4:cat2,0,cpn129,4.21,0.69,3.14,0,brand3,prod27,cat5:cat4,0
46,2015-01-06 18:45:55,user46,2015-01-06 17:49:04,196.68,cpn130,3.52,1.46,1.57,0,brand11,prod66,cat11,1,cpn131,7.36,0,1.57,0,brand3,prod67,cat13:cat9,0,cpn132,3.43,1.37,0.94,0,brand3,prod68,cat8,0
47,2015-01-06 18:50:24,user47,2015-01-06 17:36:58,203.49,cpn133,3.2,1.59,0.63,0,brand3,prod51,cat8,1,cpn134,6.58,0.66,0.63,0,brand2,prod26,cat3,1,cpn135,3.15,0.44,0.94,0,brand3,prod37,cat5:cat2,0
48,2015-01-06 18:51:38,user48,2015-01-06 18:24:05,190.94,cpn136,2.96,3.29,1.26,0,brand3,prod1,cat1,0,cpn137,4.31,3.58,1.26,0,brand3,prod69,cat5,0,cpn138,3.98,3.98,0.94,0,brand2,prod3,cat5:cat4:cat2,0
49,2015-01-06 18:55:48,user49,2015-01-06 17:16:55,450.64,cpn139,3.98,3.98,1.57,0,brand1,prod40,cat1:cat2,0,cpn78,8.1,0.9,1.26,0,brand3,prod2,cat16:cat3:cat2,0,cpn140,5.46,2.19,2.2,0,brand5,prod24,cat5:cat2,0
50,2015-01-06 18:57:54,user50,2015-01-06 17:40:38,211.5,cpn141,3.57,1.78,1.26,1,brand4,prod70,cat8:cat7,0,cpn142,9.59,1.07,0.94,0,brand3,prod2,cat16:cat3:cat2,0,cpn143,2.73,0.55,0.94,0,brand4,prod58,cat5,0
51,2015-01-06 19:06:27,user51,2015-01-06 18:38:25,249.15,cpn144,4.49,0.49,0,0,brand3,prod71,cat16:cat12,0,cpn28,7.5,1.25,0.94,0,brand2,prod15,cat8:cat9,1,cpn145,2.32,0.46,1.57,0,brand3,prod58,cat5,0
52,2015-01-06 19:10:24,user52,2015-01-06 18:29:05,192.14,cpn146,3.57,0,1.57,0,brand3,prod35,cat8,0,cpn147,2.69,0.44,1.26,0,brand2,prod11,cat3,1,cpn3,12.92,12.92,2.2,0,brand3,prod3,cat5:cat4:cat2,0
53,2015-01-06 19:20:03,user53,2015-01-06 19:01:14,187.46,cpn94,8.89,3.7,1.26,0,brand6,prod33,cat1,0,cpn148,5.09,5.09,2.51,0,brand2,prod72,cat5,0,cpn149,5.09,1.02,1.57,0,brand3,prod55,cat5,0
54,2015-01-06 19:26:19,user54,2015-01-06 18:49:24,186.95,cpn150,12.5,7.35,0.63,1,brand4,prod7,cat1:cat7,0,cpn151,5.09,1.69,1.26,0,brand5,prod59,cat5:cat15:cat4:cat2,1,cpn152,3.15,1.26,6.28,1,brand4,prod73,cat5:cat7,1
55,2015-01-06 19:36:50,user55,2015-01-06 15:22:25,225.21,cpn153,9.22,11.51,1.26,0,brand5,prod40,cat1:cat2,0,cpn154,12.92,4.46,1.57,0,brand3,prod36,cat3,0,cpn155,3.15,0,1.26,0,brand5,prod64,cat5:cat2,0
56,2015-01-06 19:37:38,user56,2015-01-06 19:10:25,189.92,cpn156,7.32,2.08,1.57,0,brand6,prod74,cat1,0,cpn157,2.73,0.45,0.63,0,brand2,prod11,cat3:cat4,0,cpn158,2.69,2.69,1.57,1,brand4,prod75,cat5:cat7:cat4,0
57,2015-01-06 19:49:26,user57,2015-01-06 17:57:12,278.18,cpn159,4.26,2.13,1.26,0,brand6,prod74,cat1,0,cpn160,3.66,1.46,1.57,0,brand3,prod58,cat10:cat2,0,cpn161,8.29,1.66,1.57,1,brand4,prod3,cat5:cat7:cat15:cat4,0
58,2015-01-06 19:50:12,user58,2015-01-06 19:14:05,215.8,cpn162,5.51,0,1.26,0,brand6,prod35,cat8:cat4,1,cpn163,9.03,1.81,1.57,0,brand3,prod2,cat3,1,cpn164,3.66,0.91,1.57,0,brand3,prod37,cat5,1
59,2015-01-06 19:57:47,user59,2015-01-06 18:18:00,304.07,cpn165,4.17,2.6,1.57,0,brand6,prod76,cat1:cat4,0,cpn166,8.1,0.9,1.26,0,brand12,prod2,cat16:cat3:cat4:cat2:cat17,0,cpn167,5.93,3.95,2.51,0,brand5,prod37,cat5:cat15:cat4:cat2,0
60,2015-01-06 20:01:47,user60,2015-01-06 19:49:57,96.19,cpn168,13.11,7.28,0.63,0,brand6,prod7,cat1,0,cpn169,8.52,1.7,1.26,0,brand3,prod18,cat5,1,cpn170,5.37,2.69,1.57,0,brand3,prod18,cat5:cat4:cat2,0
61,2015-01-06 20:02:27,user61,2015-01-06 19:39:29,149.35,cpn171,4.58,0.76,0.94,0,brand3,prod71,cat12,0,cpn172,6.44,0,1.57,0,brand3,prod77,cat6,0,cpn173,3.66,5.71,1.57,0,brand3,prod78,cat6,0
62,2015-01-06 20:03:32,user62,2015-01-06 19:46:23,234.14,cpn174,11.86,5.93,0.63,0,brand3,prod17,cat5:cat2,1,cpn175,11.86,5.93,0.63,0,brand3,prod17,cat5,1,cpn176,6.11,6.11,1.26,0,brand2,prod3,cat5,1
63,2015-01-06 20:06:05,user63,2015-01-06 19:39:43,203.21,cpn177,2.59,0.52,1.57,1,brand4,prod47,cat11:cat19:cat4,0,cpn178,4.49,2.99,1.88,0,brand3,prod28,cat3,0,cpn179,3.24,0.56,1.26,0,brand3,prod37,cat5,0
64,2015-01-06 20:14:09,user64,2015-01-06 15:33:04,239.61,cpn180,6.11,2.04,1.26,0,brand3,prod74,cat1,0,cpn181,7.5,1.56,1.57,0,brand3,prod28,cat3,0,cpn167,5.93,3.95,2.51,0,brand5,prod37,cat5:cat15:cat4:cat2,0
65,2015-01-06 20:15:36,user65,2015-01-06 20:05:29,208.53,cpn182,3.66,6.09,1.57,0,brand3,prod69,cat5,0,cpn183,18.34,2.29,0.63,0,brand3,prod79,cat6:cat9,0,cpn156,7.32,2.08,1.57,0,brand6,prod74,cat1,1
66,2015-01-06 20:20:45,user66,2015-01-06 20:15:35,189.87,cpn184,2.96,0,1.26,1,brand4,prod35,cat8:cat7,0,cpn185,7.36,2.04,1.88,1,brand4,prod36,cat3:cat7,0,cpn186,3.52,0,1.57,0,brand3,prod63,cat5:cat18,0
67,2015-01-06 20:22:56,user67,2015-01-06 16:15:00,196.08,cpn63,12.18,4.87,1.57,0,brand2,prod45,cat1:cat4,0,cpn187,6.44,0.85,1.88,0,brand2,prod13,cat3,0,cpn188,18.48,6.16,1.26,0,brand3,prod3,cat5,0
68,2015-01-06 20:40:16,user68,2015-01-06 17:07:20,274.94,cpn22,9.17,2.04,0.94,1,brand4,prod7,cat1:cat7,0,cpn8,4.17,1.39,1.26,1,brand4,prod8,cat3:cat7,0,cpn189,2.5,2.17,1.26,1,brand4,prod80,cat5:cat7,0
69,2015-01-06 20:41:43,user69,2015-01-06 20:16:22,208.21,cpn190,5.05,1.73,0.94,0,brand2,prod51,cat8:cat4,1,cpn191,3.47,0.99,1.57,0,brand3,prod49,cat5:cat18:cat4:cat2,1,cpn192,3.47,0.99,1.57,0,brand3,prod49,cat5:cat18,1
70,2015-01-06 20:41:51,user70,2015-01-06 20:02:19,223.08,cpn193,9.17,3.67,1.26,1,brand4,prod7,cat1:cat7:cat4,0,cpn194,5.93,0.79,1.57,0,brand3,prod13,cat3,0,cpn195,2.69,0.54,1.26,1,brand4,prod27,cat5:cat7,0
71,2015-01-06 20:50:30,user71,2015-01-06 20:17:05,188.02,cpn196,6.76,2.41,1.57,0,brand6,prod81,cat1,0,cpn129,4.21,0.69,3.14,0,brand3,prod27,cat5:cat4,0,cpn197,3.66,1.92,1.26,0,brand3,prod37,cat5:cat4:cat2,0
72,2015-01-06 20:51:54,user72,2015-01-06 20:16:14,241.09,cpn108,13.06,1.44,1.26,0,brand2,prod15,cat8:cat9,1,cpn198,6.02,3.01,0.94,0,brand3,prod82,cat5,0,cpn199,4.08,0.82,1.57,0,brand3,prod37,cat5,0
73,2015-01-06 20:59:02,user73,2015-01-06 20:23:31,188.76,cpn200,4.03,2.69,1.57,0,brand2,prod1,cat1,0,cpn96,3.61,1.9,1.88,0,brand5,prod29,cat5:cat15:cat2,0,cpn3,12.92,12.92,2.2,0,brand3,prod3,cat5:cat4:cat2,0
74,2015-01-06 20:59:59,user74,2015-01-06 20:18:48,284.25,cpn201,2.59,0.52,1.57,1,brand4,prod83,cat8:cat7:cat4,0,cpn110,3.57,0,1.57,0,brand3,prod60,cat5:cat2,0,cpn202,15.7,0.35,1.57,0,brand13,prod84,cat20,1
75,2015-01-06 21:11:21,user75,2015-01-06 20:28:09,185.98,cpn203,10.88,3.2,1.57,0,brand2,prod31,cat1:cat4:cat2,0,cpn8,4.17,1.39,1.26,1,brand4,prod8,cat3:cat7,0,cpn204,6.11,2.45,1.57,1,brand4,prod34,cat5:cat7:cat18:cat4,0
76,2015-01-06 21:13:50,user76,2015-01-06 15:06:17,209.83,cpn205,6.25,2.5,0.63,0,brand2,prod51,cat8:cat4:cat9,0,cpn206,5,1.34,1.57,0,brand7,prod46,cat3,0,cpn207,2.27,0.45,0,1,brand4,prod85,cat5:cat7,0
77,2015-01-06 21:16:05,user77,2015-01-06 21:11:45,331.35,cpn208,65.44,7.27,0.94,0,brand6,prod7,cat1,1,cpn209,9.08,2.27,1.57,1,brand4,prod86,cat3:cat7,1,cpn210,6.02,1.2,2.2,1,brand4,prod24,cat5:cat7,1
78,2015-01-06 21:19:06,user78,2015-01-06 15:55:03,538.4,cpn211,2.73,2.09,1.26,0,brand2,prod38,cat1,1,cpn212,9.22,1.44,1.57,0,brand3,prod28,cat3,0,cpn90,3.43,0.48,2.2,1,brand4,prod37,cat5:cat7,0
79,2015-01-06 21:28:26,user79,2015-01-06 20:24:09,192.28,cpn213,12.32,2.73,0.94,0,brand2,prod76,cat1,0,cpn129,4.21,0.69,3.14,0,brand3,prod27,cat5:cat4,0,cpn214,12.78,1.42,1.57,0,brand3,prod87,cat12,0
80,2015-01-06 21:31:48,user80,2015-01-06 20:53:11,194.59,cpn22,9.17,2.04,0.94,1,brand4,prod7,cat1:cat7,0,cpn209,9.08,2.27,1.57,1,brand4,prod86,cat3:cat7,1,cpn215,5.37,2.98,1.57,0,brand5,prod29,cat5:cat15:cat2,0
81,2015-01-06 21:36:55,user81,2015-01-06 16:09:20,209.83,cpn216,3.89,1.95,0.94,0,brand2,prod30,cat1:cat4,0,cpn217,6.67,0.94,1.57,1,brand4,prod27,cat5:cat7,0,cpn143,2.73,0.55,0.94,0,brand4,prod58,cat5,0
82,2015-01-06 21:37:00,user82,2015-01-06 15:13:31,170.7,cpn218,3.43,4.57,0.94,0,brand7,prod1,cat1,1,cpn219,5.88,1.95,1.57,0,brand3,prod46,cat3,0,cpn220,3.33,0.67,1.57,0,brand3,prod85,cat5,0
83,2015-01-06 21:43:44,user83,2015-01-06 21:14:21,204.64,cpn221,3.61,0.6,1.57,1,brand14,prod32,cat11:cat7,0,cpn222,4.58,4.58,1.88,0,brand15,prod88,cat11,0,cpn223,6.44,2.57,2.2,0,brand3,prod89,cat13,0
84,2015-01-06 21:45:24,user84,2015-01-06 21:16:06,197.84,cpn25,4.54,4.54,1.26,0,brand3,prod20,cat11:cat12,0,cpn224,4.45,0.89,1.57,0,brand3,prod52,cat5,0,cpn225,3.66,1.97,1.26,0,brand3,prod37,cat5,0
85,2015-01-06 21:49:04,user85,2015-01-06 15:39:41,201.03,cpn114,10,166.72,0.94,1,brand4,prod15,cat8:cat7,0,cpn226,3.47,1.16,1.88,0,brand2,prod86,cat3,0,cpn227,2.73,0,1.88,1,brand4,prod75,cat5:cat7,0
86,2015-01-06 21:51:39,user86,2015-01-06 20:22:32,421.19,cpn19,4.68,2.59,1.26,1,brand4,prod7,cat1:cat7,0,cpn228,9.59,1.07,0.94,0,brand3,prod2,cat16:cat3:cat2,0,cpn229,4.49,2.77,1.57,0,brand3,prod34,cat5,0
87,2015-01-06 21:54:25,user87,2015-01-06 21:49:47,259.94,cpn114,10,166.72,0.94,1,brand4,prod15,cat8:cat7,1,cpn230,3.98,3.98,1.88,0,brand5,prod44,cat5:cat2,0,cpn231,6.44,3.21,0.94,1,brand4,prod57,cat5:cat7,0
88,2015-01-06 21:55:13,user88,2015-01-06 21:52:46,114.62,cpn232,13.85,5.54,1.57,0,brand5,prod3,cat5:cat4:cat2,0,cpn233,12.87,0,1.88,0,brand5,prod90,cat5:cat13:cat2,0,cpn234,3.61,1.2,1.57,0,brand3,prod91,cat5,0
89,2015-01-06 22:23:54,user89,2015-01-06 15:16:43,206.22,cpn165,4.17,2.6,1.57,0,brand6,prod76,cat1:cat4,0,cpn235,4.4,1.17,0.94,0,brand3,prod27,cat5,0,cpn236,4.08,2.04,1.57,0,brand3,prod37,cat5:cat2,0
90,2015-01-06 22:24:33,user90,2015-01-06 20:54:12,199.04,cpn237,3.66,2.81,6.28,0,brand3,prod51,cat8,0,cpn238,2.32,0.09,1.88,0,brand3,prod92,cat6,1,cpn239,13.34,1.48,1.26,0,brand3,prod87,cat12,1
91,2015-01-06 22:25:07,user91,2015-01-06 21:41:55,402.16,cpn240,7.5,1.67,1.26,0,brand2,prod30,cat1:cat4,1,cpn241,6.67,2.67,1.57,0,brand3,prod93,cat10,0,cpn242,5.09,5.2,1.57,0,brand3,prod94,cat5,1
92,2015-01-06 22:25:51,user92,2015-01-06 21:56:56,211.45,cpn243,6.67,3.33,1.26,1,brand4,prod51,cat8:cat7,0,cpn244,4.08,3.7,1.57,0,brand3,prod41,cat5,0,cpn56,3.66,1.82,1.26,0,brand3,prod37,cat5:cat2,1
93,2015-01-06 22:42:16,user93,2015-01-06 22:24:52,341.3,cpn245,4.26,1.7,0.94,0,brand2,prod95,cat8:cat9,1,cpn246,2.32,0.68,2.2,0,brand2,prod96,cat5:cat19,1,cpn247,3.24,0,1.57,0,brand3,prod97,cat20,1
94,2015-01-06 22:46:28,user94,2015-01-06 22:44:09,389,cpn248,4.91,0,1.57,0,brand6,prod70,cat8,1,cpn249,7.36,1.47,1.26,1,brand16,prod98,cat10:cat7,0,cpn112,2.69,1.07,1.57,1,brand4,prod62,cat5:cat7,0
95,2015-01-06 22:48:47,user95,2015-01-06 22:28:38,213.91,cpn250,12.04,12.04,1.26,0,brand3,prod31,cat1,0,cpn251,5.74,1.59,1.57,0,brand3,prod46,cat3,1,cpn71,5.51,1.1,1.88,1,brand4,prod24,cat5:cat7,0
96,2015-01-06 22:49:29,user96,2015-01-06 15:30:40,590.27,cpn252,4.49,2.08,0.94,1,brand4,prod51,cat8:cat7,0,cpn253,3.98,2.74,1.57,1,brand4,prod50,cat5:cat7:cat18,0,cpn254,2.96,2.82,3.14,1,brand4,prod99,cat5:cat7,0
