orderID,coupon2Used,couponID2,basePrice2,price2,basketValue,TimeBtwnRecExpire,couponsReceivedFriSat,orderTimeDate,orderTimeTime,orderTimeDoW,reward3,premiumProduct3,couponsExpire,couponsReceived,orderTime,TimeBtwnSentRec,brand1,categoryIDs3,batchID,categoryIDs1,coupon3Used,TimeBtwnOrderExpire,premiumProduct1,reward2,premiumProduct2,brand2,productGroup2,orderTimeWeekend,orderTimeFriSat,couponID1,price1,basePrice1,reward1,productGroup3,couponsSent,userID,coupon1Used,TimeBtwnRecOrder,productGroup1,brand3,couponsReceivedDate,couponsReceivedTime,couponsReceivedDoW,couponsReceivedWeekend,categoryIDs2,couponID3,price3,basePrice3
11,0,cpn32,1.47,7.36,332,152.728055555556,0,2015-01-06,50,Tuesday,2.2,0,2015-01-13 00:00:01,2015-01-06 15:16:20,2015-01-06 15:38:50,15.2719444444444,brand5,cat13,1,cat5:cat2,0,152.353055555556,0,1.57,0,brand3,prod24,0,0,cpn31,6.95,6.95,1.57,prod25,2015-01-06 00:00:01,user11,0,0.375,prod12,brand3,2015-01-06,20,Tuesday,0,cat5,cpn33,5.09,0.73
12,0,cpn34,0.9,3.15,338.43,152.814722222222,0,2015-01-06,8,Tuesday,1.88,0,2015-01-13 00:00:01,2015-01-06 15:11:08,2015-01-06 15:39:08,15.1852777777778,brand4,cat5,1,cat1:cat7,0,152.348055555556,1,1.26,0,brand2,prod26,0,0,cpn22,9.17,2.04,0.94,prod27,2015-01-06 00:00:01,user12,1,0.466666666666667,prod7,brand2,2015-01-06,8,Tuesday,0,cat3,cpn35,5.74,0
13,0,cpn37,0.84,7.59,263.46,152.746944444444,0,2015-01-06,19,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 15:15:12,2015-01-06 15:48:19,15.2530555555556,brand7,cat5:cat15:cat2,1,cat1,0,152.195,0,1.88,0,brand8,prod28,0,0,cpn36,5.33,4.44,0.94,prod29,2015-01-06 00:00:01,user13,0,0.551944444444444,prod1,brand5,2015-01-06,12,Tuesday,0,cat3:cat14,cpn38,2.69,1.41
14,0,cpn40,1.31,11.44,185.66,152.07,0,2015-01-06,25,Tuesday,0.94,0,2015-01-13 00:00:01,2015-01-06 15:55:49,2015-01-06 16:03:25,15.93,brand3,cat5,1,cat1,0,151.943333333333,0,1.88,0,brand2,prod26,0,0,cpn39,5.56,4.27,1.57,prod19,2015-01-06 00:00:01,user14,0,0.126666666666667,prod30,brand3,2015-01-06,49,Tuesday,0,cat3,cpn41,14.36,2.87
15,0,cpn43,1.07,3.75,212.7,152.396944444444,0,2015-01-06,9,Tuesday,1.26,0,2015-01-13 00:00:01,2015-01-06 15:36:12,2015-01-06 16:14:09,15.6030555555556,brand2,cat11,1,cat1,0,151.764444444444,0,0.94,0,brand2,prod8,0,0,cpn42,8.43,3.51,1.88,prod32,2015-01-06 00:00:01,user15,0,0.6325,prod31,brand3,2015-01-06,12,Tuesday,0,cat3,cpn44,3.43,3.43
16,0,cpn46,0.92,4.58,243.41,152.555555555556,0,2015-01-06,46,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 15:26:41,2015-01-06 16:22:46,15.4444444444444,brand6,cat5,1,cat1:cat4,0,151.620833333333,0,1.26,1,brand4,prod11,0,0,cpn45,10.56,3.52,0.94,prod34,2015-01-06 00:00:01,user16,0,0.934722222222222,prod33,brand3,2015-01-06,41,Tuesday,0,cat3:cat7,cpn47,6.3,1.26
17,0,cpn49,4.57,36.58,185.84,152.823888888889,0,2015-01-06,55,Tuesday,0.94,0,2015-01-13 00:00:01,2015-01-06 15:10:35,2015-01-06 16:22:55,15.1761111111111,brand6,cat5,1,cat8:cat4:cat2,0,151.618333333333,0,1.57,0,brand2,prod36,0,0,cpn48,3.66,0,1.57,prod37,2015-01-06 00:00:01,user17,0,1.20555555555556,prod35,brand3,2015-01-06,35,Tuesday,0,cat3:cat4:cat2,cpn50,17.55,2.19
18,1,cpn52,1.18,9.59,202.61,152.034722222222,0,2015-01-06,19,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 15:57:56,2015-01-06 16:23:19,15.9652777777778,brand2,cat5:cat18:cat2,1,cat1,0,151.611666666667,0,0.94,0,brand3,prod2,0,0,cpn51,2.96,1.56,1.57,prod39,2015-01-06 00:00:01,user18,0,0.423055555555556,prod38,brand5,2015-01-06,56,Tuesday,0,cat16:cat3:cat2:cat17,cpn53,4.58,3.06
19,1,cpn55,2.04,4.08,204.23,152.675555555556,0,2015-01-06,43,Tuesday,1.26,0,2015-01-13 00:00:01,2015-01-06 15:19:29,2015-01-06 16:25:43,15.3244444444444,brand3,cat5:cat2,1,cat1,1,151.571666666667,0,1.57,0,brand3,prod37,0,0,cpn54,9.22,9.22,1.57,prod37,2015-01-06 00:00:01,user19,0,1.10388888888889,prod40,brand3,2015-01-06,29,Tuesday,0,cat5:cat2,cpn56,3.66,1.82
20,0,cpn58,1.05,4.82,106.42,151.974444444444,0,2015-01-06,0,Tuesday,1.26,0,2015-01-13 00:00:01,2015-01-06 16:01:33,2015-01-06 16:36:00,16.0255555555556,brand7,cat5:cat4:cat2,1,cat1:cat15,0,151.400277777778,0,1.57,1,brand4,prod28,0,0,cpn57,6.67,9.52,1.57,prod41,2015-01-06 00:00:01,user20,0,0.574166666666667,prod40,brand5,2015-01-06,33,Tuesday,0,cat3:cat7,cpn59,7.36,2.95
21,0,cpn61,1.44,4.35,188.11,152.721111111111,0,2015-01-06,3,Tuesday,0.94,0,2015-01-13 00:00:01,2015-01-06 15:16:45,2015-01-06 16:39:03,15.2788888888889,brand9,cat16:cat5:cat17,1,cat1:cat2,0,151.349444444444,0,1.26,0,brand8,prod43,0,0,cpn60,7.22,2.19,1.57,prod44,2015-01-06 00:00:01,user21,0,1.37166666666667,prod42,brand3,2015-01-06,45,Tuesday,0,cat3:cat14,cpn62,4.45,1.48
22,0,cpn64,1.39,3.89,397.71,151.841111111111,0,2015-01-06,16,Tuesday,2.51,1,2015-01-13 00:00:01,2015-01-06 16:09:33,2015-01-06 16:51:16,16.1588888888889,brand2,cat5:cat7,1,cat1:cat4,0,151.145833333333,0,0.94,1,brand4,prod46,0,0,cpn63,12.18,4.87,1.57,prod14,2015-01-06 00:00:01,user22,0,0.695277777777778,prod45,brand4,2015-01-06,33,Tuesday,0,cat3:cat7,cpn65,5.51,2.75
23,0,cpn67,2.73,2.73,188.99,152.115555555556,0,2015-01-06,25,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 15:53:05,2015-01-06 16:55:25,15.8844444444444,brand4,cat13,1,cat1:cat7,0,151.076666666667,1,1.57,1,brand4,prod47,0,0,cpn66,17.32,7.87,0.94,prod48,2015-01-06 00:00:01,user23,0,1.03888888888889,prod45,brand3,2015-01-06,5,Tuesday,0,cat11:cat7:cat19,cpn68,3.47,1.16
24,0,cpn69,1.35,7.32,243.59,151.625277777778,0,2015-01-06,7,Tuesday,1.57,1,2015-01-13 00:00:01,2015-01-06 16:22:30,2015-01-06 16:57:07,16.3747222222222,brand6,cat5:cat7:cat4,1,cat1,0,151.048333333333,0,1.26,0,brand3,prod46,0,0,cpn10,2.5,2.08,1.57,prod4,2015-01-06 00:00:01,user24,0,0.576944444444444,prod10,brand4,2015-01-06,30,Tuesday,0,cat3,cpn70,2.32,5.79
25,0,cpn72,0.97,6.81,710.4,152.773055555556,0,2015-01-06,7,Tuesday,0.94,0,2015-01-13 00:00:01,2015-01-06 15:13:38,2015-01-06 17:05:07,15.2269444444444,brand4,cat5:cat2,1,cat5:cat7,0,150.915,1,0.94,0,brand3,prod49,0,0,cpn71,5.51,1.1,1.88,prod27,2015-01-06 00:00:01,user25,0,1.85805555555556,prod24,brand3,2015-01-06,38,Tuesday,0,cat5,cpn73,4.03,1.07
26,0,cpn75,2.74,3.98,187.42,151.700555555556,0,2015-01-06,59,Tuesday,0.94,0,2015-01-13 00:00:01,2015-01-06 16:17:59,2015-01-06 17:09:59,16.2994444444444,brand2,cat5,1,cat1:cat9,0,150.833888888889,0,1.26,1,brand4,prod50,0,0,cpn74,9.86,3.29,1.26,prod37,2015-01-06 00:00:01,user26,0,0.866666666666667,prod31,brand3,2015-01-06,59,Tuesday,0,cat5:cat7,cpn76,3.66,11.43
27,0,cpn78,0.9,8.1,186.21,151.375277777778,0,2015-01-06,31,Tuesday,0.94,0,2015-01-13 00:00:01,2015-01-06 16:37:30,2015-01-06 17:17:31,16.6247222222222,brand4,cat5,1,cat8:cat7,1,150.708333333333,1,1.26,0,brand3,prod2,0,0,cpn77,4.4,1.99,0.94,prod52,2015-01-06 00:00:01,user27,0,0.666944444444444,prod51,brand3,2015-01-06,30,Tuesday,0,cat16:cat3:cat2,cpn79,6.67,3.33
28,0,cpn81,2.96,2.96,228.31,150.829166666667,0,2015-01-06,59,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 17:10:16,2015-01-06 17:22:59,17.1708333333333,brand3,cat1,1,cat11,0,150.617222222222,0,1.26,0,brand3,prod53,0,0,cpn80,3.33,3.33,1.26,prod30,2015-01-06 00:00:01,user28,0,0.211944444444444,prod32,brand10,2015-01-06,16,Tuesday,0,cat6,cpn82,3.98,2.65
29,0,cpn83,0.44,3.15,369.65,151.577777777778,0,2015-01-06,46,Tuesday,1.26,0,2015-01-13 00:00:01,2015-01-06 16:25:21,2015-01-06 17:26:46,16.4222222222222,brand2,cat13,1,cat1,0,150.554166666667,0,0.94,0,brand3,prod37,0,0,cpn51,2.96,1.56,1.57,prod54,2015-01-06 00:00:01,user29,0,1.02361111111111,prod38,brand3,2015-01-06,21,Tuesday,0,cat5:cat2,cpn84,6.85,0.69
30,0,cpn86,1.96,3.15,94.89,151.219166666667,0,2015-01-06,17,Tuesday,6.28,0,2015-01-13 00:00:01,2015-01-06 16:46:52,2015-01-06 17:28:17,16.7808333333333,brand11,cat5,1,cat8,0,150.528888888889,0,1.57,0,brand3,prod56,0,0,cpn85,3.89,1.21,1.26,prod39,2015-01-06 00:00:01,user30,0,0.690277777777778,prod55,brand3,2015-01-06,52,Tuesday,0,cat5,cpn87,3.06,1.98
31,0,cpn89,1.27,4.45,232.94,151.071944444444,0,2015-01-06,9,Tuesday,2.2,1,2015-01-13 00:00:01,2015-01-06 16:55:42,2015-01-06 17:32:09,16.9280555555556,brand4,cat5:cat7,1,cat1:cat7,1,150.464444444444,1,1.26,0,brand3,prod46,0,0,cpn88,9.63,9.63,1.26,prod37,2015-01-06 00:00:01,user31,0,0.6075,prod40,brand4,2015-01-06,42,Tuesday,0,cat3,cpn90,3.43,0.48
32,0,cpn92,1.45,5.09,225.39,151.401944444444,0,2015-01-06,37,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 16:35:54,2015-01-06 17:42:37,16.5980555555556,brand6,cat5,1,cat1:cat4,0,150.29,0,1.88,0,brand3,prod19,0,0,cpn91,7.18,1.7,0.94,prod18,2015-01-06 00:00:01,user32,0,1.11194444444444,prod33,brand3,2015-01-06,54,Tuesday,0,cat5,cpn93,4.08,2.81
33,0,cpn95,0.69,3.47,232.89,150.916944444444,0,2015-01-06,45,Tuesday,1.88,0,2015-01-13 00:00:01,2015-01-06 17:05:00,2015-01-06 17:46:45,17.0830555555556,brand6,cat5:cat15:cat2,1,cat1,0,150.221111111111,0,0.94,1,brand4,prod11,0,0,cpn94,8.89,3.7,1.26,prod29,2015-01-06 00:00:01,user33,0,0.695833333333333,prod33,brand5,2015-01-06,0,Tuesday,0,cat3:cat7,cpn96,3.61,1.9
34,0,cpn98,0,8.52,186.91,151.002777777778,0,2015-01-06,39,Tuesday,1.26,0,2015-01-13 00:00:01,2015-01-06 16:59:51,2015-01-06 17:50:39,16.9972222222222,brand4,cat5,1,cat1,0,150.156111111111,1,1.26,0,brand3,prod43,0,0,cpn97,5.84,5.84,1.26,prod57,2015-01-06 00:00:01,user34,0,0.846666666666667,prod40,brand3,2015-01-06,51,Tuesday,0,cat3,cpn99,15.7,3.14
35,0,cpn101,0,2.96,535.81,152.298611111111,0,2015-01-06,3,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 15:42:06,2015-01-06 17:55:03,15.7013888888889,brand3,cat5,1,cat5:cat15,0,150.082777777778,0,1.57,0,brand2,prod52,0,0,cpn100,7.87,1.57,1.57,prod58,2015-01-06 00:00:01,user35,0,2.21583333333333,prod3,brand3,2015-01-06,6,Tuesday,0,cat5,cpn102,2.32,0.46
36,0,cpn104,2.5,2.5,200.61,150.346944444444,0,2015-01-06,40,Tuesday,1.88,1,2015-01-13 00:00:01,2015-01-06 17:39:12,2015-01-06 17:59:40,17.6530555555556,brand4,cat11:cat7,1,cat5,1,150.005833333333,1,1.88,1,brand4,prod60,0,0,cpn103,2.73,0.55,1.57,prod61,2015-01-06 00:00:01,user36,0,0.341111111111111,prod59,brand4,2015-01-06,12,Tuesday,0,cat5:cat7,cpn105,3.06,3.06
37,0,cpn89,1.27,4.45,270.27,151.772777777778,0,2015-01-06,10,Tuesday,1.88,0,2015-01-13 00:00:01,2015-01-06 16:13:39,2015-01-06 18:04:10,16.2272222222222,brand3,cat5,1,cat1:cat15,0,149.930833333333,0,1.26,0,brand3,prod46,0,0,cpn106,22.92,4.58,1.88,prod14,2015-01-06 00:00:01,user37,0,1.84194444444444,prod1,brand3,2015-01-06,39,Tuesday,0,cat3,cpn107,8.8,1.76
38,0,cpn109,1.82,3.66,209.88,150.678333333333,0,2015-01-06,0,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 17:19:19,2015-01-06 18:11:00,17.3216666666667,brand2,cat5:cat2,1,cat8:cat9,0,149.816944444444,0,3.14,0,brand3,prod60,0,0,cpn108,13.06,1.44,1.26,prod60,2015-01-06 00:00:01,user38,1,0.861388888888889,prod15,brand3,2015-01-06,19,Tuesday,0,cat5:cat2,cpn110,3.57,0
39,0,cpn112,1.07,2.69,187,149.99,0,2015-01-06,37,Tuesday,1.26,0,2015-01-13 00:00:01,2015-01-06 18:00:37,2015-01-06 18:20:37,18.01,brand4,cat5,1,cat5:cat7,0,149.656666666667,1,1.57,1,brand4,prod62,0,0,cpn111,2.69,1.07,1.57,prod56,2015-01-06 00:00:01,user39,0,0.333333333333333,prod62,brand3,2015-01-06,37,Tuesday,0,cat5:cat7,cpn113,3.15,1.96
40,0,cpn115,0,4.58,226.18,149.855277777778,0,2015-01-06,45,Tuesday,0,0,2015-01-13 00:00:01,2015-01-06 18:08:42,2015-01-06 18:24:45,18.1447222222222,brand4,cat5:cat4:cat2,1,cat8:cat7,0,149.587777777778,1,3.14,1,brand3,prod63,0,0,cpn114,10,166.72,0.94,prod37,2015-01-06 00:00:01,user40,0,0.2675,prod15,brand3,2015-01-06,42,Tuesday,0,cat5:cat7,cpn116,2.08,0.42
41,1,cpn117,1.69,4.58,232.94,151.081388888889,0,2015-01-06,1,Tuesday,0.63,0,2015-01-13 00:00:01,2015-01-06 16:55:08,2015-01-06 18:33:01,16.9186111111111,brand1,cat5:cat2,1,cat1:cat2,1,149.45,0,1.26,0,brand3,prod46,0,0,cpn1,3.24,5.4,1.57,prod17,2015-01-06 00:00:01,user41,1,1.63138888888889,prod1,brand3,2015-01-06,8,Tuesday,0,cat3,cpn118,11.07,2.01
42,0,cpn120,1.78,7.13,206.13,150.883333333333,0,2015-01-06,30,Tuesday,0.94,0,2015-01-13 00:00:01,2015-01-06 17:07:01,2015-01-06 18:33:30,17.1166666666667,brand4,cat5:cat15:cat2,1,cat8:cat7,0,149.441944444444,1,1.26,1,brand4,prod11,0,0,cpn119,4.58,0,1.26,prod58,2015-01-06 00:00:01,user42,0,1.44138888888889,prod35,brand5,2015-01-06,1,Tuesday,0,cat3:cat7:cat4,cpn121,4.58,1.14
43,0,cpn123,1.42,4.26,188.9,149.651666666667,0,2015-01-06,20,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 18:20:55,2015-01-06 18:36:20,18.3483333333333,brand3,cat13,1,cat1,0,149.394722222222,0,1.57,0,brand3,prod64,0,0,cpn122,3.06,3.39,1.26,prod65,2015-01-06 00:00:01,user43,0,0.256944444444444,prod1,brand3,2015-01-06,55,Tuesday,0,cat5,cpn124,11.07,7.37
44,0,cpn126,0.79,5.93,189.69,150.281388888889,0,2015-01-06,54,Tuesday,1.88,0,2015-01-13 00:00:01,2015-01-06 17:43:08,2015-01-06 18:41:54,17.7186111111111,brand6,cat5,1,cat1,0,149.301944444444,0,1.57,0,brand3,prod13,0,0,cpn125,5.97,1.99,1.57,prod57,2015-01-06 00:00:01,user44,1,0.979444444444444,prod33,brand3,2015-01-06,8,Tuesday,0,cat3,cpn127,4.58,3.82
45,0,cpn3,12.92,12.92,341.35,151.7675,0,2015-01-06,2,Tuesday,3.14,0,2015-01-13 00:00:01,2015-01-06 16:13:58,2015-01-06 18:43:02,16.2325,brand4,cat5:cat4,1,cat8:cat7,0,149.283055555556,1,2.2,0,brand3,prod3,0,0,cpn128,6.44,0,0.94,prod27,2015-01-06 00:00:01,user45,0,2.48444444444444,prod35,brand3,2015-01-06,58,Tuesday,0,cat5:cat4:cat2,cpn129,4.21,0.69
46,0,cpn131,0,7.36,196.68,150.1825,0,2015-01-06,55,Tuesday,0.94,0,2015-01-13 00:00:01,2015-01-06 17:49:04,2015-01-06 18:45:55,17.8175,brand11,cat8,1,cat11,0,149.235,0,1.57,0,brand3,prod67,0,0,cpn130,3.52,1.46,1.57,prod68,2015-01-06 00:00:01,user46,1,0.9475,prod66,brand3,2015-01-06,4,Tuesday,0,cat13:cat9,cpn132,3.43,1.37
47,1,cpn134,0.66,6.58,203.49,150.384166666667,0,2015-01-06,24,Tuesday,0.94,0,2015-01-13 00:00:01,2015-01-06 17:36:58,2015-01-06 18:50:24,17.6158333333333,brand3,cat5:cat2,1,cat8,0,149.160277777778,0,0.63,0,brand2,prod26,0,0,cpn133,3.2,1.59,0.63,prod37,2015-01-06 00:00:01,user47,1,1.22388888888889,prod51,brand3,2015-01-06,58,Tuesday,0,cat3,cpn135,3.15,0.44
48,0,cpn137,3.58,4.31,190.94,149.598888888889,0,2015-01-06,38,Tuesday,0.94,0,2015-01-13 00:00:01,2015-01-06 18:24:05,2015-01-06 18:51:38,18.4011111111111,brand3,cat5:cat4:cat2,1,cat1,0,149.139722222222,0,1.26,0,brand3,prod69,0,0,cpn136,2.96,3.29,1.26,prod3,2015-01-06 00:00:01,user48,0,0.459166666666667,prod1,brand2,2015-01-06,5,Tuesday,0,cat5,cpn138,3.98,3.98
49,0,cpn78,0.9,8.1,450.64,150.718333333333,0,2015-01-06,48,Tuesday,2.2,0,2015-01-13 00:00:01,2015-01-06 17:16:55,2015-01-06 18:55:48,17.2816666666667,brand1,cat5:cat2,1,cat1:cat2,0,149.070277777778,0,1.26,0,brand3,prod2,0,0,cpn139,3.98,3.98,1.57,prod24,2015-01-06 00:00:01,user49,0,1.64805555555556,prod40,brand5,2015-01-06,55,Tuesday,0,cat16:cat3:cat2,cpn140,5.46,2.19
50,0,cpn142,1.07,9.59,211.5,150.323055555556,0,2015-01-06,54,Tuesday,0.94,0,2015-01-13 00:00:01,2015-01-06 17:40:38,2015-01-06 18:57:54,17.6769444444444,brand4,cat5,1,cat8:cat7,0,149.035277777778,1,0.94,0,brand3,prod2,0,0,cpn141,3.57,1.78,1.26,prod58,2015-01-06 00:00:01,user50,0,1.28777777777778,prod70,brand4,2015-01-06,38,Tuesday,0,cat16:cat3:cat2,cpn143,2.73,0.55
51,1,cpn28,1.25,7.5,249.15,149.36,0,2015-01-06,27,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 18:38:25,2015-01-06 19:06:27,18.64,brand3,cat5,1,cat16:cat12,0,148.892777777778,0,0.94,0,brand2,prod15,0,0,cpn144,4.49,0.49,0,prod58,2015-01-06 00:00:01,user51,0,0.467222222222222,prod71,brand3,2015-01-06,25,Tuesday,0,cat8:cat9,cpn145,2.32,0.46
52,1,cpn147,0.44,2.69,192.14,149.515555555556,0,2015-01-06,24,Tuesday,2.2,0,2015-01-13 00:00:01,2015-01-06 18:29:05,2015-01-06 19:10:24,18.4844444444444,brand3,cat5:cat4:cat2,1,cat8,0,148.826944444444,0,1.26,0,brand2,prod11,0,0,cpn146,3.57,0,1.57,prod3,2015-01-06 00:00:01,user52,0,0.688611111111111,prod35,brand3,2015-01-06,5,Tuesday,0,cat3,cpn3,12.92,12.92
53,0,cpn148,5.09,5.09,187.46,148.979722222222,0,2015-01-06,3,Tuesday,1.57,0,2015-01-13 00:00:01,2015-01-06 19:01:14,2015-01-06 19:20:03,19.0202777777778,brand6,cat5,1,cat1,0,148.666111111111,0,2.51,0,brand2,prod72,0,0,cpn94,8.89,3.7,1.26,prod55,2015-01-06 00:00:01,user53,0,0.313611111111111,prod33,brand3,2015-01-06,14,Tuesday,0,cat5,cpn149,5.09,1.02
54,1,cpn151,1.69,5.09,186.95,149.176944444444,0,2015-01-06,19,Tuesday,6.28,1,2015-01-13 00:00:01,2015-01-06 18:49:24,2015-01-06 19:26:19,18.8230555555556,brand4,cat5:cat7,1,cat1:cat7,1,148.561666666667,1,1.26,0,brand5,prod59,0,0,cpn150,12.5,7.35,0.63,prod73,2015-01-06 00:00:01,user54,0,0.615277777777778,prod7,brand4,2015-01-06,24,Tuesday,0,cat5:cat15:cat4:cat2,cpn152,3.15,1.26
55,0,cpn154,4.46,12.92,225.21,152.626666666667,0,2015-01-06,50,Tuesday,1.26,0,2015-01-13 00:00:01,2015-01-06 15:22:25,2015-01-06 19:36:50,15.3733333333333,brand5,cat5:cat2,1,cat1:cat2,0,148.386388888889,0,1.57,0,brand3,prod36,0,0,cpn153,9.22,11.51,1.26,prod64,2015-01-06 00:00:01,user55,0,4.24027777777778,prod40,brand5,2015-01-06,25,Tuesday,0,cat3,cpn155,3.15,0
56,0,cpn157,0.45,2.73,189.92,148.826666666667,0,2015-01-06,38,Tuesday,1.57,1,2015-01-13 00:00:01,2015-01-06 19:10:25,2015-01-06 19:37:38,19.1733333333333,brand6,cat5:cat7:cat4,1,cat1,0,148.373055555556,0,0.63,0,brand2,prod11,0,0,cpn156,7.32,2.08,1.57,prod75,2015-01-06 00:00:01,user56,0,0.453611111111111,prod74,brand4,2015-01-06,25,Tuesday,0,cat3:cat4,cpn158,2.69,2.69
