orderID,orderTime,userID,couponsReceived,basketValue,couponID,price,basePrice,reward,premiumProduct,brand,productGroup,categoryIDs,couponUsed,couponCol
10,2015-01-06 15:37:35,user10,2015-01-06 15:26:12,95.21,cpn28,7.5,1.25,0.94,0,brand2,prod15,cat8:cat9,1,1
10,2015-01-06 15:37:35,user10,2015-01-06 15:26:12,95.21,cpn29,3.06,0.61,1.26,1,brand4,prod22,cat5,0,2
10,2015-01-06 15:37:35,user10,2015-01-06 15:26:12,95.21,cpn30,5.42,0,1.26,0,brand3,prod23,cat13,1,3
11,2015-01-06 15:38:50,user11,2015-01-06 15:16:20,332,cpn31,6.95,6.95,1.57,0,brand5,prod12,cat5:cat2,0,1
11,2015-01-06 15:38:50,user11,2015-01-06 15:16:20,332,cpn32,7.36,1.47,1.57,0,brand3,prod24,cat5,0,2
11,2015-01-06 15:38:50,user11,2015-01-06 15:16:20,332,cpn33,5.09,0.73,2.2,0,brand3,prod25,cat13,0,3
12,2015-01-06 15:39:08,user12,2015-01-06 15:11:08,338.43,cpn22,9.17,2.04,0.94,1,brand4,prod7,cat1:cat7,1,1
12,2015-01-06 15:39:08,user12,2015-01-06 15:11:08,338.43,cpn34,3.15,0.9,1.26,0,brand2,prod26,cat3,0,2
12,2015-01-06 15:39:08,user12,2015-01-06 15:11:08,338.43,cpn35,5.74,0,1.88,0,brand2,prod27,cat5,0,3
13,2015-01-06 15:48:19,user13,2015-01-06 15:15:12,263.46,cpn36,5.33,4.44,0.94,0,brand7,prod1,cat1,0,1
13,2015-01-06 15:48:19,user13,2015-01-06 15:15:12,263.46,cpn37,7.59,0.84,1.88,0,brand8,prod28,cat3:cat14,0,2
13,2015-01-06 15:48:19,user13,2015-01-06 15:15:12,263.46,cpn38,2.69,1.41,1.57,0,brand5,prod29,cat5:cat15:cat2,0,3
14,2015-01-06 16:03:25,user14,2015-01-06 15:55:49,185.66,cpn39,5.56,4.27,1.57,0,brand3,prod30,cat1,0,1
14,2015-01-06 16:03:25,user14,2015-01-06 15:55:49,185.66,cpn40,11.44,1.31,1.88,0,brand2,prod26,cat3,0,2
14,2015-01-06 16:03:25,user14,2015-01-06 15:55:49,185.66,cpn41,14.36,2.87,0.94,0,brand3,prod19,cat5,0,3
15,2015-01-06 16:14:09,user15,2015-01-06 15:36:12,212.7,cpn42,8.43,3.51,1.88,0,brand2,prod31,cat1,0,1
15,2015-01-06 16:14:09,user15,2015-01-06 15:36:12,212.7,cpn43,3.75,1.07,0.94,0,brand2,prod8,cat3,0,2
15,2015-01-06 16:14:09,user15,2015-01-06 15:36:12,212.7,cpn44,3.43,3.43,1.26,0,brand3,prod32,cat11,0,3
16,2015-01-06 16:22:46,user16,2015-01-06 15:26:41,243.41,cpn45,10.56,3.52,0.94,0,brand6,prod33,cat1:cat4,0,1
16,2015-01-06 16:22:46,user16,2015-01-06 15:26:41,243.41,cpn46,4.58,0.92,1.26,1,brand4,prod11,cat3:cat7,0,2
16,2015-01-06 16:22:46,user16,2015-01-06 15:26:41,243.41,cpn47,6.3,1.26,1.57,0,brand3,prod34,cat5,0,3
17,2015-01-06 16:22:55,user17,2015-01-06 15:10:35,185.84,cpn48,3.66,0,1.57,0,brand6,prod35,cat8:cat4:cat2,0,1
17,2015-01-06 16:22:55,user17,2015-01-06 15:10:35,185.84,cpn49,36.58,4.57,1.57,0,brand2,prod36,cat3:cat4:cat2,0,2
17,2015-01-06 16:22:55,user17,2015-01-06 15:10:35,185.84,cpn50,17.55,2.19,0.94,0,brand3,prod37,cat5,0,3
18,2015-01-06 16:23:19,user18,2015-01-06 15:57:56,202.61,cpn51,2.96,1.56,1.57,0,brand2,prod38,cat1,0,1
18,2015-01-06 16:23:19,user18,2015-01-06 15:57:56,202.61,cpn52,9.59,1.18,0.94,0,brand3,prod2,cat16:cat3:cat2:cat17,1,2
18,2015-01-06 16:23:19,user18,2015-01-06 15:57:56,202.61,cpn53,4.58,3.06,1.57,0,brand5,prod39,cat5:cat18:cat2,0,3
19,2015-01-06 16:25:43,user19,2015-01-06 15:19:29,204.23,cpn54,9.22,9.22,1.57,0,brand3,prod40,cat1,0,1
19,2015-01-06 16:25:43,user19,2015-01-06 15:19:29,204.23,cpn55,4.08,2.04,1.57,0,brand3,prod37,cat5:cat2,1,2
19,2015-01-06 16:25:43,user19,2015-01-06 15:19:29,204.23,cpn56,3.66,1.82,1.26,0,brand3,prod37,cat5:cat2,1,3
20,2015-01-06 16:36:00,user20,2015-01-06 16:01:33,106.42,cpn57,6.67,9.52,1.57,0,brand7,prod40,cat1:cat15,0,1
20,2015-01-06 16:36:00,user20,2015-01-06 16:01:33,106.42,cpn58,4.82,1.05,1.57,1,brand4,prod28,cat3:cat7,0,2
20,2015-01-06 16:36:00,user20,2015-01-06 16:01:33,106.42,cpn59,7.36,2.95,1.26,0,brand5,prod41,cat5:cat4:cat2,0,3
21,2015-01-06 16:39:03,user21,2015-01-06 15:16:45,188.11,cpn60,7.22,2.19,1.57,0,brand9,prod42,cat1:cat2,0,1
21,2015-01-06 16:39:03,user21,2015-01-06 15:16:45,188.11,cpn61,4.35,1.44,1.26,0,brand8,prod43,cat3:cat14,0,2
21,2015-01-06 16:39:03,user21,2015-01-06 15:16:45,188.11,cpn62,4.45,1.48,0.94,0,brand3,prod44,cat16:cat5:cat17,0,3
22,2015-01-06 16:51:16,user22,2015-01-06 16:09:33,397.71,cpn63,12.18,4.87,1.57,0,brand2,prod45,cat1:cat4,0,1
22,2015-01-06 16:51:16,user22,2015-01-06 16:09:33,397.71,cpn64,3.89,1.39,0.94,1,brand4,prod46,cat3:cat7,0,2
22,2015-01-06 16:51:16,user22,2015-01-06 16:09:33,397.71,cpn65,5.51,2.75,2.51,1,brand4,prod14,cat5:cat7,0,3
23,2015-01-06 16:55:25,user23,2015-01-06 15:53:05,188.99,cpn66,17.32,7.87,0.94,1,brand4,prod45,cat1:cat7,0,1
23,2015-01-06 16:55:25,user23,2015-01-06 15:53:05,188.99,cpn67,2.73,2.73,1.57,1,brand4,prod47,cat11:cat7:cat19,0,2
23,2015-01-06 16:55:25,user23,2015-01-06 15:53:05,188.99,cpn68,3.47,1.16,1.57,0,brand3,prod48,cat13,0,3
24,2015-01-06 16:57:07,user24,2015-01-06 16:22:30,243.59,cpn10,2.5,2.08,1.57,0,brand6,prod10,cat1,0,1
24,2015-01-06 16:57:07,user24,2015-01-06 16:22:30,243.59,cpn69,7.32,1.35,1.26,0,brand3,prod46,cat3,0,2
24,2015-01-06 16:57:07,user24,2015-01-06 16:22:30,243.59,cpn70,2.32,5.79,1.57,1,brand4,prod4,cat5:cat7:cat4,0,3
25,2015-01-06 17:05:07,user25,2015-01-06 15:13:38,710.4,cpn71,5.51,1.1,1.88,1,brand4,prod24,cat5:cat7,0,1
25,2015-01-06 17:05:07,user25,2015-01-06 15:13:38,710.4,cpn72,6.81,0.97,0.94,0,brand3,prod49,cat5,0,2
25,2015-01-06 17:05:07,user25,2015-01-06 15:13:38,710.4,cpn73,4.03,1.07,0.94,0,brand3,prod27,cat5:cat2,0,3
26,2015-01-06 17:09:59,user26,2015-01-06 16:17:59,187.42,cpn74,9.86,3.29,1.26,0,brand2,prod31,cat1:cat9,0,1
26,2015-01-06 17:09:59,user26,2015-01-06 16:17:59,187.42,cpn75,3.98,2.74,1.26,1,brand4,prod50,cat5:cat7,0,2
26,2015-01-06 17:09:59,user26,2015-01-06 16:17:59,187.42,cpn76,3.66,11.43,0.94,0,brand3,prod37,cat5,0,3
27,2015-01-06 17:17:31,user27,2015-01-06 16:37:30,186.21,cpn77,4.4,1.99,0.94,1,brand4,prod51,cat8:cat7,0,1
27,2015-01-06 17:17:31,user27,2015-01-06 16:37:30,186.21,cpn78,8.1,0.9,1.26,0,brand3,prod2,cat16:cat3:cat2,0,2
27,2015-01-06 17:17:31,user27,2015-01-06 16:37:30,186.21,cpn79,6.67,3.33,0.94,0,brand3,prod52,cat5,1,3
28,2015-01-06 17:22:59,user28,2015-01-06 17:10:16,228.31,cpn80,3.33,3.33,1.26,0,brand3,prod32,cat11,0,1
28,2015-01-06 17:22:59,user28,2015-01-06 17:10:16,228.31,cpn81,2.96,2.96,1.26,0,brand3,prod53,cat6,0,2
28,2015-01-06 17:22:59,user28,2015-01-06 17:10:16,228.31,cpn82,3.98,2.65,1.57,0,brand10,prod30,cat1,0,3
29,2015-01-06 17:26:46,user29,2015-01-06 16:25:21,369.65,cpn51,2.96,1.56,1.57,0,brand2,prod38,cat1,0,1
29,2015-01-06 17:26:46,user29,2015-01-06 16:25:21,369.65,cpn83,3.15,0.44,0.94,0,brand3,prod37,cat5:cat2,0,2
29,2015-01-06 17:26:46,user29,2015-01-06 16:25:21,369.65,cpn84,6.85,0.69,1.26,0,brand3,prod54,cat13,0,3
30,2015-01-06 17:28:17,user30,2015-01-06 16:46:52,94.89,cpn85,3.89,1.21,1.26,0,brand11,prod55,cat8,0,1
30,2015-01-06 17:28:17,user30,2015-01-06 16:46:52,94.89,cpn86,3.15,1.96,1.57,0,brand3,prod56,cat5,0,2
30,2015-01-06 17:28:17,user30,2015-01-06 16:46:52,94.89,cpn87,3.06,1.98,6.28,0,brand3,prod39,cat5,0,3
31,2015-01-06 17:32:09,user31,2015-01-06 16:55:42,232.94,cpn88,9.63,9.63,1.26,1,brand4,prod40,cat1:cat7,0,1
31,2015-01-06 17:32:09,user31,2015-01-06 16:55:42,232.94,cpn89,4.45,1.27,1.26,0,brand3,prod46,cat3,0,2
31,2015-01-06 17:32:09,user31,2015-01-06 16:55:42,232.94,cpn90,3.43,0.48,2.2,1,brand4,prod37,cat5:cat7,1,3
32,2015-01-06 17:42:37,user32,2015-01-06 16:35:54,225.39,cpn91,7.18,1.7,0.94,0,brand6,prod33,cat1:cat4,0,1
32,2015-01-06 17:42:37,user32,2015-01-06 16:35:54,225.39,cpn92,5.09,1.45,1.88,0,brand3,prod19,cat5,0,2
32,2015-01-06 17:42:37,user32,2015-01-06 16:35:54,225.39,cpn93,4.08,2.81,1.57,0,brand3,prod18,cat5,0,3
33,2015-01-06 17:46:45,user33,2015-01-06 17:05:00,232.89,cpn94,8.89,3.7,1.26,0,brand6,prod33,cat1,0,1
33,2015-01-06 17:46:45,user33,2015-01-06 17:05:00,232.89,cpn95,3.47,0.69,0.94,1,brand4,prod11,cat3:cat7,0,2
33,2015-01-06 17:46:45,user33,2015-01-06 17:05:00,232.89,cpn96,3.61,1.9,1.88,0,brand5,prod29,cat5:cat15:cat2,0,3
34,2015-01-06 17:50:39,user34,2015-01-06 16:59:51,186.91,cpn97,5.84,5.84,1.26,1,brand4,prod40,cat1,0,1
34,2015-01-06 17:50:39,user34,2015-01-06 16:59:51,186.91,cpn98,8.52,0,1.26,0,brand3,prod43,cat3,0,2
34,2015-01-06 17:50:39,user34,2015-01-06 16:59:51,186.91,cpn99,15.7,3.14,1.26,0,brand3,prod57,cat5,0,3
35,2015-01-06 17:55:03,user35,2015-01-06 15:42:06,535.81,cpn100,7.87,1.57,1.57,0,brand3,prod3,cat5:cat15,0,1
35,2015-01-06 17:55:03,user35,2015-01-06 15:42:06,535.81,cpn101,2.96,0,1.57,0,brand2,prod52,cat5,0,2
35,2015-01-06 17:55:03,user35,2015-01-06 15:42:06,535.81,cpn102,2.32,0.46,1.57,0,brand3,prod58,cat5,0,3
36,2015-01-06 17:59:40,user36,2015-01-06 17:39:12,200.61,cpn103,2.73,0.55,1.57,1,brand4,prod59,cat5,0,1
36,2015-01-06 17:59:40,user36,2015-01-06 17:39:12,200.61,cpn104,2.5,2.5,1.88,1,brand4,prod60,cat5:cat7,0,2
36,2015-01-06 17:59:40,user36,2015-01-06 17:39:12,200.61,cpn105,3.06,3.06,1.88,1,brand4,prod61,cat11:cat7,1,3
37,2015-01-06 18:04:10,user37,2015-01-06 16:13:39,270.27,cpn106,22.92,4.58,1.88,0,brand3,prod1,cat1:cat15,0,1
37,2015-01-06 18:04:10,user37,2015-01-06 16:13:39,270.27,cpn107,8.8,1.76,1.88,0,brand3,prod14,cat5,0,3
37,2015-01-06 18:04:10,user37,2015-01-06 16:13:39,270.27,cpn89,4.45,1.27,1.26,0,brand3,prod46,cat3,0,2
38,2015-01-06 18:11:00,user38,2015-01-06 17:19:19,209.88,cpn108,13.06,1.44,1.26,0,brand2,prod15,cat8:cat9,1,1
38,2015-01-06 18:11:00,user38,2015-01-06 17:19:19,209.88,cpn109,3.66,1.82,3.14,0,brand3,prod60,cat5:cat2,0,2
38,2015-01-06 18:11:00,user38,2015-01-06 17:19:19,209.88,cpn110,3.57,0,1.57,0,brand3,prod60,cat5:cat2,0,3
39,2015-01-06 18:20:37,user39,2015-01-06 18:00:37,187,cpn111,2.69,1.07,1.57,1,brand4,prod62,cat5:cat7,0,1
39,2015-01-06 18:20:37,user39,2015-01-06 18:00:37,187,cpn112,2.69,1.07,1.57,1,brand4,prod62,cat5:cat7,0,2
39,2015-01-06 18:20:37,user39,2015-01-06 18:00:37,187,cpn113,3.15,1.96,1.26,0,brand3,prod56,cat5,0,3
40,2015-01-06 18:24:45,user40,2015-01-06 18:08:42,226.18,cpn114,10,166.72,0.94,1,brand4,prod15,cat8:cat7,0,1
40,2015-01-06 18:24:45,user40,2015-01-06 18:08:42,226.18,cpn115,4.58,0,3.14,1,brand3,prod63,cat5:cat7,0,2
40,2015-01-06 18:24:45,user40,2015-01-06 18:08:42,226.18,cpn116,2.08,0.42,0,0,brand3,prod37,cat5:cat4:cat2,0,3
41,2015-01-06 18:33:01,user41,2015-01-06 16:55:08,232.94,cpn1,3.24,5.4,1.57,0,brand1,prod1,cat1:cat2,1,1
41,2015-01-06 18:33:01,user41,2015-01-06 16:55:08,232.94,cpn117,4.58,1.69,1.26,0,brand3,prod46,cat3,1,2
41,2015-01-06 18:33:01,user41,2015-01-06 16:55:08,232.94,cpn118,11.07,2.01,0.63,0,brand3,prod17,cat5:cat2,1,3
42,2015-01-06 18:33:30,user42,2015-01-06 17:07:01,206.13,cpn119,4.58,0,1.26,1,brand4,prod35,cat8:cat7,0,1
42,2015-01-06 18:33:30,user42,2015-01-06 17:07:01,206.13,cpn120,7.13,1.78,1.26,1,brand4,prod11,cat3:cat7:cat4,0,2
42,2015-01-06 18:33:30,user42,2015-01-06 17:07:01,206.13,cpn121,4.58,1.14,0.94,0,brand5,prod58,cat5:cat15:cat2,0,3
43,2015-01-06 18:36:20,user43,2015-01-06 18:20:55,188.9,cpn122,3.06,3.39,1.26,0,brand3,prod1,cat1,0,1
43,2015-01-06 18:36:20,user43,2015-01-06 18:20:55,188.9,cpn123,4.26,1.42,1.57,0,brand3,prod64,cat5,0,2
43,2015-01-06 18:36:20,user43,2015-01-06 18:20:55,188.9,cpn124,11.07,7.37,1.57,0,brand3,prod65,cat13,0,3
44,2015-01-06 18:41:54,user44,2015-01-06 17:43:08,189.69,cpn125,5.97,1.99,1.57,0,brand6,prod33,cat1,1,1
44,2015-01-06 18:41:54,user44,2015-01-06 17:43:08,189.69,cpn126,5.93,0.79,1.57,0,brand3,prod13,cat3,0,2
44,2015-01-06 18:41:54,user44,2015-01-06 17:43:08,189.69,cpn127,4.58,3.82,1.88,0,brand3,prod57,cat5,0,3
45,2015-01-06 18:43:02,user45,2015-01-06 16:13:58,341.35,cpn128,6.44,0,0.94,1,brand4,prod35,cat8:cat7,0,1
45,2015-01-06 18:43:02,user45,2015-01-06 16:13:58,341.35,cpn129,4.21,0.69,3.14,0,brand3,prod27,cat5:cat4,0,3
45,2015-01-06 18:43:02,user45,2015-01-06 16:13:58,341.35,cpn3,12.92,12.92,2.2,0,brand3,prod3,cat5:cat4:cat2,0,2
46,2015-01-06 18:45:55,user46,2015-01-06 17:49:04,196.68,cpn130,3.52,1.46,1.57,0,brand11,prod66,cat11,1,1
46,2015-01-06 18:45:55,user46,2015-01-06 17:49:04,196.68,cpn131,7.36,0,1.57,0,brand3,prod67,cat13:cat9,0,2
46,2015-01-06 18:45:55,user46,2015-01-06 17:49:04,196.68,cpn132,3.43,1.37,0.94,0,brand3,prod68,cat8,0,3
47,2015-01-06 18:50:24,user47,2015-01-06 17:36:58,203.49,cpn133,3.2,1.59,0.63,0,brand3,prod51,cat8,1,1
47,2015-01-06 18:50:24,user47,2015-01-06 17:36:58,203.49,cpn134,6.58,0.66,0.63,0,brand2,prod26,cat3,1,2
47,2015-01-06 18:50:24,user47,2015-01-06 17:36:58,203.49,cpn135,3.15,0.44,0.94,0,brand3,prod37,cat5:cat2,0,3
48,2015-01-06 18:51:38,user48,2015-01-06 18:24:05,190.94,cpn136,2.96,3.29,1.26,0,brand3,prod1,cat1,0,1
48,2015-01-06 18:51:38,user48,2015-01-06 18:24:05,190.94,cpn137,4.31,3.58,1.26,0,brand3,prod69,cat5,0,2
48,2015-01-06 18:51:38,user48,2015-01-06 18:24:05,190.94,cpn138,3.98,3.98,0.94,0,brand2,prod3,cat5:cat4:cat2,0,3
49,2015-01-06 18:55:48,user49,2015-01-06 17:16:55,450.64,cpn139,3.98,3.98,1.57,0,brand1,prod40,cat1:cat2,0,1
49,2015-01-06 18:55:48,user49,2015-01-06 17:16:55,450.64,cpn140,5.46,2.19,2.2,0,brand5,prod24,cat5:cat2,0,3
49,2015-01-06 18:55:48,user49,2015-01-06 17:16:55,450.64,cpn78,8.1,0.9,1.26,0,brand3,prod2,cat16:cat3:cat2,0,2
50,2015-01-06 18:57:54,user50,2015-01-06 17:40:38,211.5,cpn141,3.57,1.78,1.26,1,brand4,prod70,cat8:cat7,0,1
50,2015-01-06 18:57:54,user50,2015-01-06 17:40:38,211.5,cpn142,9.59,1.07,0.94,0,brand3,prod2,cat16:cat3:cat2,0,2
50,2015-01-06 18:57:54,user50,2015-01-06 17:40:38,211.5,cpn143,2.73,0.55,0.94,0,brand4,prod58,cat5,0,3
51,2015-01-06 19:06:27,user51,2015-01-06 18:38:25,249.15,cpn144,4.49,0.49,0,0,brand3,prod71,cat16:cat12,0,1
51,2015-01-06 19:06:27,user51,2015-01-06 18:38:25,249.15,cpn145,2.32,0.46,1.57,0,brand3,prod58,cat5,0,3
51,2015-01-06 19:06:27,user51,2015-01-06 18:38:25,249.15,cpn28,7.5,1.25,0.94,0,brand2,prod15,cat8:cat9,1,2
52,2015-01-06 19:10:24,user52,2015-01-06 18:29:05,192.14,cpn146,3.57,0,1.57,0,brand3,prod35,cat8,0,1
52,2015-01-06 19:10:24,user52,2015-01-06 18:29:05,192.14,cpn147,2.69,0.44,1.26,0,brand2,prod11,cat3,1,2
52,2015-01-06 19:10:24,user52,2015-01-06 18:29:05,192.14,cpn3,12.92,12.92,2.2,0,brand3,prod3,cat5:cat4:cat2,0,3
53,2015-01-06 19:20:03,user53,2015-01-06 19:01:14,187.46,cpn148,5.09,5.09,2.51,0,brand2,prod72,cat5,0,2
53,2015-01-06 19:20:03,user53,2015-01-06 19:01:14,187.46,cpn149,5.09,1.02,1.57,0,brand3,prod55,cat5,0,3
53,2015-01-06 19:20:03,user53,2015-01-06 19:01:14,187.46,cpn94,8.89,3.7,1.26,0,brand6,prod33,cat1,0,1
54,2015-01-06 19:26:19,user54,2015-01-06 18:49:24,186.95,cpn150,12.5,7.35,0.63,1,brand4,prod7,cat1:cat7,0,1
54,2015-01-06 19:26:19,user54,2015-01-06 18:49:24,186.95,cpn151,5.09,1.69,1.26,0,brand5,prod59,cat5:cat15:cat4:cat2,1,2
54,2015-01-06 19:26:19,user54,2015-01-06 18:49:24,186.95,cpn152,3.15,1.26,6.28,1,brand4,prod73,cat5:cat7,1,3
55,2015-01-06 19:36:50,user55,2015-01-06 15:22:25,225.21,cpn153,9.22,11.51,1.26,0,brand5,prod40,cat1:cat2,0,1
55,2015-01-06 19:36:50,user55,2015-01-06 15:22:25,225.21,cpn154,12.92,4.46,1.57,0,brand3,prod36,cat3,0,2
55,2015-01-06 19:36:50,user55,2015-01-06 15:22:25,225.21,cpn155,3.15,0,1.26,0,brand5,prod64,cat5:cat2,0,3
56,2015-01-06 19:37:38,user56,2015-01-06 19:10:25,189.92,cpn156,7.32,2.08,1.57,0,brand6,prod74,cat1,0,1
56,2015-01-06 19:37:38,user56,2015-01-06 19:10:25,189.92,cpn157,2.73,0.45,0.63,0,brand2,prod11,cat3:cat4,0,2
56,2015-01-06 19:37:38,user56,2015-01-06 19:10:25,189.92,cpn158,2.69,2.69,1.57,1,brand4,prod75,cat5:cat7:cat4,0,3
57,2015-01-06 19:49:26,user57,2015-01-06 17:57:12,278.18,cpn159,4.26,2.13,1.26,0,brand6,prod74,cat1,0,1
57,2015-01-06 19:49:26,user57,2015-01-06 17:57:12,278.18,cpn160,3.66,1.46,1.57,0,brand3,prod58,cat10:cat2,0,2
57,2015-01-06 19:49:26,user57,2015-01-06 17:57:12,278.18,cpn161,8.29,1.66,1.57,1,brand4,prod3,cat5:cat7:cat15:cat4,0,3
58,2015-01-06 19:50:12,user58,2015-01-06 19:14:05,215.8,cpn162,5.51,0,1.26,0,brand6,prod35,cat8:cat4,1,1
58,2015-01-06 19:50:12,user58,2015-01-06 19:14:05,215.8,cpn163,9.03,1.81,1.57,0,brand3,prod2,cat3,1,2
58,2015-01-06 19:50:12,user58,2015-01-06 19:14:05,215.8,cpn164,3.66,0.91,1.57,0,brand3,prod37,cat5,1,3
59,2015-01-06 19:57:47,user59,2015-01-06 18:18:00,304.07,cpn165,4.17,2.6,1.57,0,brand6,prod76,cat1:cat4,0,1
59,2015-01-06 19:57:47,user59,2015-01-06 18:18:00,304.07,cpn166,8.1,0.9,1.26,0,brand12,prod2,cat16:cat3:cat4:cat2:cat17,0,2
59,2015-01-06 19:57:47,user59,2015-01-06 18:18:00,304.07,cpn167,5.93,3.95,2.51,0,brand5,prod37,cat5:cat15:cat4:cat2,0,3
60,2015-01-06 20:01:47,user60,2015-01-06 19:49:57,96.19,cpn168,13.11,7.28,0.63,0,brand6,prod7,cat1,0,1
60,2015-01-06 20:01:47,user60,2015-01-06 19:49:57,96.19,cpn169,8.52,1.7,1.26,0,brand3,prod18,cat5,1,2
60,2015-01-06 20:01:47,user60,2015-01-06 19:49:57,96.19,cpn170,5.37,2.69,1.57,0,brand3,prod18,cat5:cat4:cat2,0,3
61,2015-01-06 20:02:27,user61,2015-01-06 19:39:29,149.35,cpn171,4.58,0.76,0.94,0,brand3,prod71,cat12,0,1
61,2015-01-06 20:02:27,user61,2015-01-06 19:39:29,149.35,cpn172,6.44,0,1.57,0,brand3,prod77,cat6,0,2
61,2015-01-06 20:02:27,user61,2015-01-06 19:39:29,149.35,cpn173,3.66,5.71,1.57,0,brand3,prod78,cat6,0,3
62,2015-01-06 20:03:32,user62,2015-01-06 19:46:23,234.14,cpn174,11.86,5.93,0.63,0,brand3,prod17,cat5:cat2,1,1
62,2015-01-06 20:03:32,user62,2015-01-06 19:46:23,234.14,cpn175,11.86,5.93,0.63,0,brand3,prod17,cat5,1,2
62,2015-01-06 20:03:32,user62,2015-01-06 19:46:23,234.14,cpn176,6.11,6.11,1.26,0,brand2,prod3,cat5,1,3
63,2015-01-06 20:06:05,user63,2015-01-06 19:39:43,203.21,cpn177,2.59,0.52,1.57,1,brand4,prod47,cat11:cat19:cat4,0,1
63,2015-01-06 20:06:05,user63,2015-01-06 19:39:43,203.21,cpn178,4.49,2.99,1.88,0,brand3,prod28,cat3,0,2
63,2015-01-06 20:06:05,user63,2015-01-06 19:39:43,203.21,cpn179,3.24,0.56,1.26,0,brand3,prod37,cat5,0,3
64,2015-01-06 20:14:09,user64,2015-01-06 15:33:04,239.61,cpn167,5.93,3.95,2.51,0,brand5,prod37,cat5:cat15:cat4:cat2,0,3
