"","orderID","orderTime","userID","couponsReceived","couponID1","price1","basePrice1","reward1","premiumProduct1","brand1","productGroup1","categoryIDs1","couponID2","price2","basePrice2","reward2","premiumProduct2","brand2","productGroup2","categoryIDs2","couponID3","price3","basePrice3","reward3","premiumProduct3","brand3","productGroup3","categoryIDs3","coupon1Used","coupon2Used","coupon3Used","basketValue"
"11",11,"2015-01-06 15:38:50",11,"2015-01-06 15:16:20",11,6.95,6.95,1.57,0,6,7,7,844,7.36,1.47,1.57,0,5,16,2,2465,5.09,0.73,2.2,0,5,171,34,0,0,0,332
"12",12,"2015-01-06 15:39:08",12,"2015-01-06 15:11:08",8,9.17,2.04,0.94,1,3,3,3,1274,3.15,0.9,1.26,0,2,57,63,1842,5.74,0,1.88,0,2,88,2,1,0,0,338.43
"13",13,"2015-01-06 15:48:19",13,"2015-01-06 15:15:12",12,5.33,4.44,0.94,0,7,1,4,1275,7.59,0.84,1.88,0,22,111,88,2109,2.69,1.41,1.57,0,6,104,40,0,0,0,263.46
"14",14,"2015-01-06 16:03:25",14,"2015-01-06 15:55:49",13,5.56,4.27,1.57,0,5,8,4,1276,11.44,1.31,1.88,0,2,57,63,2377,14.36,2.87,0.94,0,5,172,2,0,0,0,185.66
"15",15,"2015-01-06 16:14:09",15,"2015-01-06 15:36:12",14,8.43,3.51,1.88,0,2,9,4,1277,3.75,1.07,0.94,0,2,175,63,806,3.43,3.43,1.26,0,5,18,14,0,0,0,212.7
"16",16,"2015-01-06 16:22:46",16,"2015-01-06 15:26:41",15,10.56,3.52,0.94,0,4,10,8,1278,4.58,0.92,1.26,1,3,50,35,2466,6.3,1.26,1.57,0,5,116,2,0,0,0,243.41
"17",17,"2015-01-06 16:22:55",17,"2015-01-06 15:10:35",16,3.66,0,1.57,0,4,11,9,1279,36.58,4.57,1.57,0,2,131,41,2066,17.55,2.19,0.94,0,5,90,2,0,0,0,185.84
"18",18,"2015-01-06 16:23:19",18,"2015-01-06 15:57:56",17,2.96,1.56,1.57,0,2,12,4,1280,9.59,1.18,0.94,0,5,66,128,1887,4.58,3.06,1.57,0,6,119,143,0,1,0,202.61
"19",19,"2015-01-06 16:25:43",19,"2015-01-06 15:19:29",18,9.22,9.22,1.57,0,5,13,4,1281,4.08,2.04,1.57,0,5,90,7,1780,3.66,1.82,1.26,0,5,90,7,0,1,1,204.23
"20",20,"2015-01-06 16:36:00",20,"2015-01-06 16:01:33",19,6.67,9.52,1.57,0,7,13,10,1282,4.82,1.05,1.57,1,3,111,35,1523,7.36,2.95,1.26,0,6,117,26,0,0,0,106.42
"21",21,"2015-01-06 16:39:03",21,"2015-01-06 15:16:45",20,7.22,2.19,1.57,0,8,14,1,1283,4.35,1.44,1.26,0,22,79,88,765,4.45,1.48,0.94,0,5,114,93,0,0,0,188.11
"22",22,"2015-01-06 16:51:16",22,"2015-01-06 16:09:33",21,12.18,4.87,1.57,0,2,15,8,1284,3.89,1.39,0.94,1,3,98,35,1925,5.51,2.75,2.51,1,3,97,11,0,0,0,397.71
"23",23,"2015-01-06 16:55:25",23,"2015-01-06 15:53:05",22,17.32,7.87,0.94,1,3,15,3,320,2.73,2.73,1.57,1,3,29,56,2092,3.47,1.16,1.57,0,5,45,34,0,0,0,188.99
"24",24,"2015-01-06 16:57:07",24,"2015-01-06 16:22:30",4,2.5,2.08,1.57,0,4,4,4,1285,7.32,1.35,1.26,0,5,98,63,1423,2.32,5.79,1.57,1,3,2,109,0,0,0,243.59
"25",25,"2015-01-06 17:05:07",25,"2015-01-06 15:13:38",23,5.51,1.1,1.88,1,3,16,11,1286,6.81,0.97,0.94,0,5,149,2,2467,4.03,1.07,0.94,0,5,88,7,0,0,0,710.4
"26",26,"2015-01-06 17:09:59",26,"2015-01-06 16:17:59",24,9.86,3.29,1.26,0,2,9,12,1287,3.98,2.74,1.26,1,3,115,11,766,3.66,11.43,0.94,0,5,90,2,0,0,0,187.42
"27",27,"2015-01-06 17:17:31",27,"2015-01-06 16:37:30",25,4.4,1.99,0.94,1,3,17,13,1288,8.1,0.9,1.26,0,5,66,81,1241,6.67,3.33,0.94,0,5,68,2,0,0,1,186.21
"28",28,"2015-01-06 17:22:59",28,"2015-01-06 17:10:16",26,3.33,3.33,1.26,0,5,18,14,1289,2.96,2.96,1.26,0,5,153,36,177,3.98,2.65,1.57,0,14,8,4,0,0,0,228.31
"29",29,"2015-01-06 17:26:46",29,"2015-01-06 16:25:21",17,2.96,1.56,1.57,0,2,12,4,1290,3.15,0.44,0.94,0,5,90,7,995,6.85,0.69,1.26,0,5,62,34,0,0,0,369.65
"30",30,"2015-01-06 17:28:17",30,"2015-01-06 16:46:52",27,3.89,1.21,1.26,0,9,19,15,883,3.15,1.96,1.57,0,5,65,2,2468,3.06,1.98,6.28,0,5,119,2,0,0,0,94.89
"31",31,"2015-01-06 17:32:09",31,"2015-01-06 16:55:42",28,9.63,9.63,1.26,1,3,13,3,942,4.45,1.27,1.26,0,5,98,63,953,3.43,0.48,2.2,1,3,90,11,0,0,1,232.94
"32",32,"2015-01-06 17:42:37",32,"2015-01-06 16:35:54",29,7.18,1.7,0.94,0,4,10,8,1291,5.09,1.45,1.88,0,5,172,2,647,4.08,2.81,1.57,0,5,73,2,0,0,0,225.39
"33",33,"2015-01-06 17:46:45",33,"2015-01-06 17:05:00",30,8.89,3.7,1.26,0,4,10,4,124,3.47,0.69,0.94,1,3,50,35,1316,3.61,1.9,1.88,0,6,104,40,0,0,0,232.89
"34",34,"2015-01-06 17:50:39",34,"2015-01-06 16:59:51",31,5.84,5.84,1.26,1,3,13,4,1292,8.52,0,1.26,0,5,79,63,1935,15.7,3.14,1.26,0,5,86,2,0,0,0,186.91
"35",35,"2015-01-06 17:55:03",35,"2015-01-06 15:42:06",32,7.87,1.57,1.57,0,5,20,16,1293,2.96,0,1.57,0,2,68,2,1906,2.32,0.46,1.57,0,5,42,2,0,0,0,535.81
"36",36,"2015-01-06 17:59:40",36,"2015-01-06 17:39:12",33,2.73,0.55,1.57,1,3,21,2,1294,2.5,2.5,1.88,1,3,76,11,106,3.06,3.06,1.88,1,3,43,25,0,0,1,200.61
"37",37,"2015-01-06 18:04:10",37,"2015-01-06 16:13:39",34,22.92,4.58,1.88,0,5,1,10,942,4.45,1.27,1.26,0,5,98,63,1912,8.8,1.76,1.88,0,5,97,2,0,0,0,270.27
"38",38,"2015-01-06 18:11:00",38,"2015-01-06 17:19:19",35,13.06,1.44,1.26,0,2,5,5,1295,3.66,1.82,3.14,0,5,76,7,1317,3.57,0,1.57,0,5,76,7,1,0,0,209.88
"39",39,"2015-01-06 18:20:37",39,"2015-01-06 18:00:37",36,2.69,1.07,1.57,1,3,22,11,1296,2.69,1.07,1.57,1,3,22,11,1784,3.15,1.96,1.26,0,5,65,2,0,0,0,187
"40",40,"2015-01-06 18:24:45",40,"2015-01-06 18:08:42",37,10,166.72,0.94,1,3,5,13,1297,4.58,0,3.14,1,5,63,11,1838,2.08,0.42,0,0,5,90,26,0,0,0,226.18
"41",41,"2015-01-06 18:33:01",41,"2015-01-06 16:55:08",1,3.24,5.4,1.57,0,1,1,1,1298,4.58,1.69,1.26,0,5,98,63,2469,11.07,2.01,0.63,0,5,28,7,1,1,1,232.94
"42",42,"2015-01-06 18:33:30",42,"2015-01-06 17:07:01",38,4.58,0,1.26,1,3,11,13,1234,7.13,1.78,1.26,1,3,50,125,1944,4.58,1.14,0.94,0,6,42,40,0,0,0,206.13
"43",43,"2015-01-06 18:36:20",43,"2015-01-06 18:20:55",39,3.06,3.39,1.26,0,5,1,4,1299,4.26,1.42,1.57,0,5,95,2,2470,11.07,7.37,1.57,0,5,106,34,0,0,0,188.9
"44",44,"2015-01-06 18:41:54",44,"2015-01-06 17:43:08",40,5.97,1.99,1.57,0,4,10,4,1300,5.93,0.79,1.57,0,5,127,63,2471,4.58,3.82,1.88,0,5,86,2,1,0,0,189.69
"45",45,"2015-01-06 18:43:02",45,"2015-01-06 16:13:58",41,6.44,0,0.94,1,3,11,13,130,12.92,12.92,2.2,0,5,20,26,373,4.21,0.69,3.14,0,5,88,64,0,0,0,341.35
"46",46,"2015-01-06 18:45:55",46,"2015-01-06 17:49:04",42,3.52,1.46,1.57,0,9,23,14,1301,7.36,0,1.57,0,5,176,45,228,3.43,1.37,0.94,0,5,36,15,1,0,0,196.68
"47",47,"2015-01-06 18:50:24",47,"2015-01-06 17:36:58",43,3.2,1.59,0.63,0,5,17,15,1053,6.58,0.66,0.63,0,2,57,63,1354,3.15,0.44,0.94,0,5,90,7,1,1,0,203.49
"48",48,"2015-01-06 18:51:38",48,"2015-01-06 18:24:05",44,2.96,3.29,1.26,0,5,1,4,1302,4.31,3.58,1.26,0,5,30,2,218,3.98,3.98,0.94,0,2,20,26,0,0,0,190.94
"49",49,"2015-01-06 18:55:48",49,"2015-01-06 17:16:55",45,3.98,3.98,1.57,0,1,13,1,1288,8.1,0.9,1.26,0,5,66,81,1116,5.46,2.19,2.2,0,6,16,7,0,0,0,450.64
"50",50,"2015-01-06 18:57:54",50,"2015-01-06 17:40:38",46,3.57,1.78,1.26,1,3,24,13,588,9.59,1.07,0.94,0,5,66,81,2472,2.73,0.55,0.94,0,3,42,2,0,0,0,211.5
"51",51,"2015-01-06 19:06:27",51,"2015-01-06 18:38:25",47,4.49,0.49,0,0,5,25,17,10,7.5,1.25,0.94,0,2,5,5,2473,2.32,0.46,1.57,0,5,42,2,0,1,0,249.15
"52",52,"2015-01-06 19:10:24",52,"2015-01-06 18:29:05",48,3.57,0,1.57,0,5,11,15,1303,2.69,0.44,1.26,0,2,50,63,130,12.92,12.92,2.2,0,5,20,26,0,1,0,192.14
"53",53,"2015-01-06 19:20:03",53,"2015-01-06 19:01:14",30,8.89,3.7,1.26,0,4,10,4,831,5.09,5.09,2.51,0,2,100,2,1374,5.09,1.02,1.57,0,5,19,2,0,0,0,187.46
"54",54,"2015-01-06 19:26:19",54,"2015-01-06 18:49:24",49,12.5,7.35,0.63,1,3,3,3,1304,5.09,1.69,1.26,0,6,21,97,1836,3.15,1.26,6.28,1,3,59,11,0,1,1,186.95
"55",55,"2015-01-06 19:36:50",55,"2015-01-06 15:22:25",50,9.22,11.51,1.26,0,6,13,1,1305,12.92,4.46,1.57,0,5,131,63,1366,3.15,0,1.26,0,6,95,7,0,0,0,225.21
"56",56,"2015-01-06 19:37:38",56,"2015-01-06 19:10:25",51,7.32,2.08,1.57,0,4,26,4,548,2.73,0.45,0.63,0,2,50,80,966,2.69,2.69,1.57,1,3,123,109,0,0,0,189.92
"57",57,"2015-01-06 19:49:26",57,"2015-01-06 17:57:12",52,4.26,2.13,1.26,0,4,26,4,1306,3.66,1.46,1.57,0,5,42,111,747,8.29,1.66,1.57,1,3,20,91,0,0,0,278.18
"58",58,"2015-01-06 19:50:12",58,"2015-01-06 19:14:05",53,5.51,0,1.26,0,4,11,18,1307,9.03,1.81,1.57,0,5,66,63,2474,3.66,0.91,1.57,0,5,90,2,1,1,1,215.8
"59",59,"2015-01-06 19:57:47",59,"2015-01-06 18:18:00",54,4.17,2.6,1.57,0,4,27,8,1308,8.1,0.9,1.26,0,23,66,129,815,5.93,3.95,2.51,0,6,90,97,0,0,0,304.07
"60",60,"2015-01-06 20:01:47",60,"2015-01-06 19:49:57",55,13.11,7.28,0.63,0,4,3,4,1309,8.52,1.7,1.26,0,5,73,2,2475,5.37,2.69,1.57,0,5,73,26,0,1,0,96.19
"61",61,"2015-01-06 20:02:27",61,"2015-01-06 19:39:29",56,4.58,0.76,0.94,0,5,25,19,132,6.44,0,1.57,0,5,52,36,2476,3.66,5.71,1.57,0,5,201,36,0,0,0,149.35
"62",62,"2015-01-06 20:03:32",62,"2015-01-06 19:46:23",57,11.86,5.93,0.63,0,5,28,7,1310,11.86,5.93,0.63,0,5,28,2,1134,6.11,6.11,1.26,0,2,20,2,1,1,1,234.14
"63",63,"2015-01-06 20:06:05",63,"2015-01-06 19:39:43",58,2.59,0.52,1.57,1,3,29,20,1311,4.49,2.99,1.88,0,5,111,63,423,3.24,0.56,1.26,0,5,90,2,0,0,0,203.21
"64",64,"2015-01-06 20:14:09",64,"2015-01-06 15:33:04",59,6.11,2.04,1.26,0,5,26,4,1312,7.5,1.56,1.57,0,5,111,63,815,5.93,3.95,2.51,0,6,90,97,0,0,0,239.61
"65",65,"2015-01-06 20:15:36",65,"2015-01-06 20:05:29",60,3.66,6.09,1.57,0,5,30,2,1313,18.34,2.29,0.63,0,5,134,77,51,7.32,2.08,1.57,0,4,26,4,0,0,1,208.53
"66",66,"2015-01-06 20:20:45",66,"2015-01-06 20:15:35",61,2.96,0,1.26,1,3,11,13,752,7.36,2.04,1.88,1,3,131,35,2477,3.52,0,1.57,0,5,63,61,0,0,0,189.87
"67",67,"2015-01-06 20:22:56",67,"2015-01-06 16:15:00",21,12.18,4.87,1.57,0,2,15,8,1314,6.44,0.85,1.88,0,2,127,63,1601,18.48,6.16,1.26,0,5,20,2,0,0,0,196.08
"68",68,"2015-01-06 20:40:16",68,"2015-01-06 17:07:20",8,9.17,2.04,0.94,1,3,3,3,1269,4.17,1.39,1.26,1,3,175,35,2478,2.5,2.17,1.26,1,3,101,11,0,0,0,274.94
"69",69,"2015-01-06 20:41:43",69,"2015-01-06 20:16:22",62,5.05,1.73,0.94,0,2,17,18,1039,3.47,0.99,1.57,0,5,149,99,949,3.47,0.99,1.57,0,5,149,61,1,1,1,208.21
"70",70,"2015-01-06 20:41:51",70,"2015-01-06 20:02:19",63,9.17,3.67,1.26,1,3,3,21,1238,5.93,0.79,1.57,0,5,127,63,2479,2.69,0.54,1.26,1,3,88,11,0,0,0,223.08
"71",71,"2015-01-06 20:50:30",71,"2015-01-06 20:17:05",64,6.76,2.41,1.57,0,4,31,4,373,4.21,0.69,3.14,0,5,88,64,712,3.66,1.92,1.26,0,5,90,26,0,0,0,188.02
"72",72,"2015-01-06 20:51:54",72,"2015-01-06 20:16:14",35,13.06,1.44,1.26,0,2,5,5,1315,6.02,3.01,0.94,0,5,103,2,2275,4.08,0.82,1.57,0,5,90,2,1,0,0,241.09
"73",73,"2015-01-06 20:59:02",73,"2015-01-06 20:23:31",65,4.03,2.69,1.57,0,2,1,4,1316,3.61,1.9,1.88,0,6,104,40,130,12.92,12.92,2.2,0,5,20,26,0,0,0,188.76
"74",74,"2015-01-06 20:59:59",74,"2015-01-06 20:18:48",66,2.59,0.52,1.57,1,3,32,22,1317,3.57,0,1.57,0,5,76,7,2480,15.7,0.35,1.57,0,21,89,46,0,0,1,284.25
"75",75,"2015-01-06 21:11:21",75,"2015-01-06 20:28:09",67,10.88,3.2,1.57,0,2,9,23,1269,4.17,1.39,1.26,1,3,175,35,1701,6.11,2.45,1.57,1,3,116,149,0,0,0,185.98
"76",76,"2015-01-06 21:13:50",76,"2015-01-06 15:06:17",68,6.25,2.5,0.63,0,2,17,24,1318,5,1.34,1.57,0,7,98,63,2078,2.27,0.45,0,1,3,80,11,0,0,0,209.83
"77",77,"2015-01-06 21:16:05",77,"2015-01-06 21:11:45",69,65.44,7.27,0.94,0,4,3,4,870,9.08,2.27,1.57,1,3,109,35,1934,6.02,1.2,2.2,1,3,16,11,1,1,1,331.35
"78",78,"2015-01-06 21:19:06",78,"2015-01-06 15:55:03",70,2.73,2.09,1.26,0,2,12,4,1319,9.22,1.44,1.57,0,5,111,63,953,3.43,0.48,2.2,1,3,90,11,1,0,0,538.4
"79",79,"2015-01-06 21:28:26",79,"2015-01-06 20:24:09",71,12.32,2.73,0.94,0,2,27,4,373,4.21,0.69,3.14,0,5,88,64,2481,12.78,1.42,1.57,0,5,47,19,0,0,0,192.28
"80",80,"2015-01-06 21:31:48",80,"2015-01-06 20:53:11",8,9.17,2.04,0.94,1,3,3,3,870,9.08,2.27,1.57,1,3,109,35,2358,5.37,2.98,1.57,0,6,104,40,0,1,0,194.59
"81",81,"2015-01-06 21:36:55",81,"2015-01-06 16:09:20",72,3.89,1.95,0.94,0,2,8,8,1320,6.67,0.94,1.57,1,3,88,11,2472,2.73,0.55,0.94,0,3,42,2,0,0,0,209.83
"82",82,"2015-01-06 21:37:00",82,"2015-01-06 15:13:31",73,3.43,4.57,0.94,0,7,1,4,1321,5.88,1.95,1.57,0,5,98,63,2482,3.33,0.67,1.57,0,5,80,2,1,0,0,170.7
"83",83,"2015-01-06 21:43:44",83,"2015-01-06 21:14:21",74,3.61,0.6,1.57,1,10,18,25,1162,4.58,4.58,1.88,0,17,78,14,2483,6.44,2.57,2.2,0,5,203,34,0,0,0,204.64
"84",84,"2015-01-06 21:45:24",84,"2015-01-06 21:16:06",9,4.54,4.54,1.26,0,5,6,6,1005,4.45,0.89,1.57,0,5,68,2,2484,3.66,1.97,1.26,0,5,90,2,0,0,0,197.84
"85",85,"2015-01-06 21:49:04",85,"2015-01-06 15:39:41",37,10,166.72,0.94,1,3,5,13,1322,3.47,1.16,1.88,0,2,109,63,1443,2.73,0,1.88,1,3,123,11,0,0,0,201.03
"86",86,"2015-01-06 21:51:39",86,"2015-01-06 20:22:32",7,4.68,2.59,1.26,1,3,3,3,1174,9.59,1.07,0.94,0,5,66,81,2485,4.49,2.77,1.57,0,5,116,2,0,0,0,421.19
"87",87,"2015-01-06 21:54:25",87,"2015-01-06 21:49:47",37,10,166.72,0.94,1,3,5,13,1323,3.98,3.98,1.88,0,6,114,7,1986,6.44,3.21,0.94,1,3,86,11,1,0,0,259.94
"88",88,"2015-01-06 21:55:13",88,"2015-01-06 21:52:46",75,13.85,5.54,1.57,0,6,20,26,1324,12.87,0,1.88,0,6,152,130,2486,3.61,1.2,1.57,0,5,204,2,0,0,0,114.62
"89",89,"2015-01-06 22:23:54",89,"2015-01-06 15:16:43",54,4.17,2.6,1.57,0,4,27,8,1325,4.4,1.17,0.94,0,5,88,2,2286,4.08,2.04,1.57,0,5,90,7,0,0,0,206.22
"90",90,"2015-01-06 22:24:33",90,"2015-01-06 20:54:12",76,3.66,2.81,6.28,0,5,17,15,1326,2.32,0.09,1.88,0,5,177,36,540,13.34,1.48,1.26,0,5,47,19,0,1,1,199.04
"91",91,"2015-01-06 22:25:07",91,"2015-01-06 21:41:55",77,7.5,1.67,1.26,0,2,8,8,1327,6.67,2.67,1.57,0,5,92,60,1630,5.09,5.2,1.57,0,5,184,2,1,0,1,402.16
"92",92,"2015-01-06 22:25:51",92,"2015-01-06 21:56:56",78,6.67,3.33,1.26,1,3,17,13,1328,4.08,3.7,1.57,0,5,117,2,1780,3.66,1.82,1.26,0,5,90,7,0,0,1,211.45
"93",93,"2015-01-06 22:42:16",93,"2015-01-06 22:24:52",79,4.26,1.7,0.94,0,2,33,5,1329,2.32,0.68,2.2,0,2,126,118,2487,3.24,0,1.57,0,5,205,46,1,1,1,341.3
"94",94,"2015-01-06 22:46:28",94,"2015-01-06 22:44:09",80,4.91,0,1.57,0,4,24,15,492,7.36,1.47,1.26,1,19,83,75,1296,2.69,1.07,1.57,1,3,22,11,1,0,0,389
"95",95,"2015-01-06 22:48:47",95,"2015-01-06 22:28:38",81,12.04,12.04,1.26,0,5,9,4,1330,5.74,1.59,1.57,0,5,98,63,23,5.51,1.1,1.88,1,3,16,11,0,1,0,213.91
"96",96,"2015-01-06 22:49:29",96,"2015-01-06 15:30:40",82,4.49,2.08,0.94,1,3,17,13,1331,3.98,2.74,1.57,1,3,115,131,2488,2.96,2.82,3.14,1,3,99,11,0,0,0,590.27
"97",97,"2015-01-06 22:51:15",97,"2015-01-06 21:45:59",83,5.56,4.27,1.57,0,5,8,4,124,3.47,0.69,0.94,1,3,50,35,1423,2.32,5.79,1.57,1,3,2,109,0,0,0,395.63
"98",98,"2015-01-06 23:01:51",98,"2015-01-06 22:28:40",84,4.12,3.43,1.26,0,5,7,27,447,2.73,1.09,1.26,0,5,30,7,1860,2.5,2.5,0.94,0,5,152,64,1,0,0,185.24
"99",99,"2015-01-06 23:02:48",99,"2015-01-06 15:31:50",85,6.21,8.86,1.57,0,7,13,28,1312,7.5,1.56,1.57,0,5,111,63,1254,5.93,4.56,1.26,0,6,160,113,0,0,0,214.23
"100",100,"2015-01-06 23:18:33",100,"2015-01-06 16:06:47",30,8.89,3.7,1.26,0,4,10,4,1332,11.99,1.26,1.26,0,2,131,63,840,2.73,4.55,1.88,0,10,114,2,0,1,0,423.46
"101",101,"2015-01-06 23:20:46",101,"2015-01-06 23:09:25",26,3.33,3.33,1.26,0,5,18,14,1333,6.67,1.11,1.57,0,5,111,90,271,3.66,3.66,0.63,0,2,20,27,1,0,0,295.23
"102",102,"2015-01-06 23:51:01",102,"2015-01-06 18:15:18",86,3.15,0.63,1.26,0,5,34,15,765,4.45,1.48,0.94,0,5,114,93,2331,2.73,0.27,1.57,0,21,51,34,0,0,0,245.4
"103",103,"2015-01-07 00:05:41",103,"2015-01-06 23:33:57",51,7.32,2.08,1.57,0,4,26,4,1334,4.45,1.64,1.26,0,5,98,63,1567,2.73,3.03,1.57,0,6,86,7,0,0,0,449.81
"104",104,"2015-01-07 00:28:56",104,"2015-01-06 20:33:10",87,13.52,7.51,0.63,1,3,3,3,1335,4.91,2.45,1.57,1,3,97,2,2056,3.33,16.67,1.57,1,3,100,11,0,0,0,187.42
"105",105,"2015-01-07 06:11:32",105,"2015-01-06 15:23:15",88,4.35,2.18,1.26,0,5,35,19,52,4.26,2.13,1.26,0,4,26,4,1601,18.48,6.16,1.26,0,5,20,2,0,0,1,203.07
"106",106,"2015-01-07 06:52:26",106,"2015-01-06 16:31:49",89,15.7,15.7,1.26,0,5,28,27,667,3.66,0,0.63,0,5,11,15,1506,2.59,0.48,1.57,0,2,75,2,0,0,1,216.92
"107",107,"2015-01-07 07:41:05",107,"2015-01-07 07:34:56",35,13.06,1.44,1.26,0,2,5,5,1312,7.5,1.56,1.57,0,5,111,63,1722,4.45,1.58,0.94,0,5,114,93,1,0,0,204.23
"108",108,"2015-01-07 07:56:12",108,"2015-01-06 18:59:52",61,2.96,0,1.26,1,3,11,13,23,5.51,1.1,1.88,1,3,16,11,2372,4.58,2.29,0.94,1,3,97,11,0,0,0,284.85
"109",109,"2015-01-07 08:11:05",109,"2015-01-07 07:40:30",61,2.96,0,1.26,1,3,11,13,1336,4.58,1.53,1.57,1,3,175,35,953,3.43,0.48,2.2,1,3,90,11,0,1,0,240.95
"110",110,"2015-01-07 08:31:10",110,"2015-01-07 05:42:57",90,2.41,1.2,1.57,0,2,36,24,1262,5.28,5.28,1.26,0,5,20,2,1700,3.43,0.69,1.57,0,5,42,40,1,0,0,813.81
"111",111,"2015-01-07 08:36:20",111,"2015-01-07 08:20:10",5,12.27,2.45,1.26,0,4,3,4,817,5.23,4.19,1.57,0,6,104,40,2489,2.5,2.5,1.57,1,3,76,11,1,0,0,203.39
"112",112,"2015-01-07 08:37:35",112,"2015-01-07 07:51:19",91,10.98,3.43,1.57,0,2,9,4,1337,10.65,0,1.88,0,5,20,2,980,6.11,4.89,1.57,0,5,152,64,1,1,1,221.27
"113",113,"2015-01-07 08:41:25",113,"2015-01-07 07:05:39",92,2.73,0.55,1.57,0,7,23,14,844,7.36,1.47,1.57,0,5,16,2,2490,7.36,1.47,0.63,0,5,28,2,1,0,0,273.97
"114",114,"2015-01-07 08:44:47",114,"2015-01-06 19:26:01",93,6.67,8.34,1.26,0,2,13,4,622,4.17,0.83,0.94,1,3,88,11,2315,4.26,0.98,1.88,0,5,88,61,0,0,0,210.71
"115",115,"2015-01-07 08:57:08",115,"2015-01-06 15:10:03",67,10.88,3.2,1.57,0,2,9,23,1282,4.82,1.05,1.57,1,3,111,35,1443,2.73,0,1.88,1,3,123,11,0,0,0,193.16
"116",116,"2015-01-07 09:04:03",116,"2015-01-06 18:12:48",94,3.94,13.11,1.57,0,6,37,29,1165,3.52,2.34,2.2,0,6,75,120,2491,3.66,1.46,1.26,0,5,75,118,0,0,0,282.07
"117",117,"2015-01-07 09:05:21",117,"2015-01-07 08:57:13",95,3.52,2.34,2.2,0,5,38,20,663,3.06,0.31,1.88,1,3,123,11,271,3.66,3.66,0.63,0,2,20,27,1,0,1,148.19
"118",118,"2015-01-07 09:08:18",118,"2015-01-07 07:41:42",59,6.11,2.04,1.26,0,5,26,4,1338,5.74,1.59,1.57,0,5,111,63,1316,3.61,1.9,1.88,0,6,104,40,0,0,0,270.68
"119",119,"2015-01-07 09:12:36",119,"2015-01-07 09:09:44",96,2.73,2.19,0.94,0,5,39,15,1339,4.49,2.24,1.57,0,5,109,63,2492,6.07,0.6,1.57,0,5,44,33,1,1,1,194.87
"120",120,"2015-01-07 09:21:40",120,"2015-01-06 15:10:39",13,5.56,4.27,1.57,0,5,8,4,1340,5.65,1.13,1.57,0,2,175,63,268,20.38,13.58,0.94,0,5,73,2,0,0,0,227.57
"121",121,"2015-01-07 09:23:17",121,"2015-01-06 21:54:40",97,8.29,8.29,1.26,1,3,13,8,1341,3.8,2.45,1.57,0,5,114,2,2006,3.52,1.85,1.26,0,5,114,2,1,0,0,190.06
