"orderID","userID","userID_fac","order_num_times","order_total_times","basket_value","ave_basket_value","med_basket_value","basket_value_over500","num_couponUsed_perorder","num_order_couponUsed_peruser","total_num_couponUsed","total_num_coupon1Used","total_num_coupon2Used","total_num_coupon3Used"
46,"0c14b0be0ba7d627c4c8325625e56dfb",124,1,2,196.68,193.39,193.39,0,1,1,1,1,0,0
47,"a2b4c8b3d937e34760102f6b7dc647a8",1915,1,2,203.49,162.18,162.18,0,2,2,3,2,1,0
48,"b723b967e0680683cb67e2b8838af507",2154,1,1,190.94,190.94,190.94,0,0,0,0,0,0,0
49,"dc758d3defcf847227a02d3ed9e22ba2",2574,1,3,450.64,440.9,450.64,1,0,1,1,1,0,0
50,"e2da70d2ed4d585f7b79df563435d3e6",2647,1,6,211.5,140.845,127.025,0,0,0,0,0,0,0
51,"49c4f1a5f55f9f586c8bca33a5cf0d37",878,1,2,249.15,311.855,311.855,0,1,2,2,1,1,0
52,"b9d886afe6b1b2bb5cb9d5b369859c0d",2182,1,2,192.14,189.015,189.015,0,1,1,1,0,1,0
53,"737ff246f1d4b7438b80ef92e011d8d1",1351,1,9,187.46,213.344444444444,191.68,0,0,3,3,0,1,2
54,"679820802c6cd9c16508a63c76a9d840",1213,1,11,186.95,197.218181818182,186.17,0,2,5,9,3,4,2
55,"4eff70685ea5db54dc1cca387c3b0aaa",937,1,7,225.21,303.98,259.85,1,0,2,2,1,1,0
56,"f8f34f58e03cef6025d07007754af45b",2881,1,4,189.92,218.2825,200.615,0,0,1,1,0,0,1
57,"5707bea04f286481e32dca2459509ea2",1034,1,8,278.18,307.695,287.425,0,0,2,2,2,0,0
58,"168ed3c1586d12be1c1c422b5369e3d6",272,1,1,215.8,215.8,215.8,0,3,1,3,1,1,1
59,"41c0294d385e276814672addb3eef086",775,1,4,304.07,246.345,262.205,0,0,2,3,1,1,1
60,"bf23e175f796724280ea5099d0d555ac",2244,1,9,96.19,105.298888888889,99.2,0,1,4,4,0,2,2
61,"35f4590b87027b50c450f327f34806fd",663,1,2,149.35,186.975,186.975,0,0,1,1,0,0,1
62,"c4fceea600c6a3a3ef34da96a14e462e",2304,1,2,234.14,263.55,263.55,0,3,2,6,2,2,2
63,"18534dacdd44a1a26d2a83148b3b4c25",300,1,2,203.21,171.255,171.255,0,0,0,0,0,0,0
64,"0ed6aca88d66f53bf281774371401f3e",167,1,3,239.61,262.423333333333,239.61,0,0,1,1,0,1,0
65,"7458aedd95b4416d3df7bcd5558158c0",1360,1,2,208.53,346.42,346.42,0,1,1,1,0,0,1
66,"13ed1b87d12242dfde89a9d6cfdf9275",239,1,3,189.87,209.74,198.58,0,0,0,0,0,0,0
67,"b3b937cd7778a6b02d372de961f68b72",2107,1,2,196.08,174.66,174.66,0,0,1,1,0,1,0
68,"5adad5e0e0072ca693192bf73981f1c1",1078,1,2,274.94,231.155,231.155,0,0,0,0,0,0,0
69,"71c484c05b3c48b0175c450580a13a72",1332,1,1,208.21,208.21,208.21,0,3,1,3,1,1,1
70,"4296fd6548fcbd66e4f946e92e97c203",790,1,4,223.08,255.575,242.805,0,0,1,1,0,1,0
71,"37aa37a3d4db63cfedbf976daddebf5c",679,1,3,188.02,188.203333333333,188.02,0,0,2,2,2,0,0
72,"f1a2c2849b2c8c032ff51c6e7cee3478",2803,1,2,241.09,232.59,232.59,0,1,1,1,1,0,0
73,"206585c6a4ed4e1a83a514e7659603e1",399,1,2,188.76,187.44,187.44,0,0,1,1,0,0,1
74,"994c32de49404d0b76b891d35f44441e",1803,1,2,284.25,247.34,247.34,0,1,2,3,1,0,2
75,"32e6efd5daac5a61cd0e9cdd6d54d921",627,1,7,185.98,194.78,186.86,0,0,2,2,1,1,0
76,"81e4981a8889a249fb92f40518bc05ad",1519,1,6,209.83,219.523333333333,210.385,0,0,3,3,1,1,1
77,"4289584acd0c8fdc258f46600b1b8f3b",789,1,8,331.35,383.1975,408.265,0,3,8,16,6,5,5
78,"c0dd3819caa4e080721e0ed5be216afe",2261,1,3,538.4,382.476666666667,388.87,1,1,1,1,1,0,0
79,"7181a06a2f663b45806926d798278cfd",1326,1,1,192.28,192.28,192.28,0,0,0,0,0,0,0
80,"3687fb601cce296aef958cb696e1ffd9",667,1,4,194.59,155.265,146.85,0,1,1,1,0,1,0
81,"f3a3bbae7fcc45622370edb935cd123d",2828,1,1,209.83,209.83,209.83,0,0,0,0,0,0,0
82,"a0f040a18c4ecc9cc8359f3092b6b601",1892,1,1,170.7,170.7,170.7,0,1,1,1,1,0,0
83,"4f819be37bca0b6b9752220427ba908d",950,1,1,204.64,204.64,204.64,0,0,0,0,0,0,0
84,"e19a00098e3eb2e53ed04ac0458605ad",2627,1,1,197.84,197.84,197.84,0,0,0,0,0,0,0
85,"f0728f7cca9bcda86ace3ea7d65fa89e",2797,1,1,201.03,201.03,201.03,0,0,0,0,0,0,0
86,"f905bb96250a822bae749591ffed876d",2883,1,2,421.19,365.085,365.085,0,0,0,0,0,0,0
87,"f25dfd74a5412d4cd3951877eddf308c",2812,1,2,259.94,293.19,293.19,0,1,1,1,1,0,0
88,"d407e201d751971fdec16f105429a8fe",2466,1,5,114.62,136.578,135.18,0,0,1,1,1,0,0
89,"5df46900d7a61b4ff65c3764c9b455ba",1121,1,2,206.22,197.58,197.58,0,0,0,0,0,0,0
90,"c1ff243edca74d7c778d86c9849d3d4a",2276,1,1,199.04,199.04,199.04,0,2,1,2,0,1,1
91,"e91111c28bb571a02371745676c68d5b",2719,1,3,402.16,418.69,402.16,0,2,1,2,1,0,1
92,"c1807d231620ae7d0eea5cff22da181e",2271,1,2,211.45,204.085,204.085,0,1,2,3,1,1,1
93,"4287efe66ff5ad86213a80f4a7bb4b81",787,1,1,341.3,341.3,341.3,0,3,1,3,1,1,1
94,"b0d7c52ac352b7817a1ae224a5f3f0aa",2073,1,2,389,358.32,358.32,0,1,1,1,1,0,0
95,"a7e190ebf14ead14e8802eb8562fca48",1986,1,7,213.91,178.56,188.39,0,1,4,5,1,3,1
96,"813d11b5755192329d2967311eb785bf",1508,1,1,590.27,590.27,590.27,1,0,0,0,0,0,0
97,"66391d08fb2487d00187ba40958b3da9",1199,1,1,395.63,395.63,395.63,0,0,0,0,0,0,0
98,"4b4516e39a35bb8951001de9fdf506d8",894,1,12,185.24,185.420833333333,185.285,0,1,9,9,6,0,3
99,"3e6fedaff8b3150a946dea0de0049848",741,1,3,214.23,229.666666666667,214.23,0,0,0,0,0,0,0
100,"d6f02c9018c20043a5d3636ed896f504",2505,1,2,423.46,438.88,438.88,0,1,1,1,0,1,0
101,"cab8f17453fbeb4fcd06fb7f644b3c91",2365,1,1,295.23,295.23,295.23,0,1,1,1,1,0,0
102,"acaa62d86066d9bac955b8fba244f9a1",2030,1,1,245.4,245.4,245.4,0,0,0,0,0,0,0
103,"ac03d76fcdae5b6bd56a5b3e6ccaac25",2026,1,4,449.81,386.48,369.74,1,0,1,1,0,0,1
104,"f77c9f34935923c1741616c9bcaf7132",2871,1,3,187.42,218.09,187.97,0,0,1,2,1,0,1
105,"fc8932fac5ad65505a8021bbd9c7d806",2916,1,1,203.07,203.07,203.07,0,1,1,1,0,0,1
106,"20e233676e19f1c5d17eea281ecd081e",409,1,1,216.92,216.92,216.92,0,1,1,1,0,0,1
107,"61e7170241980238ea4707240b18af16",1157,1,3,204.23,195.923333333333,196.54,0,1,3,3,1,1,1
108,"294ae1a990738f5ea5447f4757310e00",511,1,9,284.85,330.024444444444,324.12,0,0,6,7,1,3,3
109,"179ac4038afee171c6d914ac9a0b8841",287,1,2,240.95,213.745,213.745,0,1,1,1,0,1,0
110,"8ec633931b1d65db48f86d9ff3e1b963",1687,1,1,813.81,813.81,813.81,1,1,1,1,1,0,0
111,"ab73a4352fccdfdfac5f373e671164d1",2018,1,1,203.39,203.39,203.39,0,1,1,1,1,0,0
112,"d48708893051d959a4a70555e5eba6aa",2469,1,1,221.27,221.27,221.27,0,3,1,3,1,1,1
113,"8ae3db076a93b60b46f505b1d67075f6",1634,1,1,273.97,273.97,273.97,0,1,1,1,1,0,0
114,"1f0feaac8ab91d4e516d98e828a6ca83",383,1,3,210.71,195.613333333333,188.94,0,0,0,0,0,0,0
115,"445cb5bea081e90a11fa783ae4b272c1",811,1,6,193.16,190.178333333333,189.845,0,0,1,1,0,0,1
116,"f7ab824d08ff2d57024f03437dfac80f",2875,1,1,282.07,282.07,282.07,0,0,0,0,0,0,0
117,"a4511fb2fd8b54a1ee1b2eafdcd04d00",1935,1,4,148.19,257.8675,279.09,0,2,2,3,1,1,1
118,"ebc0ff47cb4af27c01c7a790a3010aa5",2747,1,4,270.68,216.9975,203.235,0,0,1,1,1,0,0
119,"1ce505dd1d73bf68a3e0a29b6159eaab",355,1,1,194.87,194.87,194.87,0,3,1,3,1,1,1
120,"81fd689694fda12e6d876fba507de93b",1520,1,10,227.57,221.31,200.66,0,0,4,6,1,4,1
121,"eebb99e07f742d2d1711ffc72728a4dd",2778,1,5,190.06,205.424,191.77,0,1,5,9,4,2,3
122,"430c2df82ffa18d6330505de9db5fa49",798,1,2,491.3,485.49,485.49,0,0,0,0,0,0,0
123,"716edc648f0d7487b766fc238268d84a",1324,1,8,185.75,189.92125,186.975,0,2,7,8,1,5,2
124,"891a19f973d38184028cebf1f2cab12f",1607,1,3,215.99,218.986666666667,215.99,0,0,1,1,0,0,1
125,"c7c346453125265bf18d73ae9c64e4e0",2335,1,9,337,297.247777777778,293.42,0,0,0,0,0,0,0
126,"fcbb6fe508cd95940f0fdac3ba1e4118",2918,1,1,116.01,116.01,116.01,0,0,0,0,0,0,0
127,"e4685db78ea4acb7c96e71042e3f8f95",2666,1,1,186.21,186.21,186.21,0,0,0,0,0,0,0
128,"164c981ae43cd3a38830b3e8a43a3462",262,1,4,387.57,331.185,341.815,0,0,2,2,0,1,1
129,"4d699b924c32c6e4f83b8055807110b8",923,1,3,200.85,193.746666666667,194.87,0,1,2,2,0,2,0
130,"95c4e3cea7652062922345e33761f610",1765,1,2,253.55,267.95,267.95,0,0,0,0,0,0,0
131,"2b16dbfb9a23ad2ddb0b633c76c2aced",535,1,2,238.22,244.33,244.33,0,0,0,0,0,0,0
132,"f4046c06d1705f4e075afb3e4e1299b0",2833,1,2,218.21,255.77,255.77,0,0,0,0,0,0,0
133,"0fa024b88d518239fdf50b0387c35746",184,1,2,223.45,197.12,197.12,0,0,0,0,0,0,0
134,"9c2f62978a28d5c29356d560a9b7e732",1841,1,3,323.71,315.016666666667,322.92,0,0,2,2,1,0,1
135,"ea4f8e18701b01cd141b45715404bd63",2730,1,1,104.15,104.15,104.15,0,0,0,0,0,0,0
136,"136576ae504b7ca3c2ce6888f251ac15",230,1,2,695.21,741.75,741.75,2,1,1,1,1,0,0
137,"3c29da026fa50f471b2c2641ef6fcafc",723,1,1,195.43,195.43,195.43,0,0,0,0,0,0,0
138,"9c09b067307f80f7e6b57bd1066c1f81",1840,1,1,220.57,220.57,220.57,0,0,0,0,0,0,0
139,"a54de638191a119e01c551dc8437c10e",1952,1,3,208.81,210.356666666667,210.11,0,1,3,3,2,1,0
140,"c9951975fb0265e979ca122592217223",2357,1,1,167.09,167.09,167.09,0,0,0,0,0,0,0
141,"d14a8cb294e48a7f83c0306a1a4fbaea",2435,1,5,110.5,110.59,101.93,0,0,1,1,0,0,1
142,"4978f48508f1bd6023e5d66a8882fd92",875,1,4,185.38,140.1,139.695,0,2,4,5,2,1,2
143,"123db34786aa9b0939a1fda322399ebf",212,1,5,518.81,282.898,264.66,1,1,2,2,1,0,1
144,"141c169b1383eac8a59a87e25db3796a",241,1,4,253.36,241.5525,232.755,0,0,1,1,0,0,1
145,"4024d746b7fc128280b6edc8bb05b06e",754,1,5,588.41,642.522,609.16,4,1,2,3,1,1,1
146,"cf258e2d7ef332a1c130dbd9b9df9b1c",2410,1,1,186.26,186.26,186.26,0,2,1,2,1,1,0
147,"47156a852e2e2b5dbd23d76171cdcbef",840,1,2,117.07,105.31,105.31,0,1,1,1,1,0,0
148,"04d49d166ea75d9214ede89096313e6e",50,1,1,234,234,234,0,1,1,1,0,0,1
149,"a37981d2d9ecba8b02c2ecdcaa67775f",1925,1,2,297.22,291.5,291.5,0,0,1,1,1,0,0
150,"5df1549ef47483da815373e66d73485d",1120,1,7,119.06,108.684285714286,107.12,0,3,4,11,3,4,4
151,"b08c305450c21d0a919c119d7d6d1209",2069,1,10,194.97,191.515,191.26,0,1,10,15,6,4,5
152,"845768c7d5edd16bfd6408e4ab10c924",1547,1,1,188.02,188.02,188.02,0,1,1,1,0,1,0
153,"d34793ccb0154e5e225296ba56031346",2459,1,1,202.05,202.05,202.05,0,0,0,0,0,0,0
154,"1c205c5c53a6fa1480b854374b9932a3",348,1,1,463.84,463.84,463.84,0,2,1,2,1,0,1
155,"b32927028e56f6c69e84ed589b56a7c6",2102,1,5,373.81,369.914,353.02,0,0,1,1,1,0,0
156,"1989af6e9eb44120e71bd8bb885b6e94",317,1,2,196.31,208.86,208.86,0,3,1,3,1,1,1
157,"42d7b273b86f9cc56b5e124b33a74c9f",795,1,1,114.2,114.2,114.2,0,0,0,0,0,0,0
158,"a8b9006951e588ccde2227209cb0e36b",1995,1,4,128.83,583.1925,573.85,2,0,0,0,0,0,0
159,"435397e792dc30fa2c162399033919b5",801,1,3,259.34,306.636666666667,322.41,0,3,2,4,2,1,1
160,"bc222dd37fb7215fb6f767db65c96e09",2205,1,2,272.35,228.565,228.565,0,0,0,0,0,0,0
161,"4905a1090aa113b242801b8d8b3c5bcb",867,1,4,185.84,200.66,186.325,0,1,2,2,0,2,0
162,"b3ccfb42504b8940fea2f065be2d5df5",2110,1,2,460.46,364.97,364.97,0,0,0,0,0,0,0
163,"d2d3bbba9752edc569c675068d0a996d",2455,1,2,340.7,370.315,370.315,0,0,1,1,0,1,0
164,"db4ddb38e80f926c30699fd3f2d30983",2556,1,1,246.6,246.6,246.6,0,0,0,0,0,0,0
165,"1fd5b60669ca652e139d2f26ecc25957",395,1,1,190.15,190.15,190.15,0,3,1,3,1,1,1
166,"89ae9151cbcc3bf0ddc5329e4ec7a7e9",1616,1,2,185.33,185.7,185.7,0,0,0,0,0,0,0
167,"d952d3e1c48b46516052cf2af2cd7942",2536,1,1,192.88,192.88,192.88,0,0,0,0,0,0,0
168,"f1ce51cbab31cb4b28660152170b78bc",2808,1,3,200.11,211.066666666667,208.95,0,1,1,1,0,1,0
169,"c88a8bfcd816144284b9669c9d22feb2",2342,1,1,185.8,185.8,185.8,0,2,1,2,1,1,0
170,"18e709587a5660e3405e5deb098e8f6b",308,1,1,187.46,187.46,187.46,0,0,0,0,0,0,0
171,"25448383aa7ac1247d0592443f9ebe5c",469,1,1,189.04,189.04,189.04,0,0,0,0,0,0,0
172,"8e60411cce6edfc0c33bf305dd87a510",1683,1,3,198.44,233.31,236.41,0,2,3,8,3,3,2
173,"cc34d92ee06a19bcc9c04b721ccea5f7",2384,1,2,224.97,209.595,209.595,0,1,2,2,0,1,1
174,"7ca1c10fef1c070e305a1be6aa1178c0",1461,1,9,274.85,222.19,217.98,0,0,3,4,2,1,1
175,"9e6799dd558c4779d078b2ab5f712a84",1866,1,9,358.76,359.072222222222,358.76,0,0,1,1,0,0,1
176,"402c2ba2d67dd32ed505921966fdf1c0",755,1,4,332.74,317.815,315.81,0,2,4,6,3,1,2
177,"3235704e28be39339a9a06c7fcc1dd40",624,1,5,113.23,112.136,107.16,0,0,0,0,0,0,0
178,"f28d5e84450aa8e01c80c77b428820ec",2814,1,2,188.39,192.95,192.95,0,0,1,1,0,1,0
179,"bf7fc246f3520f45195253768707b47a",2249,1,3,236.97,208.426666666667,197.05,0,3,1,3,1,1,1
180,"e9c6b016cd4010dbe6e13037e3c83c4e",2723,1,3,200.57,236.91,216.18,0,1,3,4,3,1,0
181,"0534484ca40e1afe060d517cb3e66c0e",54,1,1,242.34,242.34,242.34,0,0,0,0,0,0,0
182,"2c6ab2b64e7396892a18985ea4c285fd",556,1,4,279.99,278.15,281.17,0,0,1,2,1,1,0
183,"27ef720fc00187898250228663697f97",495,1,2,257.07,233.17,233.17,0,0,0,0,0,0,0
184,"6969e434bf88b4b3af78104f903cbb38",1238,1,5,433.69,350.038,352.6,0,0,0,0,0,0,0
185,"05e3567fa0d6f4378195bddab292f718",60,1,2,393.5,389.305,389.305,0,0,1,1,1,0,0
186,"2119af66a296e1098d3a23236ed5265f",411,1,11,97.76,110.9,104.34,0,0,1,1,0,1,0
187,"ab70ab0d909ea2f7786679a9664ca339",2017,1,3,301.71,339.683333333333,301.71,0,0,1,1,1,0,0
188,"7d65b7fab51ab2924008e8a9e6170571",1469,1,2,407.94,432.695,432.695,0,0,0,0,0,0,0
189,"be713258059f60eaae35346a7593bd34",2236,1,4,431.98,540.205,547.66,2,0,0,0,0,0,0
190,"23e59e3bdd3f76f9b9a618d23119ce50",452,1,1,247.2,247.2,247.2,0,0,0,0,0,0,0
191,"37881a0f0d7692450db716040ce203be",676,1,1,93.27,93.27,93.27,0,0,0,0,0,0,0
192,"1cdb05b7f1b9ef587b0c965100e1bef8",354,1,2,198.25,194.315,194.315,0,0,0,0,0,0,0
193,"52f9dd4c8dd9350cb967ad7d1296f8fd",990,1,1,203.72,203.72,203.72,0,0,0,0,0,0,0
194,"9bcdbe8f9f9c7e4ec095926165431713",1835,1,2,254.52,253.015,253.015,0,0,0,0,0,0,0
195,"608e48d3145af547256b022659388ccb",1141,1,4,261.28,384.5225,251.045,1,1,3,4,2,0,2
196,"cf7abab0dde1587199a027696263733c",2417,1,8,187.14,186.15,186.05,0,3,7,11,5,4,2
197,"ee1dc187597d756e6f7e274e598449b3",2771,1,2,95.26,97.645,97.645,0,0,0,0,0,0,0
198,"bc68536ed8cfa4b5c09011782681ad74",2210,1,1,204.74,204.74,204.74,0,0,0,0,0,0,0
199,"0db8ad604e7d860e89cf0675e3a04248",149,1,3,214.69,235.92,214.69,0,0,1,1,0,1,0
200,"19db71e4006f091d4adb03d0cdaec6a5",321,1,3,186.21,201.43,207.93,0,3,3,7,3,3,1
201,"b48dc9c8691b60fcc7900d54a4d8131b",2125,2,14,185.8,213.41,185.73,1,2,9,12,8,1,3
202,"0153ee5dbac3eb99bbdb5ea4d4085098",7,1,2,203.72,207.91,207.91,0,2,2,5,2,2,1
203,"c74b79bd7802f0f43c1b933c0f9bb17a",2332,1,3,186.03,156.356666666667,142.26,0,2,2,3,2,1,0
204,"fdf795cd10f8901d7b6ba58af716fa4a",2934,1,3,188.11,190.456666666667,190.61,0,0,2,2,1,0,1
205,"d64788d4b5473675badabe5ceec85467",2495,1,1,258.69,258.69,258.69,0,1,1,1,0,1,0
206,"79c5a04779a02df00779cb8886c2ace8",1422,1,5,189.36,168.752,173.01,0,0,0,0,0,0,0
207,"167f76509b8e42d422be7d8cd6dcb56d",269,1,2,232.01,274.5,274.5,0,0,1,1,0,1,0
208,"540cb651e0e693ff1d25bc6bdaec8ab1",1002,1,3,205.06,209.073333333333,210.94,0,2,3,7,3,3,1
209,"2c5ba28bda92b6e98e7a247ba5242bf6",554,1,4,241.14,187.57,191.61,0,0,1,2,1,0,1
210,"4aedb2db776d428762fa33b8e410123b",892,1,3,321.72,211.236666666667,168.06,0,1,3,3,1,1,1
211,"1de9ff532eefd8092cfadeb88924dd18",369,1,6,149.21,185.881666666667,158.36,0,1,1,1,0,1,0
212,"481f10fbe9fcc42a8a53ca8ac62cc154",856,1,5,344.22,282.824,302.5,0,1,2,2,2,0,0
213,"dcc870229ed54d045746ce2587bbeacd",2580,1,13,141.48,145.581538461538,141.48,0,0,4,4,0,2,2
214,"d00243147254cef9e3f904cefaa39fe9",2426,1,12,109.57,148.844166666667,152.31,0,0,7,8,4,2,2
215,"0d064912ac6aaf7316315f6af90cab9a",134,1,1,211.22,211.22,211.22,0,1,1,1,0,1,0
216,"283fcbb4b84ce19a07aa4b528e8cb7b6",499,1,5,185.98,189.39,186.72,0,0,0,0,0,0,0
217,"b07e6d8a595457c682423ca0fb2b353d",2067,1,2,243.31,217.03,217.03,0,0,0,0,0,0,0
218,"3ac57aeeff51230a1d1531948f163936",711,1,1,406,406,406,0,0,0,0,0,0,0
219,"2516e3183b2c87f4cd5c842ea13ef7dd",466,1,1,3169.92,3169.92,3169.92,1,0,0,0,0,0,0
220,"a4af884513f35f5ae9d821d33653e67b",1941,1,1,196.22,196.22,196.22,0,1,1,1,0,1,0
221,"1e8e1c3d3500a61eca7bbe1f1d5c0be8",379,1,3,214.79,195.213333333333,214.79,0,0,0,0,0,0,0
222,"08b1f5e854ed43825d682daa038f4bf4",87,1,3,210.66,210.046666666667,210.66,0,0,2,3,1,1,1
223,"433074ea8e2089972cb51e3076e086ff",800,1,1,242.02,242.02,242.02,0,0,0,0,0,0,0
224,"5613e1880d3da646dee4e405978e6555",1022,1,1,187.56,187.56,187.56,0,2,1,2,1,1,0
225,"f12d13a551284179761972c36c07847b",2800,1,5,349.73,305.764,290.64,0,0,3,3,2,1,0
226,"7be50f11b4d62627acb25d949ba09b70",1452,1,6,212.75,126.54,110.585,0,0,2,2,0,1,1
227,"4f59577e58f054ab9fe224f87e088af4",945,1,6,283.97,290.88,271.815,1,0,0,0,0,0,0
228,"5ab23a75a6317bf673a862b189fa9d97",1076,1,1,205.01,205.01,205.01,0,3,1,3,1,1,1
229,"fe5d821c62ca45a46fc8dc9cefd5c197",2941,1,2,185.98,219.045,219.045,0,1,1,1,1,0,0
230,"46f8c726dd5e2274bea521e1b872e797",839,1,4,186.49,172.745,177.065,0,1,3,4,1,2,1
231,"b67abee916e41ba328b8f963744ad23c",2143,1,1,190.61,190.61,190.61,0,3,1,3,1,1,1
232,"4a89b8386e665eeca6c590d9eab7cbd7",887,1,1,298.14,298.14,298.14,0,0,0,0,0,0,0
233,"07dc6a383a48025d5f0e78a685130d9a",77,1,3,273.28,228.323333333333,221.59,0,2,2,3,0,2,1
234,"d6b2e03bc1998dfb5089d06be1ebf672",2501,1,4,366.5,285.0875,271.565,0,0,0,0,0,0,0
235,"fb434bd28e00c2565fc5c4a43bba4c20",2902,1,5,202.88,195.798,198.58,0,2,5,12,5,4,3
236,"602707afd78b9d9a4f288c3e6f494914",1134,1,1,195.66,195.66,195.66,0,1,1,1,1,0,0
