"","couponID","price","basePrice","reward","brand","productGroup","catSub1","catSub2","catSub3","catSub4","catSub5","nSubCats"
"45","cpn44",3.43,3.43,1.26,"brand3","prod32","cat11",NA,NA,NA,NA,1
"48","cpn47",6.3,1.26,1.57,"brand3","prod34","cat5",NA,NA,NA,NA,1
"51","cpn50",17.55,2.19,0.94,"brand3","prod37","cat5",NA,NA,NA,NA,1
"52","cpn51",2.96,1.56,1.57,"brand2","prod38","cat1",NA,NA,NA,NA,1
"55","cpn54",9.22,9.22,1.57,"brand3","prod40","cat1",NA,NA,NA,NA,1
"69","cpn68",3.47,1.16,1.57,"brand3","prod48","cat13",NA,NA,NA,NA,1
"71","cpn69",7.32,1.35,1.26,"brand3","prod46","cat3",NA,NA,NA,NA,1
"74","cpn72",6.81,0.97,0.94,"brand3","prod49","cat5",NA,NA,NA,NA,1
"78","cpn76",3.66,11.43,0.94,"brand3","prod37","cat5",NA,NA,NA,NA,1
"81","cpn79",6.67,3.33,0.94,"brand3","prod52","cat5",NA,NA,NA,NA,1
"82","cpn80",3.33,3.33,1.26,"brand3","prod32","cat11",NA,NA,NA,NA,1
"83","cpn81",2.96,2.96,1.26,"brand3","prod53","cat6",NA,NA,NA,NA,1
"84","cpn82",3.98,2.65,1.57,"brand10","prod30","cat1",NA,NA,NA,NA,1
"87","cpn84",6.85,0.69,1.26,"brand3","prod54","cat13",NA,NA,NA,NA,1
"88","cpn85",3.89,1.21,1.26,"brand11","prod55","cat8",NA,NA,NA,NA,1
"89","cpn86",3.15,1.96,1.57,"brand3","prod56","cat5",NA,NA,NA,NA,1
"90","cpn87",3.06,1.98,6.28,"brand3","prod39","cat5",NA,NA,NA,NA,1
"92","cpn89",4.45,1.27,1.26,"brand3","prod46","cat3",NA,NA,NA,NA,1
"95","cpn92",5.09,1.45,1.88,"brand3","prod19","cat5",NA,NA,NA,NA,1
"96","cpn93",4.08,2.81,1.57,"brand3","prod18","cat5",NA,NA,NA,NA,1
"97","cpn94",8.89,3.7,1.26,"brand6","prod33","cat1",NA,NA,NA,NA,1
"100","cpn97",5.84,5.84,1.26,"brand4","prod40","cat1",NA,NA,NA,NA,1
"101","cpn98",8.52,0,1.26,"brand3","prod43","cat3",NA,NA,NA,NA,1
"102","cpn99",15.7,3.14,1.26,"brand3","prod57","cat5",NA,NA,NA,NA,1
"104","cpn101",2.96,0,1.57,"brand2","prod52","cat5",NA,NA,NA,NA,1
"105","cpn102",2.32,0.46,1.57,"brand3","prod58","cat5",NA,NA,NA,NA,1
"106","cpn103",2.73,0.55,1.57,"brand4","prod59","cat5",NA,NA,NA,NA,1
"111","cpn107",8.8,1.76,1.88,"brand3","prod14","cat5",NA,NA,NA,NA,1
"117","cpn113",3.15,1.96,1.26,"brand3","prod56","cat5",NA,NA,NA,NA,1
"122","cpn117",4.58,1.69,1.26,"brand3","prod46","cat3",NA,NA,NA,NA,1
"127","cpn122",3.06,3.39,1.26,"brand3","prod1","cat1",NA,NA,NA,NA,1
"128","cpn123",4.26,1.42,1.57,"brand3","prod64","cat5",NA,NA,NA,NA,1
"129","cpn124",11.07,7.37,1.57,"brand3","prod65","cat13",NA,NA,NA,NA,1
"130","cpn125",5.97,1.99,1.57,"brand6","prod33","cat1",NA,NA,NA,NA,1
"131","cpn126",5.93,0.79,1.57,"brand3","prod13","cat3",NA,NA,NA,NA,1
"132","cpn127",4.58,3.82,1.88,"brand3","prod57","cat5",NA,NA,NA,NA,1
"136","cpn130",3.52,1.46,1.57,"brand11","prod66","cat11",NA,NA,NA,NA,1
"138","cpn132",3.43,1.37,0.94,"brand3","prod68","cat8",NA,NA,NA,NA,1
"139","cpn133",3.2,1.59,0.63,"brand3","prod51","cat8",NA,NA,NA,NA,1
"140","cpn134",6.58,0.66,0.63,"brand2","prod26","cat3",NA,NA,NA,NA,1
"142","cpn136",2.96,3.29,1.26,"brand3","prod1","cat1",NA,NA,NA,NA,1
"143","cpn137",4.31,3.58,1.26,"brand3","prod69","cat5",NA,NA,NA,NA,1
"150","cpn143",2.73,0.55,0.94,"brand4","prod58","cat5",NA,NA,NA,NA,1
"153","cpn145",2.32,0.46,1.57,"brand3","prod58","cat5",NA,NA,NA,NA,1
"154","cpn146",3.57,0,1.57,"brand3","prod35","cat8",NA,NA,NA,NA,1
"155","cpn147",2.69,0.44,1.26,"brand2","prod11","cat3",NA,NA,NA,NA,1
"158","cpn148",5.09,5.09,2.51,"brand2","prod72","cat5",NA,NA,NA,NA,1
"159","cpn149",5.09,1.02,1.57,"brand3","prod55","cat5",NA,NA,NA,NA,1
"164","cpn154",12.92,4.46,1.57,"brand3","prod36","cat3",NA,NA,NA,NA,1
"166","cpn156",7.32,2.08,1.57,"brand6","prod74","cat1",NA,NA,NA,NA,1
"169","cpn159",4.26,2.13,1.26,"brand6","prod74","cat1",NA,NA,NA,NA,1
"173","cpn163",9.03,1.81,1.57,"brand3","prod2","cat3",NA,NA,NA,NA,1
"174","cpn164",3.66,0.91,1.57,"brand3","prod37","cat5",NA,NA,NA,NA,1
"178","cpn168",13.11,7.28,0.63,"brand6","prod7","cat1",NA,NA,NA,NA,1
"179","cpn169",8.52,1.7,1.26,"brand3","prod18","cat5",NA,NA,NA,NA,1
"181","cpn171",4.58,0.76,0.94,"brand3","prod71","cat12",NA,NA,NA,NA,1
"182","cpn172",6.44,0,1.57,"brand3","prod77","cat6",NA,NA,NA,NA,1
"183","cpn173",3.66,5.71,1.57,"brand3","prod78","cat6",NA,NA,NA,NA,1
"185","cpn175",11.86,5.93,0.63,"brand3","prod17","cat5",NA,NA,NA,NA,1
"186","cpn176",6.11,6.11,1.26,"brand2","prod3","cat5",NA,NA,NA,NA,1
"188","cpn178",4.49,2.99,1.88,"brand3","prod28","cat3",NA,NA,NA,NA,1
"189","cpn179",3.24,0.56,1.26,"brand3","prod37","cat5",NA,NA,NA,NA,1
"190","cpn180",6.11,2.04,1.26,"brand3","prod74","cat1",NA,NA,NA,NA,1
"191","cpn181",7.5,1.56,1.57,"brand3","prod28","cat3",NA,NA,NA,NA,1
"193","cpn182",3.66,6.09,1.57,"brand3","prod69","cat5",NA,NA,NA,NA,1
"200","cpn187",6.44,0.85,1.88,"brand2","prod13","cat3",NA,NA,NA,NA,1
"201","cpn188",18.48,6.16,1.26,"brand3","prod3","cat5",NA,NA,NA,NA,1
"209","cpn194",5.93,0.79,1.57,"brand3","prod13","cat3",NA,NA,NA,NA,1
"211","cpn196",6.76,2.41,1.57,"brand6","prod81","cat1",NA,NA,NA,NA,1
"215","cpn198",6.02,3.01,0.94,"brand3","prod82","cat5",NA,NA,NA,NA,1
"216","cpn199",4.08,0.82,1.57,"brand3","prod37","cat5",NA,NA,NA,NA,1
"217","cpn200",4.03,2.69,1.57,"brand2","prod1","cat1",NA,NA,NA,NA,1
"222","cpn202",15.7,0.35,1.57,"brand13","prod84","cat20",NA,NA,NA,NA,1
"227","cpn206",5,1.34,1.57,"brand7","prod46","cat3",NA,NA,NA,NA,1
"229","cpn208",65.44,7.27,0.94,"brand6","prod7","cat1",NA,NA,NA,NA,1
"232","cpn211",2.73,2.09,1.26,"brand2","prod38","cat1",NA,NA,NA,NA,1
"233","cpn212",9.22,1.44,1.57,"brand3","prod28","cat3",NA,NA,NA,NA,1
"235","cpn213",12.32,2.73,0.94,"brand2","prod76","cat1",NA,NA,NA,NA,1
"237","cpn214",12.78,1.42,1.57,"brand3","prod87","cat12",NA,NA,NA,NA,1
"244","cpn218",3.43,4.57,0.94,"brand7","prod1","cat1",NA,NA,NA,NA,1
"245","cpn219",5.88,1.95,1.57,"brand3","prod46","cat3",NA,NA,NA,NA,1
"246","cpn220",3.33,0.67,1.57,"brand3","prod85","cat5",NA,NA,NA,NA,1
"248","cpn222",4.58,4.58,1.88,"brand15","prod88","cat11",NA,NA,NA,NA,1
"249","cpn223",6.44,2.57,2.2,"brand3","prod89","cat13",NA,NA,NA,NA,1
"251","cpn224",4.45,0.89,1.57,"brand3","prod52","cat5",NA,NA,NA,NA,1
"252","cpn225",3.66,1.97,1.26,"brand3","prod37","cat5",NA,NA,NA,NA,1
"254","cpn226",3.47,1.16,1.88,"brand2","prod86","cat3",NA,NA,NA,NA,1
"258","cpn229",4.49,2.77,1.57,"brand3","prod34","cat5",NA,NA,NA,NA,1
"264","cpn234",3.61,1.2,1.57,"brand3","prod91","cat5",NA,NA,NA,NA,1
"266","cpn235",4.4,1.17,0.94,"brand3","prod27","cat5",NA,NA,NA,NA,1
"268","cpn237",3.66,2.81,6.28,"brand3","prod51","cat8",NA,NA,NA,NA,1
"269","cpn238",2.32,0.09,1.88,"brand3","prod92","cat6",NA,NA,NA,NA,1
"270","cpn239",13.34,1.48,1.26,"brand3","prod87","cat12",NA,NA,NA,NA,1
"272","cpn241",6.67,2.67,1.57,"brand3","prod93","cat10",NA,NA,NA,NA,1
"273","cpn242",5.09,5.2,1.57,"brand3","prod94","cat5",NA,NA,NA,NA,1
"275","cpn244",4.08,3.7,1.57,"brand3","prod41","cat5",NA,NA,NA,NA,1
"279","cpn247",3.24,0,1.57,"brand3","prod97","cat20",NA,NA,NA,NA,1
"280","cpn248",4.91,0,1.57,"brand6","prod70","cat8",NA,NA,NA,NA,1
"283","cpn250",12.04,12.04,1.26,"brand3","prod31","cat1",NA,NA,NA,NA,1
"284","cpn251",5.74,1.59,1.57,"brand3","prod46","cat3",NA,NA,NA,NA,1
"289","cpn255",5.56,4.27,1.57,"brand3","prod30","cat1",NA,NA,NA,NA,1
"297","cpn260",5.93,4.56,1.26,"brand5","prod100","cat2",NA,NA,NA,NA,1
"299","cpn261",11.99,1.26,1.26,"brand2","prod36","cat3",NA,NA,NA,NA,1
"300","cpn262",2.73,4.55,1.88,"brand14","prod44","cat5",NA,NA,NA,NA,1
"304","cpn265",3.15,0.63,1.26,"brand3","prod101","cat8",NA,NA,NA,NA,1
"306","cpn266",2.73,0.27,1.57,"brand13","prod102","cat13",NA,NA,NA,NA,1
"308","cpn267",4.45,1.64,1.26,"brand3","prod46","cat3",NA,NA,NA,NA,1
"313","cpn271",4.35,2.18,1.26,"brand3","prod21","cat12",NA,NA,NA,NA,1
"317","cpn273",3.66,0,0.63,"brand3","prod35","cat8",NA,NA,NA,NA,1
"318","cpn274",2.59,0.48,1.57,"brand2","prod103","cat5",NA,NA,NA,NA,1
"329","cpn279",5.28,5.28,1.26,"brand3","prod3","cat5",NA,NA,NA,NA,1
"334","cpn283",10.98,3.43,1.57,"brand2","prod31","cat1",NA,NA,NA,NA,1
"335","cpn284",10.65,0,1.88,"brand3","prod3","cat5",NA,NA,NA,NA,1
"337","cpn286",2.73,0.55,1.57,"brand7","prod66","cat11",NA,NA,NA,NA,1
"339","cpn287",7.36,1.47,0.63,"brand3","prod17","cat5",NA,NA,NA,NA,1
"340","cpn288",6.67,8.34,1.26,"brand2","prod40","cat1",NA,NA,NA,NA,1
"353","cpn296",5.74,1.59,1.57,"brand3","prod28","cat3",NA,NA,NA,NA,1
"355","cpn297",2.73,2.19,0.94,"brand3","prod106","cat8",NA,NA,NA,NA,1
"356","cpn298",4.49,2.24,1.57,"brand3","prod86","cat3",NA,NA,NA,NA,1
"357","cpn299",6.07,0.6,1.57,"brand3","prod107","cat21",NA,NA,NA,NA,1
"359","cpn300",5.65,1.13,1.57,"brand2","prod8","cat3",NA,NA,NA,NA,1
"360","cpn301",20.38,13.58,0.94,"brand3","prod18","cat5",NA,NA,NA,NA,1
"362","cpn303",3.8,2.45,1.57,"brand3","prod44","cat5",NA,NA,NA,NA,1
"363","cpn304",3.52,1.85,1.26,"brand3","prod44","cat5",NA,NA,NA,NA,1
"365","cpn305",18.29,3.05,3.14,"brand2","prod36","cat22",NA,NA,NA,NA,1
"366","cpn306",4.08,7.41,2.2,"brand2","prod103","cat5",NA,NA,NA,NA,1
"369","cpn308",4.58,0.92,0.94,"brand4","prod27","cat5",NA,NA,NA,NA,1
"374","cpn311",5.37,1.07,1.57,"brand11","prod93","cat10",NA,NA,NA,NA,1
"376","cpn313",10.28,1.71,0.94,"brand3","prod15","cat8",NA,NA,NA,NA,1
"377","cpn314",4.17,23.16,1.88,"brand3","prod4","cat5",NA,NA,NA,NA,1
"378","cpn315",2.32,0.46,0.94,"brand2","prod85","cat5",NA,NA,NA,NA,1
"379","cpn316",4.26,2.13,1.26,"brand17","prod108","cat23",NA,NA,NA,NA,1
"380","cpn317",5.51,2.29,1.26,"brand17","prod108","cat23",NA,NA,NA,NA,1
"383","cpn319",9.17,1.05,1.26,"brand3","prod28","cat3",NA,NA,NA,NA,1
"386","cpn322",7.22,2.41,0.94,"brand3","prod87","cat12",NA,NA,NA,NA,1
"387","cpn323",4.72,0.94,1.57,"brand3","prod110","cat6",NA,NA,NA,NA,1
"392","cpn326",8.29,2.07,1.57,"brand3","prod28","cat3",NA,NA,NA,NA,1
"395","cpn329",2.32,0.87,0.94,"brand3","prod111","cat5",NA,NA,NA,NA,1
"396","cpn330",5.51,2.39,0.94,"brand3","prod37","cat5",NA,NA,NA,NA,1
"399","cpn331",9.54,2.38,0.94,"brand3","prod12","cat5",NA,NA,NA,NA,1
"401","cpn333",3.7,1.08,1.26,"brand3","prod112","cat21",NA,NA,NA,NA,1
"402","cpn334",3.7,1.08,1.26,"brand3","prod112","cat21",NA,NA,NA,NA,1
"404","cpn335",2.27,0.32,0,"brand3","prod113","cat11",NA,NA,NA,NA,1
"405","cpn336",5.28,0.58,1.26,"brand3","prod71","cat12",NA,NA,NA,NA,1
"408","cpn339",8.29,1.66,0.94,"brand3","prod17","cat5",NA,NA,NA,NA,1
"411","cpn340",8.52,1.7,1.26,"brand3","prod18","cat5",NA,NA,NA,NA,1
"415","cpn344",7.04,3.52,1.57,"brand2","prod31","cat1",NA,NA,NA,NA,1
"424","cpn349",6.67,1.33,1.26,"brand3","prod107","cat21",NA,NA,NA,NA,1
"425","cpn350",6.44,0.85,1.88,"brand3","prod115","cat13",NA,NA,NA,NA,1
"426","cpn351",3.33,0.44,1.57,"brand3","prod115","cat13",NA,NA,NA,NA,1
"427","cpn352",2.96,29.64,1.26,"brand3","prod48","cat13",NA,NA,NA,NA,1
"431","cpn356",8.61,1.79,1.57,"brand3","prod28","cat3",NA,NA,NA,NA,1
"432","cpn357",7.36,2.95,0.94,"brand3","prod57","cat5",NA,NA,NA,NA,1
"433","cpn358",7.78,1.95,1.26,"brand3","prod74","cat1",NA,NA,NA,NA,1
"437","cpn360",2.32,0,1.88,"brand3","prod118","cat11",NA,NA,NA,NA,1
"438","cpn361",5.7,2.28,1.26,"brand3","prod81","cat1",NA,NA,NA,NA,1
"440","cpn362",8.29,0,2.51,"brand2","prod119","cat13",NA,NA,NA,NA,1
"441","cpn363",3.98,0,2.51,"brand2","prod120","cat13",NA,NA,NA,NA,1
"442","cpn364",13.34,1.48,1.26,"brand3","prod87","cat12",NA,NA,NA,NA,1
"443","cpn365",6.44,0,1.57,"brand3","prod77","cat6",NA,NA,NA,NA,1
"444","cpn366",12.78,1.42,0.94,"brand2","prod121","cat12",NA,NA,NA,NA,1
"445","cpn367",15.7,1.44,1.26,"brand3","prod122","cat21",NA,NA,NA,NA,1
"447","cpn368",4.54,4.54,1.57,"brand3","prod52","cat5",NA,NA,NA,NA,1
"448","cpn369",5.56,4.27,1.57,"brand3","prod30","cat1",NA,NA,NA,NA,1
"449","cpn370",5.51,1.48,1.26,"brand11","prod123","cat10",NA,NA,NA,NA,1
"450","cpn371",3.61,1.12,1.57,"brand3","prod73","cat5",NA,NA,NA,NA,1
"456","cpn374",3.52,3.2,1.88,"brand2","prod4","cat5",NA,NA,NA,NA,1
"459","cpn375",10.65,0,1.88,"brand3","prod3","cat5",NA,NA,NA,NA,1
"460","cpn376",5.93,0.74,1.26,"brand3","prod124","cat8",NA,NA,NA,NA,1
"462","cpn377",3.24,1.96,1.57,"brand3","prod125","cat5",NA,NA,NA,NA,1
"463","cpn378",4.12,2.74,1.88,"brand6","prod76","cat1",NA,NA,NA,NA,1
"466","cpn381",3.38,3.07,1.26,"brand3","prod30","cat1",NA,NA,NA,NA,1
"467","cpn382",7.36,1.47,1.57,"brand11","prod98","cat10",NA,NA,NA,NA,1
"468","cpn383",4.45,9.87,1.26,"brand3","prod114","cat5",NA,NA,NA,NA,1
"469","cpn384",5.14,1.9,0.94,"brand2","prod51","cat8",NA,NA,NA,NA,1
"470","cpn385",6.11,1.55,3.14,"brand11","prod98","cat10",NA,NA,NA,NA,1
"476","cpn388",6.95,1.16,1.57,"brand3","prod11","cat3",NA,NA,NA,NA,1
"478","cpn390",9.03,1.81,0.94,"brand19","prod31","cat1",NA,NA,NA,NA,1
"479","cpn391",12.92,1.61,1.57,"brand2","prod86","cat3",NA,NA,NA,NA,1
"481","cpn393",3.38,0.33,2.51,"brand3","prod102","cat13",NA,NA,NA,NA,1
"487","cpn397",8.29,20.72,0.94,"brand3","prod3","cat8",NA,NA,NA,NA,1
"490","cpn400",2.59,1.3,1.26,"brand2","prod51","cat8",NA,NA,NA,NA,1
"498","cpn402",3.66,0.73,1.26,"brand3","prod128","cat5",NA,NA,NA,NA,1
"500","cpn404",2.59,0.38,1.57,"brand3","prod37","cat5",NA,NA,NA,NA,1
"503","cpn405",4.45,1.48,1.26,"brand3","prod71","cat12",NA,NA,NA,NA,1
"504","cpn406",15.7,0,0.63,"brand3","prod129","cat13",NA,NA,NA,NA,1
"505","cpn407",6.39,0.7,1.57,"brand3","prod71","cat12",NA,NA,NA,NA,1
"507","cpn409",5.23,0.57,1.26,"brand3","prod71","cat12",NA,NA,NA,NA,1
"509","cpn410",3.24,1.3,1.57,"brand3","prod130","cat6",NA,NA,NA,NA,1
"510","cpn411",6.11,3.06,1.26,"brand5","prod106","cat8",NA,NA,NA,NA,1
"513","cpn414",3.06,2.04,2.2,"brand2","prod4","cat5",NA,NA,NA,NA,1
"516","cpn416",8.29,1.66,1.57,"brand4","prod17","cat5",NA,NA,NA,NA,1
"518","cpn417",5.19,1.57,1.57,"brand3","prod46","cat3",NA,NA,NA,NA,1
"526","cpn421",4.63,1.16,1.57,"brand6","prod33","cat1",NA,NA,NA,NA,1
"527","cpn422",4.58,1.83,1.57,"brand3","prod36","cat3",NA,NA,NA,NA,1
"528","cpn423",6.44,1.76,0.94,"brand3","prod18","cat5",NA,NA,NA,NA,1
"529","cpn424",7.32,4.87,1.57,"brand1","prod1","cat1",NA,NA,NA,NA,1
"530","cpn425",7.59,3.8,1.57,"brand3","prod86","cat3",NA,NA,NA,NA,1
"532","cpn427",3.38,2.25,1.26,"brand3","prod132","cat8",NA,NA,NA,NA,1
"536","cpn429",7.97,1.2,1.26,"brand3","prod28","cat3",NA,NA,NA,NA,1
"537","cpn430",8.29,3.63,1.26,"brand3","prod57","cat5",NA,NA,NA,NA,1
"542","cpn435",3.89,0.65,1.57,"brand2","prod71","cat12",NA,NA,NA,NA,1
"543","cpn436",3.1,2.58,1.26,"brand3","prod38","cat1",NA,NA,NA,NA,1
"547","cpn437",6.95,2.32,1.26,"brand2","prod1","cat1",NA,NA,NA,NA,1
"549","cpn438",12.92,8.61,1.26,"brand3","prod65","cat13",NA,NA,NA,NA,1
"551","cpn440",5.93,0.98,1.57,"brand2","prod11","cat3",NA,NA,NA,NA,1
"557","cpn442",6.02,0.8,1.57,"brand2","prod28","cat3",NA,NA,NA,NA,1
"558","cpn443",17.46,2.18,1.26,"brand3","prod57","cat5",NA,NA,NA,NA,1
"560","cpn445",6.44,0.89,1.57,"brand2","prod28","cat3",NA,NA,NA,NA,1
"562","cpn446",5.74,2.87,1.57,"brand3","prod118","cat11",NA,NA,NA,NA,1
"563","cpn447",5.56,1.11,0.63,"brand2","prod11","cat3",NA,NA,NA,NA,1
"565","cpn448",8.15,8.15,1.26,"brand2","prod40","cat1",NA,NA,NA,NA,1
"568","cpn451",4.45,0,1.88,"brand6","prod35","cat8",NA,NA,NA,NA,1
"571","cpn452",2.73,3.41,1.26,"brand10","prod30","cat1",NA,NA,NA,NA,1
"572","cpn453",5,1.43,1.57,"brand3","prod46","cat3",NA,NA,NA,NA,1
"574","cpn454",22.23,11.11,0.94,"brand5","prod7","cat1",NA,NA,NA,NA,1
"575","cpn455",5.46,1.82,1.57,"brand3","prod86","cat3",NA,NA,NA,NA,1
"580","cpn458",4.17,2.08,1.88,"brand3","prod134","cat1",NA,NA,NA,NA,1
"581","cpn459",9.82,1.31,3.14,"brand2","prod26","cat3",NA,NA,NA,NA,1
"582","cpn460",3.24,0.65,1.88,"brand4","prod113","cat11",NA,NA,NA,NA,1
"586","cpn462",6.16,5.13,1.57,"brand3","prod40","cat1",NA,NA,NA,NA,1
"589","cpn464",2.73,0,1.57,"brand6","prod35","cat8",NA,NA,NA,NA,1
"590","cpn465",3.33,1.9,1.57,"brand3","prod28","cat3",NA,NA,NA,NA,1
"591","cpn466",4.82,0,1.57,"brand3","prod12","cat5",NA,NA,NA,NA,1
"593","cpn468",5.51,1.1,1.88,"brand2","prod19","cat5",NA,NA,NA,NA,1
"594","cpn469",5.93,0,3.14,"brand2","prod67","cat13",NA,NA,NA,NA,1
"599","cpn473",3.8,0.84,1.88,"brand2","prod86","cat3",NA,NA,NA,NA,1
"605","cpn474",3.66,1.21,3.14,"brand3","prod8","cat3",NA,NA,NA,NA,1
"606","cpn475",27.74,55.48,2.2,"brand2","prod72","cat5",NA,NA,NA,NA,1
"608","cpn477",2.41,2.15,2.2,"brand2","prod4","cat5",NA,NA,NA,NA,1
"609","cpn478",4.03,0,2.2,"brand3","prod136","cat13",NA,NA,NA,NA,1
"610","cpn479",3.7,1,1.57,"brand3","prod73","cat5",NA,NA,NA,NA,1
"611","cpn480",8.29,2.76,1.57,"brand3","prod87","cat12",NA,NA,NA,NA,1
"613","cpn481",3.24,1.62,0.94,"brand2","prod106","cat8",NA,NA,NA,NA,1
"614","cpn482",18.06,18.06,0.94,"brand3","prod17","cat5",NA,NA,NA,NA,1
"615","cpn483",3.24,1.62,1.57,"brand3","prod64","cat5",NA,NA,NA,NA,1
"616","cpn484",3.15,3.15,3.14,"brand4","prod1","cat1",NA,NA,NA,NA,1
"618","cpn486",4.45,1.64,0.94,"brand3","prod69","cat5",NA,NA,NA,NA,1
"619","cpn487",2.96,0.69,1.88,"brand3","prod16","cat5",NA,NA,NA,NA,1
"620","cpn488",3.33,1.33,1.26,"brand3","prod130","cat6",NA,NA,NA,NA,1
"621","cpn489",2.64,2.11,1.26,"brand3","prod116","cat6",NA,NA,NA,NA,1
"622","cpn490",5.51,2.2,1.26,"brand3","prod81","cat1",NA,NA,NA,NA,1
"626","cpn491",3.66,0,0.94,"brand2","prod13","cat3",NA,NA,NA,NA,1
"628","cpn493",7.41,3.7,0.63,"brand2","prod137","cat1",NA,NA,NA,NA,1
"636","cpn498",4.26,1,1.57,"brand3","prod85","cat5",NA,NA,NA,NA,1
"639","cpn500",2.73,0.55,1.26,"brand4","prod58","cat5",NA,NA,NA,NA,1
"641","cpn502",3.33,1.9,1.57,"brand3","prod28","cat3",NA,NA,NA,NA,1
"647","cpn504",8.06,1.57,1.26,"brand3","prod28","cat3",NA,NA,NA,NA,1
"649","cpn505",4.58,1.53,1.88,"brand6","prod33","cat1",NA,NA,NA,NA,1
"654","cpn508",18.99,0,1.26,"brand3","prod138","cat13",NA,NA,NA,NA,1
"656","cpn510",6.67,1.31,1.57,"brand3","prod28","cat3",NA,NA,NA,NA,1
"658","cpn512",7.59,5.06,1.26,"brand4","prod7","cat1",NA,NA,NA,NA,1
"666","cpn514",7.36,1.47,0.94,"brand3","prod17","cat5",NA,NA,NA,NA,1
"668","cpn515",6.02,0.75,1.57,"brand3","prod11","cat3",NA,NA,NA,NA,1
"672","cpn518",4.58,1.39,0.94,"brand3","prod85","cat5",NA,NA,NA,NA,1
"674","cpn520",8.29,1.96,0.94,"brand3","prod18","cat5",NA,NA,NA,NA,1
"675","cpn521",4.45,4.53,1.26,"brand3","prod94","cat5",NA,NA,NA,NA,1
"679","cpn522",3.61,2.41,1.88,"brand6","prod38","cat1",NA,NA,NA,NA,1
"682","cpn523",3.33,4.17,1.57,"brand2","prod1","cat1",NA,NA,NA,NA,1
"693","cpn529",3.61,0.72,0.94,"brand3","prod58","cat5",NA,NA,NA,NA,1
"694","cpn530",6.67,1.67,1.57,"brand6","prod33","cat1",NA,NA,NA,NA,1
"695","cpn531",4.49,1.41,1.88,"brand3","prod28","cat3",NA,NA,NA,NA,1
"696","cpn532",4.54,0.91,1.26,"brand4","prod27","cat5",NA,NA,NA,NA,1
"697","cpn533",3.7,2.46,1.26,"brand2","prod1","cat1",NA,NA,NA,NA,1
"699","cpn534",8.29,3.45,1.26,"brand3","prod57","cat5",NA,NA,NA,NA,1
"703","cpn537",4.58,15.28,1.88,"brand3","prod63","cat5",NA,NA,NA,NA,1
"705","cpn539",4.49,0.44,2.2,"brand3","prod102","cat13",NA,NA,NA,NA,1
"707","cpn541",5.37,0.89,1.88,"brand3","prod13","cat3",NA,NA,NA,NA,1
"710","cpn544",4.82,0.64,1.57,"brand3","prod28","cat3",NA,NA,NA,NA,1
"715","cpn547",4.45,2.22,1.57,"brand3","prod74","cat1",NA,NA,NA,NA,1
"716","cpn548",9.73,1.95,1.88,"brand3","prod17","cat5",NA,NA,NA,NA,1
"717","cpn549",9.73,1.95,1.88,"brand3","prod17","cat5",NA,NA,NA,NA,1
