orderID,nCoupon1,nCoupon2,nCoupon3,nCoup1Col1,nCoup1Col2,nCoup1Col3,nCoup2Col1,nCoup2Col2,nCoup2Col3,nCoup3Col1,nCoup3Col2,nCoup3Col3,pCoup1Col1,pCoup1Col2,pCoup1Col3,pCoup2Col1,pCoup2Col2,pCoup2Col3,pCoup3Col1,pCoup3Col2,pCoup3Col3,nCoup1Batch,nCoup2Batch,nCoup3Batch,firstTimeCoup1Rec,firstTimeCoup2Rec,firstTimeCoup3Rec
6069,93,54,48,91,1,1,2,11,41,47,0,1,0.978494623655914,0.010752688172043,0.010752688172043,0.037037037037037,0.203703703703704,0.759259259259259,0.979166666666667,0,0.0208333333333333,12,4,6,2015-01-06 15:06:58,2015-01-06 15:16:45,2015-01-06 18:09:31
6070,12,5,3,4,2,6,0,3,2,0,1,2,0.333333333333333,0.166666666666667,0.5,0,0.6,0.4,0,0.333333333333333,0.666666666666667,3,2,1,2015-01-06 16:22:42,2015-02-03 12:37:38,2015-02-17 15:47:14
6071,20,45,12,20,0,0,0,44,1,0,1,11,1,0,0,0,0.977777777777778,0.0222222222222222,0,0.0833333333333333,0.916666666666667,4,12,2,2015-01-06 15:10:39,2015-01-06 15:10:10,2015-01-06 15:55:49
6072,10,15,21,10,0,0,0,15,0,0,4,17,1,0,0,0,1,0,0,0.19047619047619,0.80952380952381,3,2,3,2015-01-06 17:40:38,2015-01-07 16:01:26,2015-01-07 05:13:55
6073,17,36,7,14,3,0,1,34,1,6,0,1,0.823529411764706,0.176470588235294,0,0.0277777777777778,0.944444444444444,0.0277777777777778,0.857142857142857,0,0.142857142857143,2,2,1,2015-01-06 16:31:49,2015-01-06 19:10:18,2015-01-06 21:37:48
6074,12,1,1,3,8,1,0,1,0,0,0,1,0.25,0.666666666666667,0.0833333333333333,0,1,0,0,0,1,2,1,1,2015-01-07 16:57:40,2015-03-10 16:15:24,2015-03-10 16:15:24
6075,9,14,1,9,0,0,0,14,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,2015-01-06 15:20:24,2015-01-06 15:22:12,2015-03-10 16:10:31
6076,4,1,10,1,1,2,0,1,0,0,4,6,0.25,0.25,0.5,0,1,0,0,0.4,0.6,1,1,1,2015-01-08 09:04:05,2015-03-10 16:22:56,2015-01-06 21:17:53
6077,29,8,24,29,0,0,0,2,6,0,5,19,1,0,0,0,0.25,0.75,0,0.208333333333333,0.791666666666667,5,1,4,2015-01-06 15:52:21,2015-01-13 13:40:51,2015-01-06 15:22:37
6078,19,18,62,19,0,0,0,2,16,1,11,50,1,0,0,0,0.111111111111111,0.888888888888889,0.0161290322580645,0.17741935483871,0.806451612903226,3,4,8,2015-01-06 15:41:52,2015-01-06 16:14:06,2015-01-06 15:55:03
6079,5,3,29,1,3,1,0,2,1,2,23,4,0.2,0.6,0.2,0,0.666666666666667,0.333333333333333,0.0689655172413793,0.793103448275862,0.137931034482759,1,2,3,2015-01-08 12:08:24,2015-02-10 21:19:34,2015-01-06 15:17:06
6080,7,10,13,3,2,2,9,1,0,1,3,9,0.428571428571429,0.285714285714286,0.285714285714286,0.9,0.1,0,0.0769230769230769,0.230769230769231,0.692307692307692,2,1,1,2015-02-11 13:33:00,2015-01-06 17:25:13,2015-01-11 13:19:55
6081,2,2,6,1,0,1,0,1,1,1,1,4,0.5,0,0.5,0,0.5,0.5,0.166666666666667,0.166666666666667,0.666666666666667,1,1,2,2015-02-24 23:49:52,2015-02-24 15:29:38,2015-01-06 16:25:21
6082,6,7,36,6,0,0,0,7,0,0,8,28,1,0,0,0,1,0,0,0.222222222222222,0.777777777777778,2,2,4,2015-02-24 14:53:52,2015-01-07 08:15:19,2015-01-06 16:39:56
6083,10,11,5,9,0,1,0,11,0,0,1,4,0.9,0,0.1,0,1,0,0,0.2,0.8,1,2,1,2015-01-06 17:49:04,2015-01-24 17:37:56,2015-01-06 19:35:58
6084,36,81,62,36,0,0,0,81,0,1,11,50,1,0,0,0,1,0,0.0161290322580645,0.17741935483871,0.806451612903226,3,8,8,2015-01-06 16:57:00,2015-01-06 13:13:12,2015-01-06 15:55:03
6085,10,4,3,10,0,0,0,4,0,0,1,2,1,0,0,0,1,0,0,0.333333333333333,0.666666666666667,3,1,1,2015-01-06 19:49:57,2015-01-09 16:59:06,2015-01-06 19:49:57
6086,9,15,7,8,1,0,0,15,0,1,2,4,0.888888888888889,0.111111111111111,0,0,1,0,0.142857142857143,0.285714285714286,0.571428571428571,3,3,3,2015-01-06 17:27:47,2015-01-11 13:46:40,2015-01-06 16:55:30
6087,3,17,13,1,1,1,1,4,12,3,5,5,0.333333333333333,0.333333333333333,0.333333333333333,0.0588235294117647,0.235294117647059,0.705882352941177,0.230769230769231,0.384615384615385,0.384615384615385,1,3,4,2015-02-16 19:01:04,2015-01-06 20:35:08,2015-01-06 22:28:40
6088,69,9,4,67,0,2,5,4,0,1,1,2,0.971014492753623,0,0.0289855072463768,0.555555555555556,0.444444444444444,0,0.25,0.25,0.5,20,2,1,2015-01-06 16:12:57,2015-01-06 18:36:28,2015-01-29 01:15:36
6089,19,36,38,18,0,1,1,34,1,1,5,32,0.947368421052632,0,0.0526315789473684,0.0277777777777778,0.944444444444444,0.0277777777777778,0.0263157894736842,0.131578947368421,0.842105263157895,2,2,8,2015-01-06 17:16:55,2015-01-06 19:10:18,2015-01-06 15:17:30
6090,2,8,29,2,0,0,6,1,1,27,1,1,1,0,0,0.75,0.125,0.125,0.931034482758621,0.0344827586206897,0.0344827586206897,2,3,2,2015-03-10 16:35:18,2015-01-06 17:20:33,2015-01-06 15:06:02
6091,4,45,62,4,0,0,0,44,1,1,11,50,1,0,0,0,0.977777777777778,0.0222222222222222,0.0161290322580645,0.17741935483871,0.806451612903226,4,12,8,2015-03-10 17:02:54,2015-01-06 15:10:10,2015-01-06 15:55:03
6092,109,26,14,109,0,0,0,26,0,1,3,10,1,0,0,0,1,0,0.0714285714285714,0.214285714285714,0.714285714285714,14,4,2,2015-01-06 15:06:22,2015-01-06 15:31:43,2015-01-06 15:31:43
6093,18,16,6,18,0,0,0,5,11,1,1,4,1,0,0,0,0.3125,0.6875,0.166666666666667,0.166666666666667,0.666666666666667,2,3,2,2015-01-06 16:21:29,2015-01-06 15:15:16,2015-01-06 23:09:25
6094,17,4,3,6,7,4,3,1,0,0,0,3,0.352941176470588,0.411764705882353,0.235294117647059,0.75,0.25,0,0,0,1,1,1,1,2015-01-06 17:44:10,2015-01-07 14:14:29,2015-01-27 14:39:22
6095,40,8,17,39,1,0,0,8,0,0,1,16,0.975,0.025,0,0,1,0,0,0.0588235294117647,0.941176470588235,4,2,2,2015-01-09 14:55:53,2015-01-07 08:07:37,2015-01-06 20:53:11
6096,109,42,38,109,0,0,0,39,3,1,5,32,1,0,0,0,0.928571428571429,0.0714285714285714,0.0263157894736842,0.131578947368421,0.842105263157895,14,4,8,2015-01-06 15:06:22,2015-01-06 16:01:56,2015-01-06 15:17:30
6097,16,7,13,15,1,0,1,2,4,0,0,13,0.9375,0.0625,0,0.142857142857143,0.285714285714286,0.571428571428571,0,0,1,2,3,2,2015-01-06 17:44:13,2015-01-06 16:55:30,2015-01-07 20:13:30
6098,32,5,1,25,3,4,0,3,2,0,0,1,0.78125,0.09375,0.125,0,0.6,0.4,0,0,1,3,2,1,2015-01-06 15:07:37,2015-01-06 15:20:47,2015-03-10 15:10:16
6099,22,2,17,21,1,0,0,2,0,0,4,13,0.954545454545455,0.0454545454545455,0,0,1,0,0,0.235294117647059,0.764705882352941,6,1,4,2015-01-06 18:49:24,2015-02-17 15:00:27,2015-01-06 18:49:24
6100,53,2,6,52,0,1,0,1,1,0,3,3,0.981132075471698,0,0.0188679245283019,0,0.5,0.5,0,0.5,0.5,9,1,2,2015-01-06 16:38:07,2015-01-27 20:51:38,2015-01-06 15:10:29
6101,153,26,11,150,2,1,0,26,0,2,1,8,0.980392156862745,0.0130718954248366,0.0065359477124183,0,1,0,0.181818181818182,0.0909090909090909,0.727272727272727,16,4,4,2015-01-06 15:05:40,2015-01-06 15:31:43,2015-01-06 17:11:34
6102,3,6,1,3,0,0,3,1,2,0,0,1,1,0,0,0.5,0.166666666666667,0.333333333333333,0,0,1,1,3,1,2015-03-04 17:56:10,2015-02-17 16:34:02,2015-03-10 18:46:56
6103,132,7,11,132,0,0,0,7,0,0,1,10,1,0,0,0,1,0,0,0.0909090909090909,0.909090909090909,10,1,1,2015-01-06 15:16:43,2015-01-27 17:19:22,2015-01-06 21:04:15
6104,7,13,17,1,1,5,0,4,9,3,7,7,0.142857142857143,0.142857142857143,0.714285714285714,0,0.307692307692308,0.692307692307692,0.176470588235294,0.411764705882353,0.411764705882353,1,2,2,2015-01-14 21:59:24,2015-01-09 13:39:08,2015-01-06 16:04:36
6105,109,6,10,109,0,0,0,2,4,4,2,4,1,0,0,0,0.333333333333333,0.666666666666667,0.4,0.2,0.4,14,1,1,2015-01-06 15:06:22,2015-02-04 16:11:10,2015-02-07 00:14:39
6106,53,33,17,52,0,1,2,30,1,0,4,13,0.981132075471698,0,0.0188679245283019,0.0606060606060606,0.909090909090909,0.0303030303030303,0,0.235294117647059,0.764705882352941,9,5,4,2015-01-06 16:38:07,2015-01-06 21:10:24,2015-01-06 18:49:24
6107,13,68,10,13,0,0,0,68,0,0,2,8,1,0,0,0,1,0,0,0.2,0.8,3,6,2,2015-01-06 16:36:08,2015-01-06 15:05:40,2015-01-20 13:54:12
6108,15,22,96,14,1,0,1,21,0,12,17,67,0.933333333333333,0.0666666666666667,0,0.0454545454545455,0.954545454545455,0,0.125,0.177083333333333,0.697916666666667,3,1,11,2015-01-07 20:41:23,2015-01-13 13:41:52,2015-01-06 09:34:53
6109,22,5,48,22,0,0,0,5,0,2,12,34,1,0,0,0,1,0,0.0416666666666667,0.25,0.708333333333333,19,1,7,2015-03-05 09:39:11,2015-01-18 22:43:52,2015-01-06 15:30:43
6110,1,19,20,1,0,0,0,19,0,1,3,16,1,0,0,0,1,0,0.05,0.15,0.8,1,4,3,2015-03-10 20:21:14,2015-01-06 16:04:04,2015-01-06 15:15:12
6111,22,3,7,22,0,0,0,1,2,0,2,5,1,0,0,0,0.333333333333333,0.666666666666667,0,0.285714285714286,0.714285714285714,2,1,1,2015-01-06 17:43:08,2015-01-15 02:30:53,2015-01-13 16:26:19
6112,2,10,2,2,0,0,1,9,0,0,0,2,1,0,0,0.1,0.9,0,0,0,1,1,2,2,2015-02-08 13:59:20,2015-01-07 10:45:03,2015-03-10 15:52:41
6113,1,1,4,1,0,0,0,1,0,2,0,2,1,0,0,0,1,0,0.5,0,0.5,1,1,1,2015-03-10 20:27:06,2015-03-10 20:27:06,2015-02-08 16:36:14
6114,55,34,112,51,2,2,1,33,0,4,25,83,0.927272727272727,0.0363636363636364,0.0363636363636364,0.0294117647058824,0.970588235294118,0,0.0357142857142857,0.223214285714286,0.741071428571429,12,8,21,2015-01-06 15:23:15,2015-01-06 15:54:15,2015-01-06 15:58:09
6115,4,12,2,4,0,0,0,5,7,0,0,2,1,0,0,0,0.416666666666667,0.583333333333333,0,0,1,1,2,1,2015-02-10 17:39:20,2015-01-06 16:55:24,2015-01-06 15:19:12
6116,36,21,14,36,0,0,0,21,0,0,4,10,1,0,0,0,1,0,0,0.285714285714286,0.714285714285714,3,3,2,2015-01-06 16:57:00,2015-01-08 08:31:10,2015-01-06 21:36:49
6117,132,81,14,132,0,0,0,81,0,0,2,12,1,0,0,0,1,0,0,0.142857142857143,0.857142857142857,10,8,1,2015-01-06 15:16:43,2015-01-06 13:13:12,2015-01-06 15:50:07
6118,41,12,10,3,38,0,0,6,6,2,3,5,0.0731707317073171,0.926829268292683,0,0,0.5,0.5,0.2,0.3,0.5,5,1,4,2015-01-06 17:21:25,2015-01-06 15:20:24,2015-01-06 20:12:30
6119,4,6,16,4,0,0,1,2,3,4,9,3,1,0,0,0.166666666666667,0.333333333333333,0.5,0.25,0.5625,0.1875,1,2,3,2015-02-10 14:59:34,2015-01-13 13:38:02,2015-01-11 22:39:02
6120,5,6,3,5,0,0,0,5,1,0,0,3,1,0,0,0,0.833333333333333,0.166666666666667,0,0,1,3,3,3,2015-01-13 13:51:35,2015-01-06 15:08:06,2015-03-10 21:37:26
6121,109,35,14,109,0,0,0,34,1,0,2,12,1,0,0,0,0.971428571428571,0.0285714285714286,0,0.142857142857143,0.857142857142857,14,5,2,2015-01-06 15:06:22,2015-01-06 15:09:37,2015-01-06 15:32:06
6122,33,26,35,30,2,1,2,24,0,0,6,29,0.909090909090909,0.0606060606060606,0.0303030303030303,0.0769230769230769,0.923076923076923,0,0,0.171428571428571,0.828571428571429,1,3,13,2015-01-06 15:26:38,2015-01-06 15:18:32,2015-01-06 15:22:25
6123,46,42,16,46,0,0,0,39,3,0,5,11,1,0,0,0,0.928571428571429,0.0714285714285714,0,0.3125,0.6875,11,4,3,2015-01-07 12:17:51,2015-01-06 16:01:56,2015-01-06 15:15:16
6124,55,34,112,51,2,2,1,33,0,4,25,83,0.927272727272727,0.0363636363636364,0.0363636363636364,0.0294117647058824,0.970588235294118,0,0.0357142857142857,0.223214285714286,0.741071428571429,12,8,21,2015-01-06 15:23:15,2015-01-06 15:54:15,2015-01-06 15:58:09
6125,32,41,20,25,3,4,1,40,0,0,1,19,0.78125,0.09375,0.125,0.024390243902439,0.975609756097561,0,0,0.05,0.95,3,3,3,2015-01-06 15:07:37,2015-01-07 08:27:09,2015-01-06 15:47:38
6126,35,24,38,35,0,0,0,24,0,7,9,22,1,0,0,0,1,0,0.184210526315789,0.236842105263158,0.578947368421053,6,5,1,2015-01-06 16:40:25,2015-01-06 16:22:07,2015-02-04 21:42:36
6127,29,29,112,29,0,0,1,28,0,4,25,83,1,0,0,0.0344827586206897,0.96551724137931,0,0.0357142857142857,0.223214285714286,0.741071428571429,5,2,21,2015-01-06 15:52:21,2015-01-06 17:07:01,2015-01-06 15:58:09
6128,22,29,38,22,0,0,0,28,1,1,5,32,1,0,0,0,0.96551724137931,0.0344827586206897,0.0263157894736842,0.131578947368421,0.842105263157895,19,6,8,2015-03-05 09:39:11,2015-01-06 15:31:50,2015-01-06 15:17:30
6129,9,14,14,5,4,0,3,6,5,3,4,7,0.555555555555556,0.444444444444444,0,0.214285714285714,0.428571428571429,0.357142857142857,0.214285714285714,0.285714285714286,0.5,2,3,2,2015-01-06 18:36:28,2015-01-07 08:06:41,2015-01-13 13:56:42
6130,8,6,6,8,0,0,0,1,5,1,2,3,1,0,0,0,0.166666666666667,0.833333333333333,0.166666666666667,0.333333333333333,0.5,2,1,2,2015-01-13 14:18:36,2015-01-28 20:53:47,2015-01-13 13:38:02
6131,3,9,5,3,0,0,0,4,5,0,2,3,1,0,0,0,0.444444444444444,0.555555555555556,0,0.4,0.6,1,1,1,2015-01-06 15:20:47,2015-01-11 20:57:18,2015-01-06 19:26:01
6132,46,27,11,46,0,0,1,10,16,0,1,10,1,0,0,0.037037037037037,0.37037037037037,0.592592592592593,0,0.0909090909090909,0.909090909090909,11,5,6,2015-01-07 12:17:51,2015-01-06 19:26:01,2015-01-28 08:39:58
6133,46,27,11,46,0,0,1,10,16,0,1,10,1,0,0,0.037037037037037,0.37037037037037,0.592592592592593,0,0.0909090909090909,0.909090909090909,11,5,6,2015-01-07 12:17:51,2015-01-06 19:26:01,2015-01-28 08:39:58
6134,46,27,11,46,0,0,1,10,16,0,1,10,1,0,0,0.037037037037037,0.37037037037037,0.592592592592593,0,0.0909090909090909,0.909090909090909,11,5,6,2015-01-07 12:17:51,2015-01-06 19:26:01,2015-01-28 08:39:58
6135,46,27,11,46,0,0,1,10,16,0,1,10,1,0,0,0.037037037037037,0.37037037037037,0.592592592592593,0,0.0909090909090909,0.909090909090909,11,5,6,2015-01-07 12:17:51,2015-01-06 19:26:01,2015-01-28 08:39:58
6136,15,2,2,2,4,9,0,2,0,0,0,2,0.133333333333333,0.266666666666667,0.6,0,1,0,0,0,1,3,2,2,2015-01-06 15:13:23,2015-03-10 23:40:00,2015-03-10 23:40:00
6137,46,22,9,46,0,0,0,22,0,0,0,9,1,0,0,0,1,0,0,0,1,6,3,1,2015-01-06 15:26:41,2015-01-06 17:08:23,2015-01-06 20:26:42
6138,13,50,6,13,0,0,0,50,0,0,2,4,1,0,0,0,1,0,0,0.333333333333333,0.666666666666667,3,8,2,2015-01-07 16:01:26,2015-01-06 15:15:14,2015-02-03 21:06:47
6139,9,14,2,5,3,1,0,4,10,0,1,1,0.555555555555556,0.333333333333333,0.111111111111111,0,0.285714285714286,0.714285714285714,0,0.5,0.5,1,4,1,2015-01-06 16:32:24,2015-01-06 15:10:35,2015-02-03 12:59:01
6140,31,36,4,31,0,0,0,8,28,1,1,2,1,0,0,0,0.222222222222222,0.777777777777778,0.25,0.25,0.5,8,4,1,2015-01-06 16:44:30,2015-01-06 16:39:56,2015-02-24 16:02:35
6141,153,2,11,150,2,1,0,2,0,0,3,8,0.980392156862745,0.0130718954248366,0.0065359477124183,0,1,0,0,0.272727272727273,0.727272727272727,16,1,1,2015-01-06 15:05:40,2015-01-06 19:51:51,2015-01-06 19:51:51
6142,8,2,1,5,1,2,0,1,1,0,0,1,0.625,0.125,0.25,0,0.5,0.5,0,0,1,2,2,1,2015-01-06 18:13:47,2015-03-10 15:12:48,2015-03-11 08:00:57
6143,2,3,2,2,0,0,1,1,1,0,1,1,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.5,0.5,1,1,1,2015-02-18 19:03:45,2015-01-07 20:47:41,2015-02-10 15:36:41
6144,4,8,1,4,0,0,0,8,0,0,0,1,1,0,0,0,1,0,0,0,1,1,2,1,2015-01-20 13:51:16,2015-01-07 08:20:39,2015-03-11 07:50:28
6145,9,45,9,9,0,0,0,44,1,0,1,8,1,0,0,0,0.977777777777778,0.0222222222222222,0,0.111111111111111,0.888888888888889,1,12,2,2015-01-15 17:39:15,2015-01-06 15:10:10,2015-01-06 15:34:15
6146,93,7,54,91,1,1,0,5,2,2,11,41,0.978494623655914,0.010752688172043,0.010752688172043,0,0.714285714285714,0.285714285714286,0.037037037037037,0.203703703703704,0.759259259259259,12,2,4,2015-01-06 15:06:58,2015-01-06 17:25:13,2015-01-06 15:16:45
6147,33,37,35,33,0,0,0,36,1,0,6,29,1,0,0,0,0.972972972972973,0.027027027027027,0,0.171428571428571,0.828571428571429,9,9,13,2015-01-06 15:22:25,2015-01-06 15:22:25,2015-01-06 15:22:25
6148,4,17,2,4,0,0,3,3,11,0,0,2,1,0,0,0.176470588235294,0.176470588235294,0.647058823529412,0,0,1,2,1,1,2015-01-25 19:24:20,2015-01-07 08:20:10,2015-01-21 08:22:26
6149,22,19,18,22,0,0,0,19,0,0,1,17,1,0,0,0,1,0,0,0.0555555555555556,0.944444444444444,2,5,2,2015-01-06 16:35:54,2015-01-06 17:43:08,2015-01-06 15:18:17
6150,33,37,35,33,0,0,0,36,1,0,6,29,1,0,0,0,0.972972972972973,0.027027027027027,0,0.171428571428571,0.828571428571429,9,9,13,2015-01-06 15:22:25,2015-01-06 15:22:25,2015-01-06 15:22:25
6151,39,8,22,38,0,1,0,8,0,0,2,20,0.974358974358974,0,0.0256410256410256,0,1,0,0,0.0909090909090909,0.909090909090909,4,2,2,2015-01-06 17:34:13,2015-01-07 11:36:38,2015-01-06 15:48:12
6152,55,34,112,51,2,2,1,33,0,4,25,83,0.927272727272727,0.0363636363636364,0.0363636363636364,0.0294117647058824,0.970588235294118,0,0.0357142857142857,0.223214285714286,0.741071428571429,12,8,21,2015-01-06 15:23:15,2015-01-06 15:54:15,2015-01-06 15:58:09
6153,22,5,18,22,0,0,0,5,0,1,9,8,1,0,0,0,1,0,0.0555555555555556,0.5,0.444444444444444,2,1,3,2015-01-06 17:43:08,2015-01-06 15:20:50,2015-01-06 15:38:28
6154,4,9,23,4,0,0,0,9,0,0,6,17,1,0,0,0,1,0,0,0.260869565217391,0.739130434782609,4,3,3,2015-03-10 16:25:21,2015-01-06 15:10:03,2015-01-06 15:10:03
6155,69,12,9,67,0,2,0,12,0,1,2,6,0.971014492753623,0,0.0289855072463768,0,1,0,0.111111111111111,0.222222222222222,0.666666666666667,20,1,1,2015-01-06 16:12:57,2015-01-06 15:43:24,2015-01-08 07:52:48
6156,52,4,44,52,0,0,0,1,3,1,12,31,1,0,0,0,0.25,0.75,0.0227272727272727,0.272727272727273,0.704545454545455,3,1,8,2015-02-11 06:58:09,2015-01-06 19:48:21,2015-01-06 19:10:25
6157,6,16,25,6,0,0,0,16,0,0,8,17,1,0,0,0,1,0,0,0.32,0.68,1,5,3,2015-01-13 13:39:13,2015-01-14 09:07:39,2015-01-06 16:35:03
6158,5,4,3,4,1,0,0,2,2,0,2,1,0.8,0.2,0,0,0.5,0.5,0,0.666666666666667,0.333333333333333,1,1,1,2015-02-10 13:32:56,2015-02-07 20:06:15,2015-01-06 15:06:22
6159,15,15,48,15,0,0,0,15,0,2,12,34,1,0,0,0,1,0,0.0416666666666667,0.25,0.708333333333333,2,3,7,2015-02-12 19:03:52,2015-01-11 13:46:40,2015-01-06 15:30:43
6160,18,2,3,18,0,0,0,2,0,0,1,2,1,0,0,0,1,0,0,0.333333333333333,0.666666666666667,4,1,1,2015-01-06 15:57:56,2015-03-04 16:48:11,2015-01-06 16:24:03
6161,4,7,2,4,0,0,0,5,2,0,1,1,1,0,0,0,0.714285714285714,0.285714285714286,0,0.5,0.5,1,2,2,2015-01-13 16:37:27,2015-01-27 15:11:49,2015-03-10 15:12:48
6162,4,9,11,3,0,1,0,9,0,0,1,10,0.75,0,0.25,0,1,0,0,0.0909090909090909,0.909090909090909,1,3,1,2015-01-06 21:32:42,2015-01-06 15:10:03,2015-01-06 16:01:33
6163,13,23,96,13,0,0,0,23,0,12,17,67,1,0,0,0,1,0,0.125,0.177083333333333,0.697916666666667,2,3,11,2015-01-07 17:28:58,2015-01-06 16:59:51,2015-01-06 09:34:53
6164,22,12,21,22,0,0,0,12,0,0,4,17,1,0,0,0,1,0,0,0.19047619047619,0.80952380952381,2,1,3,2015-01-06 16:35:54,2015-01-06 21:04:15,2015-01-07 05:13:55
6165,26,30,12,24,1,1,1,8,21,1,3,8,0.923076923076923,0.0384615384615385,0.0384615384615385,0.0333333333333333,0.266666666666667,0.7,0.0833333333333333,0.25,0.666666666666667,4,4,1,2015-01-06 15:08:06,2015-01-06 16:20:54,2015-01-06 16:13:58
6166,55,34,112,51,2,2,1,33,0,4,25,83,0.927272727272727,0.0363636363636364,0.0363636363636364,0.0294117647058824,0.970588235294118,0,0.0357142857142857,0.223214285714286,0.741071428571429,12,8,21,2015-01-06 15:23:15,2015-01-06 15:54:15,2015-01-06 15:58:09
6167,19,37,5,19,0,0,1,36,0,0,0,5,1,0,0,0.027027027027027,0.972972972972973,0,0,0,1,3,3,1,2015-01-06 15:07:53,2015-01-09 13:02:04,2015-02-03 12:46:17
6168,69,15,24,67,0,2,0,15,0,0,2,22,0.971014492753623,0,0.0289855072463768,0,1,0,0,0.0833333333333333,0.916666666666667,20,3,2,2015-01-06 16:12:57,2015-01-06 15:15:38,2015-01-06 21:19:53
6169,109,8,7,109,0,0,0,8,0,0,1,6,1,0,0,0,1,0,0,0.142857142857143,0.857142857142857,14,1,1,2015-01-06 15:06:22,2015-01-06 15:39:41,2015-01-15 19:35:29
6170,6,40,26,5,0,1,0,38,2,1,6,19,0.833333333333333,0,0.166666666666667,0,0.95,0.05,0.0384615384615385,0.230769230769231,0.730769230769231,2,6,3,2015-01-06 15:30:40,2015-01-06 15:30:43,2015-01-06 15:31:50
6171,29,14,20,26,2,1,0,14,0,1,2,17,0.896551724137931,0.0689655172413793,0.0344827586206897,0,1,0,0.05,0.1,0.85,2,2,3,2015-01-06 15:48:12,2015-01-07 14:20:35,2015-01-06 15:06:58
